step_index,mode_1,mode_2,mode_3,action_norm_tsc,action_norm_display
0,2.3911854335466187,1.204177336495726,0.471384395947247,"[-0.28687328530604267,-0.9966320585375519,-0.7471045273154256,0.8993593091949215,1.0,0.6190548084889774,-0.4128313957752337,0.3385349537977549,-0.804685114766095,0.7024830778204886,-0.687807284019124,0.7833557122865564,-0.2877583701464057,0.8598251392589669]","[-0.28687328530604267,0.8993593091949215,-0.9966320585375519,1.0,-0.7471045273154256,0.6190548084889774,-0.4128313957752337,0.3385349537977549,-0.804685114766095,0.7024830778204886,-0.687807284019124,0.7833557122865564,-0.2877583701464057,0.8598251392589669]"
1,1.828006947943996,1.5050279277400789,0.29524159936291094,"[-0.5339958138114874,-1.0,-0.6795300956338323,0.5293503658725035,0.7617832302892453,0.5082504723080706,-0.3565371617696984,0.2902746546315667,-0.6540737316413439,0.6298519195169688,-0.48674698031686037,0.7492867595253999,-0.02385390385037571,0.9260520287454272]","[-0.5339958138114874,0.5293503658725035,-1.0,0.7617832302892453,-0.6795300956338323,0.5082504723080706,-0.3565371617696984,0.2902746546315667,-0.6540737316413439,0.6298519195169688,-0.48674698031686037,0.7492867595253999,-0.02385390385037571,0.9260520287454272]"
2,1.264828462341373,1.8058785189844317,0.11909880277857489,"[-0.7803092213158329,-1.0,-0.609385301875872,0.1560592354879844,0.5200297892314178,0.3952806221163663,-0.29881026486810147,0.24083816015287426,-0.5006431953858207,0.5547979942446194,-0.2832298918895164,0.7125466821462042,0.2411955018930619,0.9894145318632616]","[-0.7803092213158329,0.1560592354879844,-1.0,0.5200297892314178,-0.609385301875872,0.3952806221163663,-0.29881026486810147,0.24083816015287426,-0.5006431953858207,0.5547979942446194,-0.2832298918895164,0.7125466821462042,0.2411955018930619,0.9894145318632616]"
3,0.4687004663792453,2.0423612559047974,-0.04864852980670346,"[-0.986003999528165,-0.8975914894166301,-0.46249825856170773,-0.28830192349875733,0.19183660701071292,0.22871282204418247,-0.19764491848132296,0.1627263674355558,-0.25865436353144106,0.4220740952810595,0.0056218102396610285,0.6165061814605025,0.5672826088373496,1.0]","[-0.986003999528165,-0.28830192349875733,-0.8975914894166301,0.19183660701071292,-0.46249825856170773,0.22871282204418247,-0.19764491848132296,0.1627263674355558,-0.25865436353144106,0.4220740952810595,0.0056218102396610285,0.6165061814605025,0.5672826088373496,1.0]"
4,-0.32742752958288246,2.2788439928251627,-0.2163958623919818,"[-1.0,-0.6726390321186716,-0.26935379792476327,-0.6076817945148245,-0.1075949423614812,0.05612126013191052,-0.08359989197585092,0.07308101816088057,-0.019471881614291295,0.24689821460555733,0.24177010028375626,0.4409079542409094,0.7458088848284686,0.8516925736298373]","[-1.0,-0.6076817945148245,-0.6726390321186716,-0.1075949423614812,-0.26935379792476327,0.05612126013191052,-0.08359989197585092,0.07308101816088057,-0.019471881614291295,0.24689821460555733,0.24177010028375626,0.4409079542409094,0.7458088848284686,0.8516925736298373]"
5,-0.7076801054083097,0.39837167491535475,-0.005438068101777355,"[-0.2236881993014094,0.04221575016208667,0.11050039254170754,-0.37894539341041644,-0.25384088068650656,-0.11616969497023202,0.08624457121438012,-0.04727668854827054,0.22860269277176604,-0.06030384795049149,0.3126742391867659,0.004214802337041907,0.42744925484057994,0.16708324382794948]","[-0.2236881993014094,-0.37894539341041644,0.04221575016208667,-0.25384088068650656,0.11050039254170754,-0.11616969497023202,0.08624457121438012,-0.04727668854827054,0.22860269277176604,-0.06030384795049149,0.3126742391867659,0.004214802337041907,0.42744925484057994,0.16708324382794948]"
6,-1.0879326812337369,-1.4821006429944532,0.2055197261884271,"[0.7856365735528447,0.9138041525047254,0.5531175120240435,-0.008611251241221923,-0.37501580170296583,-0.3015376316968321,0.27556889370579657,-0.18466322050725045,0.4812144681662325,-0.42503639731170806,0.32724280844428466,-0.5352156224315732,-0.06469352006129123,-0.7159815039183332]","[0.7856365735528447,-0.008611251241221923,0.9138041525047254,-0.37501580170296583,0.5531175120240435,-0.3015376316968321,0.27556889370579657,-0.18466322050725045,0.4812144681662325,-0.42503639731170806,0.32724280844428466,-0.5352156224315732,-0.06469352006129123,-0.7159815039183332]"
7,-0.8807760555200153,-1.0308001173942738,0.13697811506318056,"[0.5392737211784098,0.6684852209969279,0.4154789591899821,-0.05895715797059798,-0.30784400140888674,-0.23567045185220065,0.21076925482631753,-0.14127445416841009,0.37718538695934295,-0.3190663964131739,0.274409227772855,-0.39213417488286595,0.001248856176034781,-0.5054275212109833]","[0.5392737211784098,-0.05895715797059798,0.6684852209969279,-0.30784400140888674,0.4154789591899821,-0.23567045185220065,0.21076925482631753,-0.14127445416841009,0.37718538695934295,-0.3190663964131739,0.274409227772855,-0.39213417488286595,0.001248856176034781,-0.5054275212109833]"
8,-0.6736194298062936,-0.5794995917940942,0.068436503937934,"[0.2929108688039749,0.4231662894891305,0.2778404063559207,-0.1093030646999741,-0.24067220111480767,-0.16980327200756906,0.14596961594683847,-0.09788568782956972,0.27315630575245337,-0.2130963955146397,0.2215756471014253,-0.2490527273341586,0.06719123241336088,-0.2948735385036337]","[0.2929108688039749,-0.1093030646999741,0.4231662894891305,-0.24067220111480767,0.2778404063559207,-0.16980327200756906,0.14596961594683847,-0.09788568782956972,0.27315630575245337,-0.2130963955146397,0.2215756471014253,-0.2490527273341586,0.06719123241336088,-0.2948735385036337]"
9,-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458,"[0.04654801642953999,0.177847357981333,0.1402018535218594,-0.15964897142935017,-0.17350040082072854,-0.10393609216293752,0.08116997706735936,-0.05449692149072936,0.16912722454556375,-0.10712639461610553,0.16874206642999556,-0.10597127978545128,0.13313360865068694,-0.08431955579628386]","[0.04654801642953999,-0.15964897142935017,0.177847357981333,-0.17350040082072854,0.1402018535218594,-0.10393609216293752,0.08116997706735936,-0.05449692149072936,0.16912722454556375,-0.10712639461610553,0.16874206642999556,-0.10597127978545128,0.13313360865068694,-0.08431955579628386]"
