target_id,actual_delay_steps,actual_slew_scale,formal_tracking_pass,best_endpoint_step,minimum_signed_margin,limiting_component,limiting_component_margin,endpoint_late_speed_rms_m_per_s,final_speed_m_per_s,state27_only_lower_bound_late_rms_m_per_s,first_effect_state27_can_never_pass_late_rms,latest_theoretically_feasible_first_effect_state,speed_state24_m_per_s,speed_state25_m_per_s,speed_state26_m_per_s,speed_state27_m_per_s
nominal,1,0.9,False,27,-0.020531606627749444,final_speed,-0.020531606627749444,0.10172790479806142,0.10205316066277495,0.09329543542373382,False,27,0.12143713101420273,0.10628924752943214,0.09365773942543576,0.08110556932046924
nominal,2,0.9,False,27,-0.008469316736227084,final_speed,-0.008469316736227084,0.09760547472853998,0.10084693167362271,0.08869613320146764,False,27,0.11502462525406089,0.10081815503455893,0.08985016071304748,0.08148189129103876
RZ_p10_m10,1,0.9,False,27,-0.15615510986364067,final_speed,-0.15615510986364067,0.11396391039816535,0.11561551098636406,0.10365849465727608,True,26,0.13512720594091263,0.11707847387866253,0.10494571562143767,0.09471408255647147
RZ_p10_m10,2,0.9,False,27,-0.18049654489107136,endpoint_late_speed,-0.18049654489107136,0.11804965448910713,0.11621935238398737,0.10626511899786047,True,26,0.1350358992133347,0.1207111481660276,0.11119004764187854,0.10282889495405709
