candidate_id,source_name,source_type,vector,linear_prefilter_score,predicted_terminal_R_error_m,predicted_terminal_Z_error_m,predicted_terminal_Ip_error_A,predicted_late_RZ_rms_m,action_rms,delta_action_rms,repair_excess_rms,population_index
g007_4879e94f4ddd73fc,current_mean,state_mean,"[2.0558133785258423, 1.4732893059490553, 0.45761257945261813, 1.2517617222384119, 1.9314277290111799, 0.03940871457335758, -0.13800599900997604, 2.028277516122122, -0.2520917144046796, -0.7461159279074402, -1.1647997821983274, 0.090765616944074, -0.34525730176474106, -0.23026786356512727, -0.03483155862592983]",2.8724603757982914,-0.02454701990137309,0.033383627100495236,1045.234973499446,0.04146530253039973,0.4448427006385581,0.22665175689721645,0.04792573077584215,0
g007_3be98b52a5b7f41f,hall_of_fame_best,best,"[1.989362268700703, 1.5768072041604755, 0.5259233789363239, 1.3668826283012092, 1.803162384971303, 0.05054796982626877, -0.1600213342849676, 1.873464031080827, -0.3704990663306118, -0.8730950086084733, -1.2408533044990107, 0.07046962378869272, -0.4122169712153869, 0.28123939671016973, -0.2550135076442019]",2.9838306516429696,-0.025347067122700295,0.03412318191607985,1255.9868317998735,0.042133712000885455,0.4401811665939587,0.23613302774262562,0.04286834906651889,1
g007_9a01c48cdbeace96,gaussian_0662,gaussian,"[2.2606992592583808, 1.404269133696333, 0.5980014101488207, 1.1817397989137477, 1.990161646202365, 0.03404118924906222, 0.08373763267911216, 2.045056915996485, -0.21625951688949646, -0.9056663361469208, -0.8231672677145154, 0.17818535292853807, 0.022085080178594618, -0.4793145712885144, 0.0011664131713775491]",2.6669002683999903,-0.024379176993576057,0.030878789810609222,927.9916527360765,0.04024393137916895,0.4515196141508601,0.21755663279874868,0.04496882688273693,2
g007_3e43d94724833981,gaussian_0136,gaussian,"[2.2672975865638523, 1.500740350305654, 0.5512969356210442, 1.1449038256707602, 1.8182732640682946, 0.08880741139026146, 0.15025656042686056, 2.0524390800138717, -0.050128684320243255, -0.6479117735663646, -1.2625035505907207, -0.22809652822123552, -0.5261212904586394, -0.9401370174562932, -0.06851374221665837]",2.7242558962618992,-0.02574001058773623,0.03067715332092437,1017.4500872075951,0.04056169687602023,0.4743643294182446,0.23339435213978743,0.026766109616738802,3
g007_123a7eec31e2d22e,gaussian_0696,gaussian,"[2.3162078790035796, 1.2618126628306212, 0.523612146605626, 1.092369958677923, 1.9633976550329215, 0.13919663031774104, -0.0884041229729157, 2.1012995363201843, -0.1512909158081096, -0.3214604037147297, -0.932432113134118, 0.2717742959385676, -0.5477358209591195, -0.19367809639025643, -0.10229228763179898]",2.7248767057536547,-0.025645503670060688,0.030353124227566225,918.8824367141715,0.040698599059187615,0.443931159436807,0.2204815225858561,0.04398496235629337,4
g007_00d9250e7cfbb041,gaussian_0284,gaussian,"[1.9997801780063411, 1.4397798981759298, 0.49016614311836704, 1.2941911348867945, 1.9444333095650868, 0.06641745901656074, -0.03487296046383098, 2.242458099047888, -0.11016094551435263, -0.7110190829904613, -1.0806990822952474, 0.06034625753413214, 0.07665754996487639, 0.33050086765837905, 0.05470497003496081]",2.7460585738416046,-0.023896220648001676,0.0320904616785075,1048.745910959813,0.040756053565398735,0.4397813912295844,0.23557305215806237,0.06123159432493226,5
g007_0d46ef7f0cb04754,gaussian_0179,gaussian,"[2.0882821370264915, 1.4387853340779504, 0.5226088064950136, 1.2897117723434182, 2.107425138003407, 0.04739501321360265, 0.07082299077782175, 1.8681893879559741, -0.3143186250535474, -0.7331166317172644, -0.9787807905797671, 0.09593196298526074, -0.11140431567358891, -0.43253585605076156, -0.004911435753418573]",2.756153627596024,-0.024793078154054404,0.03168853683980724,1013.5577587443222,0.04076956762858434,0.44206531720961256,0.21297300854289358,0.057315205811071274,6
g007_31c84d8994349c77,gaussian_0087,gaussian,"[2.2871738477740253, 1.2236414969493707, 0.5042550789806594, 1.0337103183533285, 2.16042467680013, -0.029748665832125445, -0.05418511365254941, 2.273349521149967, -0.1208876872627897, -0.40131879907503276, -0.9033274323667667, 0.37127805072478004, 0.22688198730559633, -1.0529031265282147, 0.1294371189409678]",2.7564470840596065,-0.024863337822174203,0.03131940772055804,654.1528946713188,0.04083603717256809,0.4595946359280307,0.22217035893085757,0.07707474215751947,7
g007_18d2db6960564fdb,gaussian_0473,gaussian,"[2.2582549244456125, 1.5784248972544976, 0.5206924540923132, 1.4094492415699411, 2.0282379213186275, 0.08388457318588297, -0.07662138948100877, 1.972752913452676, -0.0013266232547779477, -0.7821153132878413, -0.9263610230391188, -0.032662253174930406, -0.1208969371141978, -0.6953415176303036, 0.006666940813746081]",2.763445605635676,-0.02456353668468103,0.031847666641247385,934.4376960533955,0.04081825821515531,0.4512597906702485,0.2176769278892944,0.0709917587812423,8
g007_411945e6a2b6c03a,gaussian_0149,gaussian,"[1.9321723344316264, 1.502185589375924, 0.4941359075025664, 1.2340109279737854, 1.8742609731226954, 0.03170850680997915, -0.11604480026668537, 2.1353025118911315, -0.13822470381498525, -0.6239758518667912, -0.9099553927195403, 0.055262908618372596, 0.2822305691648102, -0.22486860434834433, 0.154328858722576]",2.7679150971150936,-0.023071775160332098,0.0329592533244434,948.9212953477909,0.040936026726198116,0.4348869119318927,0.21604134707857384,0.041554759630955514,9
