generation,candidate_id,population_index,source_name,source_type,linear_prefilter_score,parameter_vector,validation_id,candidate_label,candidate_n_modes,candidate_target_fraction,sequence_scale,success,failure_reason,n_trajectory_steps,terminal_R_error_m,terminal_Z_error_m,terminal_Ip_error_A,terminal_RZ_euclidean_error_m,terminal_RZ_box_max_error_m,terminal_normalized_RZ_distance,min_normalized_RZ_distance,min_normalized_RZ_distance_after_step0,min_RZ_euclidean_error_after_step0_m,closest_step_after_step0,closest_velocity_after_step0_m_per_s,relative_distance_reduction,relative_distance_reduction_after_step0,first_step_within_2x_RZ_only,first_step_within_1x_RZ_only,first_step_within_2x,first_step_within_1x,first_step_after_step0_within_2x,first_step_after_step0_within_1x,terminal_within_2x_RZ_only,terminal_within_1x_RZ_only,terminal_within_2x,terminal_within_1x,gate_ip_tolerance_A,terminal_Ip_safe,late_Ip_safe_fraction,late_fraction_within_2x,late_fraction_within_1x,late_R_rms_m,late_Z_rms_m,late_RZ_euclidean_rms_m,terminal_velocity_m_per_s,max_velocity_m_per_s,late_velocity_mean_m_per_s,late_velocity_rms_m_per_s,max_current_utilization,wall_time_s,first_step_after_step0_within_30mm,ever_after_step0_within_30mm,terminal_within_30mm,late_fraction_within_30mm,longest_streak_after_step0_within_30mm_steps,trailing_streak_within_30mm_steps,first_step_after_step0_within_40mm,ever_after_step0_within_40mm,terminal_within_40mm,late_fraction_within_40mm,longest_streak_after_step0_within_40mm_steps,trailing_streak_within_40mm_steps,first_step_after_step0_within_80mm,ever_after_step0_within_80mm,terminal_within_80mm,late_fraction_within_80mm,longest_streak_after_step0_within_80mm_steps,trailing_streak_within_80mm_steps,gate_tier,gate_label,strict_gate_pass,relaxed_gate_pass,terminal_RZ_reduction_vs_zero_action_fraction,continuous_objective,selection_score,position_excess_objective,velocity_excess_objective,precise_streak_deficit,action_rms,delta_action_rms,repair_excess_rms,generation_rank
4,g004_717d1a103d4acfc8,154,gaussian_0569,gaussian,2.914733834831619,"[1.898634526255158, 1.5053858213836644, 0.4909886716763421, 1.4424372451411926, 1.9522237966636806, 0.06079107740434541, -0.1974906023026306, 2.1897905729215434, -0.2786793596881165, -0.8788728693409259, -1.2026510143273523, 0.17763529943001372, -0.08830567526285638, -0.5498035988916342, -0.02143062902209752]",g004_717d1a103d4acfc8,,,,,True,,11,-0.024843174000000023,0.0321144402,713.5302000000011,0.04060197733797768,0.0321144402,1.353399244599256,0.5817437020072838,0.7821940983731166,0.023465822951193496,1,0.628562396035269,0.0,-0.3445682276820301,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.025325244613259718,0.032821606357628284,0.041456312650988945,0.009158858021331076,0.6497405664560298,0.08097248377656376,0.09236950089472865,0.41,757.2028453350067,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5323972805816267,38.803112765773925,1000038.8031127658,0.009472594883450725,0.0,1.0,0.4520915026105906,0.23192353419655284,0.0825794134713671,1
4,g004_276b3eba201c14f1,106,gaussian_0654,gaussian,2.87513189648089,"[2.114875527673488, 1.4285639274720994, 0.5473338358863146, 0.9255099293702516, 1.8948953012632452, 0.02111130748564368, 0.00038431309591377416, 1.8682526303623408, -0.34632711380247594, -0.5477672997150579, -1.0417782529101716, 0.25683130161327306, -0.2769389737004958, -0.6089975563740362, -0.126125462229954]",g004_276b3eba201c14f1,,,,,True,,11,-0.02502040800000005,0.0315897677,743.516300000003,0.04029806744530598,0.0315897677,1.3432689148435328,0.5817437020072838,0.7820306556228581,0.023460919668685742,1,0.6281605821186901,0.0,-0.3442872744895941,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.025347719468489044,0.03268413837696355,0.041361331986503054,0.043615903888948926,0.649092289795562,0.08904582258015514,0.09429705476590684,0.41104999999999997,750.1362743377686,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5358973340664236,39.094748251515405,1000039.0947482515,0.008953273271668689,0.0,1.0,0.4402375253247408,0.2138625286261682,0.025020101462629805,2
4,g004_df6e4b8474d2049f,183,gaussian_0319,gaussian,2.9344416830882927,"[2.036931693474406, 1.4133644091140547, 0.4867608627053704, 1.3159747053471584, 1.9710206585193284, -0.05543162612739517, -0.3263061534658243, 1.778315970077224, -0.21336608455526673, -0.5312719243102224, -0.8963243013597566, -0.2336377376555486, -1.112510429126281, 0.06342415406290258, -0.09398226984599532]",g004_df6e4b8474d2049f,,,,,True,,11,-0.02497174499999999,0.0321176953,1139.0842000000011,0.04068334302547747,0.0321176953,1.3561114341825826,0.5817437020072838,0.7820908333789165,0.023462725001367497,1,0.6283144630091964,0.0,-0.3443907182498802,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02570951741800931,0.032872395747840344,0.04173216610804615,0.041967310662942535,0.6493324082959465,0.0837841574121412,0.08823699374992941,0.41100000000000003,750.3940334320068,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5314602125067016,39.1197519499864,1000039.11975195,0.009760226891813557,0.0,1.0,0.4441419025934822,0.21395803600226995,0.045008505602836785,3
4,g004_39231991c1d2707c,191,gaussian_0258,gaussian,2.9530526225857323,"[2.1527811723747234, 1.3875164738630732, 0.3461416108667363, 1.0072173367019623, 1.9850141921400086, -0.06366263201764283, 0.27692913193149704, 1.8713716287901165, -0.4507770599577514, -1.1640149198042298, -0.9170745335368431, 0.10800004039594052, -0.09891964428311378, 0.02795663651745814, 0.09541769569778358]",g004_39231991c1d2707c,,,,,True,,11,-0.025430005000000033,0.0321058933,912.2012000000032,0.04095697179835213,0.0321058933,1.3652323932784043,0.5817437020072838,0.7821140091287727,0.02346342027386318,1,0.6283888345435793,0.0,-0.34443055666974837,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.025948914474867635,0.032896980730971026,0.04189937354708151,0.028771653586365038,0.6500384759775506,0.08332476052618112,0.09024340683250645,0.41255000000000003,729.0948164463043,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5283088990314433,39.13878949881071,1000039.1387894988,0.01003778579319857,0.0,1.0,0.4338665215011597,0.22469651211636546,0.048048442368043336,4
4,g004_c201563452ae7dc5,1,hall_of_fame_best,best,2.9404431068921326,"[2.0084988747951944, 1.6174115039756771, 0.5149455144031581, 0.9883772558483095, 1.8176712813085234, 0.056018186992064053, 0.17642676582858285, 2.2565982006900382, -0.2766849966716696, -0.6151085602136542, -1.4509738238527923, 0.17643321939342502, -1.0284447817862195, 0.07239966963844044, -0.1817550853205905]",g004_c201563452ae7dc5,,,,,True,,11,-0.024484202999999982,0.0325922564,891.6209000000017,0.04076433948671987,0.0325922564,1.3588113162239959,0.5817437020072838,0.7822107631927147,0.023466322895781436,1,0.6286033127714411,0.0,-0.34459687400779276,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02480363567867375,0.03346117575484965,0.04165177818265765,0.019108190354546646,0.6498912742080074,0.08038978411784194,0.08974976147091726,0.41,726.3903560638428,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.530527396717339,39.231374040265244,1000039.2313740402,0.01405374988548702,0.0,1.0,0.4562712370759506,0.2469813171905941,0.07865868233896656,5
4,g004_c3482502967bec67,109,gaussian_0742,gaussian,2.8763654298940557,"[2.0122355168736004, 1.480117713383165, 0.42318370743810424, 1.0726459566574271, 2.013095531766078, -0.01633589228993231, 0.16009013084557033, 1.7284185169154787, -0.29295019916655596, -0.8530825301391773, -0.8698121856958904, 0.09954507540288406, -0.8661122528934627, -0.21236995456760313, -0.03758784115960487]",g004_c3482502967bec67,,,,,True,,11,-0.024348927999999992,0.0320201311,917.6236000000026,0.040226348211220606,0.0320201311,1.3408782737073535,0.5817437020072838,0.7821607213909184,0.023464821641727553,1,0.6284902781364454,0.0,-0.3445108536493023,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02505020839219952,0.032954226687569234,0.041394371562669285,0.04205827556999081,0.6497896510704866,0.09193355877067132,0.09781380111279699,0.41085,747.1035225391388,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5367233063734805,39.33061703134866,1000039.3306170313,0.010549933417444772,0.0,1.0,0.44212483350890375,0.2028211915736116,0.02738401004766303,6
4,g004_e9c3f63b8f428eee,90,gaussian_0017,gaussian,2.862795329800019,"[2.112733319322309, 1.5521954211356874, 0.5081582724981871, 1.2433139566102152, 1.8607881989865052, 0.057024705995274226, -0.21314745312755956, 1.7773145901539373, -0.10290611374724504, -0.5775040810657057, -0.8654775982078408, 0.12931534768572195, 0.009433322098173658, -0.25347007655872533, -0.02939693999331157]",g004_e9c3f63b8f428eee,,,,,True,,11,-0.025049593999999953,0.0312807336,732.3589000000029,0.04007451127735687,0.0312807336,1.335817042578562,0.5817437020072838,0.7821258737139478,0.02346377621141843,1,0.6283966820041544,0.0,-0.3444509515363093,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.025650791353636647,0.03245179433794616,0.041365227580906105,0.057530079066370136,0.6491551884109251,0.09620550011116721,0.09977565182645805,0.4105,719.1011922359467,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5384719739960404,39.45114804162749,1000039.4511480416,0.007714168058171885,0.0,1.0,0.4258259839152052,0.20513055177296832,0.027990580787718173,7
4,g004_0403607330cae02f,161,gaussian_0408,gaussian,3.0928866222925575,"[1.9337459809132351, 1.2710517014530087, 0.3670894760551803, 1.0937259503236534, 2.003913105005452, 0.06466769139467267, -0.1893185152209086, 1.5955512786828046, -0.0038037677633478983, -0.5117851295234929, -0.6586791030198202, 0.0451893691476115, -0.04360896151489313, -0.8366806848852792, 0.2691290599174013]",g004_0403607330cae02f,,,,,True,,11,-0.025405334999999973,0.0333853421,552.6647000000012,0.041952498299818286,0.0333853421,1.3984166099939428,0.5817437020072838,0.7822061348124576,0.023466184044373728,1,0.6286436705691343,0.0,-0.3445889179607551,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02591654001636713,0.03406194154501414,0.042800501261503,0.02693133476119471,0.6513189860094768,0.06401318283460303,0.06908311287257232,0.4119,743.451872587204,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5168436717233336,39.656903704585254,1000039.6569037046,0.018729392017734128,0.0,1.0,0.41588382438644594,0.18105400034486102,0.023259362780856326,8
4,g004_2407594dca930ab8,159,gaussian_0187,gaussian,3.0351176819703776,"[1.748152666426665, 1.5270261816651443, 0.5736965553271852, 1.3551761099313149, 1.8816482811560562, -0.10898347553762669, 0.21391808328178352, 1.6578934456172583, -0.17863176765004032, -1.0989070326036625, -0.9291431713206421, -0.3536197770658887, -0.30575426554531354, 0.17620993463894602, -0.2711246996149611]",g004_2407594dca930ab8,,,,,True,,11,-0.025292069000000028,0.0330429823,1268.9988000000012,0.0416116261828215,0.0330429823,1.3870542060940503,0.5817437020072838,0.782332512277549,0.023469975368326467,1,0.628930304155749,0.0,-0.3448061570381276,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.025761813611337846,0.033719519693287174,0.042434385218726736,0.02534155498434428,0.6513968226814354,0.07679310537822748,0.08345467754305529,0.41,758.986362695694,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.520769409811279,39.658387360043896,1000039.65838736,0.015947029273312933,0.0,1.0,0.4276933965113225,0.21343488122565787,0.0406858662020899,9
4,g004_58fc8af0685d93d2,171,gaussian_0063,gaussian,3.1692725870100866,"[1.9799976609423269, 1.6585251074014862, 0.45722985107941305, 1.0950602336229012, 1.6109340830539849, 0.1859831390389904, -0.15940878022683785, 1.6691508343476469, 0.04176584304244385, -0.4312826458633545, -1.166426863740186, -0.19732662556886632, -0.6060836886895179, -0.38571988418458847, -0.017896159140859954]",g004_58fc8af0685d93d2,,,,,True,,11,-0.026290162999999978,0.0337218173,809.6721000000034,0.042759018143324425,0.0337218173,1.4253006047774808,0.5817437020072838,0.7822462906224389,0.02346738871867317,1,0.6286925849933874,0.0,-0.34465794459541005,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02622860496758292,0.034168238708566875,0.043074450141483214,0.026452298735250714,0.6493161268549992,0.05503070819864473,0.05857842446139602,0.41,743.4250338077545,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5075551863633952,39.70898221311537,1000039.7089822132,0.019579962717342005,0.0,1.0,0.4198855459887847,0.2076441258070956,0.024750584671320783,10
