experiment_id,phase,policy_id,target_id,actual_delay_steps,actual_slew_scale,calibration_token,environment_success,failure_reason,formal_arrival_deadline_step,formal_hold_through_step,formal_contract_tracking_pass,formal_contract_minimum_signed_margin,best_endpoint_step,limiting_component,limiting_component_margin,endpoint_late_speed_rms_m_per_s,terminal_speed_m_per_s,post_arrival_speed_rms_m_per_s,sustained_box_error_m,max_current_utilization,action_rms,delta_action_rms,first_affected_state_step,transition_issue_start_step,physics_prefix_exact,issued_prefix_exact,applied_prefix_exact,prefix_max_abs_difference,no_future_measurement,streaming_queue_consistent,first_effect_alignment_exact,early_braking_activated,r13_composite_pass,physics_signature,issued_signature,applied_signature,braking_issued_signature,braking_applied_signature
s41r13_402f08fe25e25e67e234,oracle_development,early_brake_effect_state22,nominal,2,0.9,,True,,27,37,True,0.007124914748438571,27,endpoint_late_speed,0.007124914748438571,0.09928750852515615,0.028532157661374097,0.04247696546367556,0.01532735399999996,0.41174999999999995,0.28142732543929144,0.2124347577576375,22,19,True,True,True,0.0,True,True,True,True,True,physics_befa8c1502260cce9955,issued_acfc71b997373aa508a5,applied_762c9b5c4e4c44d3d4f2,brakingissued_e5c2aba2b04adb283e2b,brakingapplied_c59f0d05f2791bfb5758
s41r13_07e2fe72bced0391afd9,oracle_development,early_brake_effect_state22,RZ_p10_m10,2,0.9,,True,,27,37,False,-0.21624334500695608,27,endpoint_late_speed,-0.21624334500695608,0.12162433450069562,0.02636066702631454,0.05144556218379073,0.02179011399999997,0.41195,0.2824952323971723,0.20926106749203668,22,19,True,True,True,0.0,True,True,True,True,False,physics_13ad59df37b0438c03dd,issued_a26364b5767878718fd8,applied_4e793e39223e12f08e88,brakingissued_67e5d320d57e5be1f447,brakingapplied_98d4658efd40901f3d57
s41r13_8c1c0e2377b5a1d0d284,oracle_development,early_brake_effect_state23,nominal,1,0.9,,True,,27,37,True,0.07840679333862832,27,endpoint_late_speed,0.07840679333862832,0.09215932066613718,0.01328392393376483,0.031504267813291145,0.015561090000000055,0.41174999999999995,0.28079000027385875,0.21350614864289807,23,21,True,True,True,0.0,True,True,True,True,True,physics_9b4a57fe2af6e6b9b8d7,issued_04fe549d90b5518c6fb2,applied_c9170888f28f8aa1f7d0,brakingissued_96629d7203a8ba278858,brakingapplied_45c3b47ec0e58c347722
s41r13_1975451a3afbfb26899c,oracle_development,early_brake_effect_state23,RZ_p10_m10,1,0.9,,True,,27,37,False,-0.04934201439746855,27,endpoint_late_speed,-0.04934201439746855,0.10493420143974687,0.022618184129134366,0.039213555326527975,0.021898602000000045,0.41195,0.28186622095810937,0.21049289350897646,23,21,True,True,True,0.0,True,True,True,True,False,physics_c8428dc1bae1663f7e57,issued_94a3053d9b06bf04b6ea,applied_18076b8ff87f5747bdd0,brakingissued_a2a95169f3edf7fcacfe,brakingapplied_8dd451c750531ff68913
s41r13_d66c21b99ab1291d12b5,oracle_development,early_brake_effect_state23,nominal,2,0.9,,True,,27,37,True,0.14055765705622303,27,endpoint_late_speed,0.14055765705622303,0.0859442342943777,0.02080056920019328,0.03272346502795391,0.015737592999999994,0.41174999999999995,0.2817664969764513,0.213421296520815,23,20,True,True,True,0.0,True,True,True,True,True,physics_6bc26b09a8f97b85d7c6,issued_8c10472cc8a1bc4da703,applied_bafc7c0f6ae73cdc5dd9,brakingissued_837f1895ac3ecff2e283,brakingapplied_33844aad2447324afa07
s41r13_e99e76f0b005ef85bd4d,oracle_development,early_brake_effect_state23,RZ_p10_m10,2,0.9,,True,,27,37,False,-0.08573530759636228,27,endpoint_late_speed,-0.08573530759636228,0.10857353075963624,0.031285728955109726,0.04387561693135109,0.022125264000000033,0.41195,0.2827589549875145,0.210136837532117,23,20,True,True,True,0.0,True,True,True,True,False,physics_fe2e8306546d2c524cc1,issued_4c555d62d5d8fee3c90d,applied_fde6d048a617422a1bd1,brakingissued_0a32f45072d914bb499a,brakingapplied_e0d81723c313e204e4fe
s41r13_a47224c84ee512706db5,oracle_development,early_brake_effect_state24,nominal,1,0.9,,True,,27,37,True,0.02851200167972512,27,endpoint_late_speed,0.02851200167972512,0.0971487998320275,0.014615662546747071,0.0340863781840727,0.015462064000000053,0.41174999999999995,0.28083472546420496,0.2140929090989497,24,22,True,True,True,0.0,True,True,True,True,True,physics_2f9c4144f87eea04afc6,issued_76fc2589bdabd3e912f7,applied_9db759827af7f2456de8,brakingissued_0a7dc57c4525180167cf,brakingapplied_7fa3d9ac5f72daed1ed9
s41r13_d4657fb7efa750069cca,oracle_development,early_brake_effect_state24,RZ_p10_m10,1,0.9,,True,,27,37,False,-0.08941067639197797,27,endpoint_late_speed,-0.08941067639197797,0.1089410676391978,0.020212415437453703,0.04165676248624116,0.02181723999999996,0.41195,0.2819097520704012,0.21100365908863503,24,22,True,True,True,0.0,True,True,True,True,False,physics_f587ea8fe9f9f7f6a641,issued_40b9d2660238ee8ab821,applied_321d72a262a86ad51049,brakingissued_9705f062e1539e72cbea,brakingapplied_c2669e17f7375feb2436
s41r13_c37b50d3594fe54566a9,oracle_development,early_brake_effect_state24,nominal,2,0.9,,True,,27,37,True,0.0875920325006353,27,endpoint_late_speed,0.0875920325006353,0.09124079674993647,0.020636361622343422,0.03298426528539929,0.015645684999999965,0.41174999999999995,0.28176563656547754,0.2139848224693691,24,21,True,True,True,0.0,True,True,True,True,True,physics_12341c80de613d752c87,issued_16f374fcf5996b069893,applied_3ecb7dce319c648a0aef,brakingissued_e1db0c583013321a8dbe,brakingapplied_c65e8dc7c1aa66b3236a
s41r13_4a757b65d0a256d31518,oracle_development,early_brake_effect_state24,RZ_p10_m10,2,0.9,,True,,27,37,False,-0.12039190063365712,27,endpoint_late_speed,-0.12039190063365712,0.11203919006336573,0.030539921505980037,0.044803627446946284,0.022075548,0.41195,0.28277443984841694,0.21048208375330665,24,21,True,True,True,0.0,True,True,True,True,False,physics_3fdc414233e6479be31c,issued_cfad32dd926e96c66eec,applied_06c96aab501404f9b22a,brakingissued_e1a0b74a7477b5bd295e,brakingapplied_e6ddbd33c6e5dd10573b
s41r13_d4c413689c8e098c55ca,oracle_development,early_brake_effect_state25,nominal,1,0.9,,True,,27,37,False,-0.005664619030952167,27,endpoint_late_speed,-0.005664619030952167,0.10056646190309522,0.02131731165185988,0.038899080388999,0.015427721000000005,0.41174999999999995,0.2810707597417349,0.21438843358357035,25,23,True,True,True,0.0,True,True,True,True,False,physics_5f3f739e0412ebaf59e6,issued_8dd1d88ccfcbdd794517,applied_17c473a4f74a51cc62ec,brakingissued_445b2a33c233449f654e,brakingapplied_aaee9378da6cb143bdff
s41r13_776564e29cd6c1615eda,oracle_development,early_brake_effect_state25,RZ_p10_m10,1,0.9,,True,,27,37,False,-0.12479269878546018,27,endpoint_late_speed,-0.12479269878546018,0.11247926987854603,0.022319376711617073,0.0456070387877146,0.021810655000000012,0.41195,0.28204223764802394,0.2112007403801666,25,23,True,True,True,0.0,True,True,True,True,False,physics_0178491d51f38926d745,issued_a099829be1cf313c2f1d,applied_80028edb9af2a8408601,brakingissued_85b9913e67ef69f3266a,brakingapplied_f80eb2b6f84c5edffa12
s41r13_2cad46b7f8bf3f35decf,oracle_development,early_brake_effect_state25,nominal,2,0.9,,True,,27,37,True,0.04255361261650725,27,endpoint_late_speed,0.04255361261650725,0.09574463873834928,0.02310266031435645,0.037779802907733105,0.01560597500000005,0.41174999999999995,0.2819686424366863,0.21431202235362692,25,22,True,True,True,0.0,True,True,True,True,True,physics_e3d67ee54ce4d4422c1c,issued_2cba7b575649a0ade21a,applied_7d8493997d46e793d2f0,brakingissued_ce81ec454366283f882a,brakingapplied_9fb83ada179a838511ae
s41r13_500788c02d33ae8d7b42,oracle_development,early_brake_effect_state25,RZ_p10_m10,2,0.9,,True,,27,37,False,-0.16307665948352068,27,endpoint_late_speed,-0.16307665948352068,0.11630766594835208,0.03013084459094758,0.05010215212274932,0.022061376999999993,0.41195,0.28289775212234547,0.21066828408503663,25,22,True,True,True,0.0,True,True,True,True,False,physics_a453682f5e6dbaa8b875,issued_6152feabff9589db2ed1,applied_923cb1cca655abeff0a8,brakingissued_aa6cf4308d038b095206,brakingapplied_27bc3b7ef56ac65f5085
s41r13_bf62cf889ee93b2af1fa,oracle_development,early_brake_effect_state26,nominal,1,0.9,,True,,27,37,False,-0.014897637186728874,27,endpoint_late_speed,-0.014897637186728874,0.1014897637186729,0.02193845788356462,0.040105649829602595,0.015424855999999987,0.41174999999999995,0.28124487837361584,0.2144329248845054,26,24,True,True,True,0.0,True,True,True,True,False,physics_6418a5a0a0c33041715f,issued_b4c7ecf4564a5c21182c,applied_f4a0fac6103cf37f17af,brakingissued_809975a341ad3eaed58b,brakingapplied_fc6393bb794c24d85d30
s41r13_3db862ed572d24796c09,oracle_development,early_brake_effect_state26,RZ_p10_m10,1,0.9,,True,,27,37,False,-0.13664373503767857,27,endpoint_late_speed,-0.13664373503767857,0.11366437350376786,0.0244148599929303,0.047879085098898544,0.02180875299999996,0.41195,0.2821368194858865,0.211228533999863,26,24,True,True,True,0.0,True,True,True,True,False,physics_93ce1b87e91708658a1a,issued_22989f273f0eada45e05,applied_e57fec6f7e84d89ef3aa,brakingissued_2d018f73a99a29391b51,brakingapplied_c836ea5e3ced95ae5260
s41r13_167ac7755aca796f0092,oracle_development,early_brake_effect_state26,nominal,2,0.9,,True,,27,37,True,0.027491005295658844,27,endpoint_late_speed,0.027491005295658844,0.09725089947043412,0.026119098236396823,0.04048164988692805,0.015609035999999965,0.41174999999999995,0.2820947988783212,0.21434331590360925,26,23,True,True,True,0.0,True,True,True,True,True,physics_d1fb6e1f36f05619fdbe,issued_3ac7339e231117504017,applied_3558bd050437b3a6f03d,brakingissued_ac1ad8055b29b896554b,brakingapplied_3985b5ce983f5078cd1d
s41r13_01ad23d31139c84ba45f,oracle_development,early_brake_effect_state26,RZ_p10_m10,2,0.9,,True,,27,37,False,-0.1775291558419858,27,endpoint_late_speed,-0.1775291558419858,0.11775291558419858,0.03041568320511344,0.052908377478030476,0.02206077800000006,0.41195,0.28298624508919534,0.21070364170515196,26,23,True,True,True,0.0,True,True,True,True,False,physics_b0f4373295f13bdc3682,issued_e7626ba43401fb075be3,applied_a7e5ee5357e89ece64b7,brakingissued_4d480764ef0db0f493bf,brakingapplied_4b68e16eee037ee3a3be
