actual_delay_steps,actual_slew_scale,speed_at_350ms_m_per_s,speed_before_first_terminal_effect_m_per_s,speed_after_first_terminal_effect_m_per_s,speed_increase_from_pending_before_terminal_effect_m_per_s,pending_main_command_count,pending_main_command_norms,maximum_pending_main_command_norm,first_terminal_desired_physical_norm,policies_identical_before_first_terminal_effect
0,0.9,0.022838072551773864,0.022838072551773864,0.045456765742355784,0.0,0,[],0.0,0.10198161599033424,True
0,1.0,0.035340386950050644,0.035340386950050644,0.05760355239515093,0.0,0,[],0.0,0.10198161599033424,True
0,1.1,0.029023678935894266,0.029023678935894266,0.04972361128207706,0.0,0,[],0.0,0.10198161599033424,True
1,0.9,0.043292819195936,0.07099133853278922,0.10922377592093191,0.027698519336853217,1,[0.6188447776131282],0.6188447776131282,0.10198161599033424,True
1,1.0,0.027551233204711013,0.0515126884075176,0.09213450091523497,0.023961455202806584,1,[0.5569602998518153],0.5569602998518153,0.10198161599033424,True
1,1.1,0.026925358196046755,0.052716667047735116,0.09514128850924063,0.02579130885168836,1,[0.506327545319832],0.506327545319832,0.10198161599033424,True
2,0.9,0.04489186216035888,0.1094177535114158,0.15836703746729214,0.06452589135105694,2,"[0.6188447776131282,0.6188447776131282]",0.6188447776131282,0.10198161599033424,True
2,1.0,0.03238305551924962,0.10019332170839337,0.148074670347789,0.06781026618914375,2,"[0.5569602998518153,0.5569602998518153]",0.5569602998518153,0.10198161599033424,True
2,1.1,0.027639760281943284,0.09350509284454223,0.1410128724510451,0.06586533256259894,2,"[0.506327545319832,0.506327545319832]",0.506327545319832,0.10198161599033424,True
