source_experiment_id,scenario_type,actual_action_delay_steps,actual_slew_scale,repeats,successful_repeats,all_repeats_tracking_pass,all_repeats_estimator_identification_pass,worst_signed_margin
s41r4_a71e5620a524891b36b1,weak_slew,,,2,2,True,,0.22532788322651087
s41r4_2827d0ab6e39c32945f9,weak_slew,,,2,2,True,,1.0456920999768471e-05
