pair_id,history_member,target_id,actual_delay_steps,actual_slew_scale,probe_id,signed_member_count,response_available,baseline_initial_state_exact,even_velocity_rmse_m_per_s,even_position_rmse_m,even_ip_rmse_A,central_symmetry_pass,first_effect_state
p5_q1_a0p900_gap2_settle4,plus_first,RZ_p10_m10,0,1.0,persistent_braking_step_mode2,2,True,True,0.00038997588967124816,1.1322941878173285e-05,0.939978991356159,True,17
p5_q1_a0p900_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,persistent_transport_step_mode0,2,True,True,0.000520716063915689,1.6060102807068707e-05,1.0272479421927936,True,3
p5_q1_a0p900_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,persistent_transport_step_mode1,2,True,True,0.00047880411532430137,2.1968937055954522e-05,1.0045244455555282,True,3
p5_q1_a0p900_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,persistent_transport_step_mode2,2,True,True,7.517899308541125e-05,8.47505779146962e-06,0.3204178302427814,True,3
p5_q1_a0p900_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,persistent_braking_step_mode0,2,True,True,0.0009406523030184782,4.452986110677996e-05,0.8618024046762929,True,17
p5_q1_a0p900_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,persistent_braking_step_mode1,2,True,True,0.0005041107345398695,3.5666317760021184e-05,0.7903940326439015,True,17
p5_q1_a0p900_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,persistent_braking_step_mode2,2,True,True,0.00034025857913062894,4.1887496247737944e-05,0.7690827782367327,True,17
p5_q1_a0p900_gap2_settle4,plus_first,nominal,0,1.0,persistent_transport_step_mode0,2,True,True,0.0002556679005831584,2.6325627666534276e-05,0.5663982949208131,True,3
p5_q1_a0p900_gap2_settle4,plus_first,nominal,0,1.0,persistent_transport_step_mode1,2,True,True,0.00019739957017203118,6.548215811378845e-06,0.4084069736104486,True,3
p5_q1_a0p900_gap2_settle4,plus_first,nominal,0,1.0,persistent_transport_step_mode2,2,True,True,0.0002237063409982819,2.7485320441199168e-05,0.6415110069853173,True,3
p5_q1_a0p900_gap2_settle4,plus_first,nominal,0,1.0,persistent_braking_step_mode0,2,True,True,0.0002308391454671396,3.7749442997500974e-05,0.6776459576875838,True,17
p5_q1_a0p900_gap2_settle4,plus_first,nominal,0,1.0,persistent_braking_step_mode1,2,True,True,0.00020478074766132397,1.4420858582253703e-05,1.161034951847282,True,17
p5_q1_a0p900_gap2_settle4,plus_first,nominal,0,1.0,persistent_braking_step_mode2,2,True,True,0.0002210205529411972,9.54647657763157e-06,1.336678170409626,True,17
p5_q1_a0p900_gap2_settle4,plus_first,nominal,2,0.9,persistent_transport_step_mode0,2,True,True,0.0006260254148036534,2.0281151975909865e-05,1.1267503347105767,True,3
