stage,phase,candidate_id,nominal_id,source_candidate_id,nominal_category,source_name,source_type,control_vector,probe_center_candidate_id,probe_center_nominal_id,probe_variable_index,probe_sign,probe_requested_delta,probe_actual_delta,probe_scheme,population_index
Stage3.1,round_001_probes,s31r001p_7a34c36543d62706,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v0_m,real_tsc_fd_probe,"[-0.4913015723001297,-0.18390476986892895,0.18556953343592383,-0.1825934518181101,0.4983625036218756,0.21293042464019693,0.556999999999999,0.5409999999999999,-0.05934999999999998,0.7093999999999994,0.7093999999999998,0.2555,0.7935999999999989,0.47682457109827725,0.19289999999999996,0.7935999999999999,-0.24640000000000054,0.2900999999999999,0.5697725768879486,-0.24640000000000015,0.2877157187429291]",s31r000s_6090307a93683d00,nominal_05_s22g000_571ab4a158d29207,0,-1,0.014,-0.014000000000000012,two_sided,0
Stage3.1,round_001_probes,s31r001p_c9c6c2396ac497e6,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v0_p,real_tsc_fd_probe,"[-0.4633015723001297,-0.18390476986892895,0.18556953343592383,-0.1825934518181101,0.4983625036218756,0.21293042464019693,0.556999999999999,0.5409999999999999,-0.05934999999999998,0.7093999999999994,0.7093999999999998,0.2555,0.7935999999999989,0.47682457109827725,0.19289999999999996,0.7935999999999999,-0.24640000000000054,0.2900999999999999,0.5697725768879486,-0.24640000000000015,0.2877157187429291]",s31r000s_6090307a93683d00,nominal_05_s22g000_571ab4a158d29207,0,1,0.014,0.014000000000000012,two_sided,1
Stage3.1,round_001_probes,s31r001p_39b799aa95655378,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v1_m,real_tsc_fd_probe,"[-0.4773015723001297,-0.19790476986892896,0.18556953343592383,-0.1825934518181101,0.4983625036218756,0.21293042464019693,0.556999999999999,0.5409999999999999,-0.05934999999999998,0.7093999999999994,0.7093999999999998,0.2555,0.7935999999999989,0.47682457109827725,0.19289999999999996,0.7935999999999999,-0.24640000000000054,0.2900999999999999,0.5697725768879486,-0.24640000000000015,0.2877157187429291]",s31r000s_6090307a93683d00,nominal_05_s22g000_571ab4a158d29207,1,-1,0.014,-0.014000000000000012,two_sided,2
Stage3.1,round_001_probes,s31r001p_4dd267a05397a701,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v1_p,real_tsc_fd_probe,"[-0.4773015723001297,-0.16990476986892894,0.18556953343592383,-0.1825934518181101,0.4983625036218756,0.21293042464019693,0.556999999999999,0.5409999999999999,-0.05934999999999998,0.7093999999999994,0.7093999999999998,0.2555,0.7935999999999989,0.47682457109827725,0.19289999999999996,0.7935999999999999,-0.24640000000000054,0.2900999999999999,0.5697725768879486,-0.24640000000000015,0.2877157187429291]",s31r000s_6090307a93683d00,nominal_05_s22g000_571ab4a158d29207,1,1,0.014,0.014000000000000012,two_sided,3
Stage3.1,round_001_probes,s31r001p_2073ff4ba8771ebe,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v2_m,real_tsc_fd_probe,"[-0.4773015723001297,-0.18390476986892895,0.18056953343592383,-0.1825934518181101,0.4983625036218756,0.21293042464019693,0.556999999999999,0.5409999999999999,-0.05934999999999998,0.7093999999999994,0.7093999999999998,0.2555,0.7935999999999989,0.47682457109827725,0.19289999999999996,0.7935999999999999,-0.24640000000000054,0.2900999999999999,0.5697725768879486,-0.24640000000000015,0.2877157187429291]",s31r000s_6090307a93683d00,nominal_05_s22g000_571ab4a158d29207,2,-1,0.005,-0.0050000000000000044,two_sided,4
Stage3.1,round_001_probes,s31r001p_6d9c3977bba34040,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v2_p,real_tsc_fd_probe,"[-0.4773015723001297,-0.18390476986892895,0.19056953343592384,-0.1825934518181101,0.4983625036218756,0.21293042464019693,0.556999999999999,0.5409999999999999,-0.05934999999999998,0.7093999999999994,0.7093999999999998,0.2555,0.7935999999999989,0.47682457109827725,0.19289999999999996,0.7935999999999999,-0.24640000000000054,0.2900999999999999,0.5697725768879486,-0.24640000000000015,0.2877157187429291]",s31r000s_6090307a93683d00,nominal_05_s22g000_571ab4a158d29207,2,1,0.005,0.0050000000000000044,two_sided,5
Stage3.1,round_001_probes,s31r001p_18e721d2a53b8d76,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v3_m,real_tsc_fd_probe,"[-0.4773015723001297,-0.18390476986892895,0.18556953343592383,-0.2025934518181101,0.4983625036218756,0.21293042464019693,0.556999999999999,0.5409999999999999,-0.05934999999999998,0.7093999999999994,0.7093999999999998,0.2555,0.7935999999999989,0.47682457109827725,0.19289999999999996,0.7935999999999999,-0.24640000000000054,0.2900999999999999,0.5697725768879486,-0.24640000000000015,0.2877157187429291]",s31r000s_6090307a93683d00,nominal_05_s22g000_571ab4a158d29207,3,-1,0.02,-0.01999999999999999,two_sided,6
Stage3.1,round_001_probes,s31r001p_da06c062f4c3337e,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v3_p,real_tsc_fd_probe,"[-0.4773015723001297,-0.18390476986892895,0.18556953343592383,-0.1625934518181101,0.4983625036218756,0.21293042464019693,0.556999999999999,0.5409999999999999,-0.05934999999999998,0.7093999999999994,0.7093999999999998,0.2555,0.7935999999999989,0.47682457109827725,0.19289999999999996,0.7935999999999999,-0.24640000000000054,0.2900999999999999,0.5697725768879486,-0.24640000000000015,0.2877157187429291]",s31r000s_6090307a93683d00,nominal_05_s22g000_571ab4a158d29207,3,1,0.02,0.01999999999999999,two_sided,7
Stage3.1,round_001_probes,s31r001p_6bc87be5639d3b0f,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v4_m,real_tsc_fd_probe,"[-0.4773015723001297,-0.18390476986892895,0.18556953343592383,-0.1825934518181101,0.4783625036218756,0.21293042464019693,0.556999999999999,0.5409999999999999,-0.05934999999999998,0.7093999999999994,0.7093999999999998,0.2555,0.7935999999999989,0.47682457109827725,0.19289999999999996,0.7935999999999999,-0.24640000000000054,0.2900999999999999,0.5697725768879486,-0.24640000000000015,0.2877157187429291]",s31r000s_6090307a93683d00,nominal_05_s22g000_571ab4a158d29207,4,-1,0.02,-0.020000000000000018,two_sided,8
Stage3.1,round_001_probes,s31r001p_290d1a68d72d0f7b,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v4_p,real_tsc_fd_probe,"[-0.4773015723001297,-0.18390476986892895,0.18556953343592383,-0.1825934518181101,0.5183625036218756,0.21293042464019693,0.556999999999999,0.5409999999999999,-0.05934999999999998,0.7093999999999994,0.7093999999999998,0.2555,0.7935999999999989,0.47682457109827725,0.19289999999999996,0.7935999999999999,-0.24640000000000054,0.2900999999999999,0.5697725768879486,-0.24640000000000015,0.2877157187429291]",s31r000s_6090307a93683d00,nominal_05_s22g000_571ab4a158d29207,4,1,0.02,0.020000000000000018,two_sided,9
Stage3.1,round_001_probes,s31r001p_b4fb2846fc540db4,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v5_m,real_tsc_fd_probe,"[-0.4773015723001297,-0.18390476986892895,0.18556953343592383,-0.1825934518181101,0.4983625036218756,0.20593042464019692,0.556999999999999,0.5409999999999999,-0.05934999999999998,0.7093999999999994,0.7093999999999998,0.2555,0.7935999999999989,0.47682457109827725,0.19289999999999996,0.7935999999999999,-0.24640000000000054,0.2900999999999999,0.5697725768879486,-0.24640000000000015,0.2877157187429291]",s31r000s_6090307a93683d00,nominal_05_s22g000_571ab4a158d29207,5,-1,0.007,-0.007000000000000006,two_sided,10
Stage3.1,round_001_probes,s31r001p_06b86c4f0939d3de,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v5_p,real_tsc_fd_probe,"[-0.4773015723001297,-0.18390476986892895,0.18556953343592383,-0.1825934518181101,0.4983625036218756,0.21993042464019694,0.556999999999999,0.5409999999999999,-0.05934999999999998,0.7093999999999994,0.7093999999999998,0.2555,0.7935999999999989,0.47682457109827725,0.19289999999999996,0.7935999999999999,-0.24640000000000054,0.2900999999999999,0.5697725768879486,-0.24640000000000015,0.2877157187429291]",s31r000s_6090307a93683d00,nominal_05_s22g000_571ab4a158d29207,5,1,0.007,0.007000000000000006,two_sided,11
Stage3.1,round_001_probes,s31r001p_31c0c0376ccb0a0b,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v6_m,real_tsc_fd_probe,"[-0.4773015723001297,-0.18390476986892895,0.18556953343592383,-0.1825934518181101,0.4983625036218756,0.21293042464019693,0.526999999999999,0.5409999999999999,-0.05934999999999998,0.7093999999999994,0.7093999999999998,0.2555,0.7935999999999989,0.47682457109827725,0.19289999999999996,0.7935999999999999,-0.24640000000000054,0.2900999999999999,0.5697725768879486,-0.24640000000000015,0.2877157187429291]",s31r000s_6090307a93683d00,nominal_05_s22g000_571ab4a158d29207,6,-1,0.03,-0.030000000000000027,two_sided,12
Stage3.1,round_001_probes,s31r001p_60517879ead50b06,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v6_p,real_tsc_fd_probe,"[-0.4773015723001297,-0.18390476986892895,0.18556953343592383,-0.1825934518181101,0.4983625036218756,0.21293042464019693,0.5869999999999991,0.5409999999999999,-0.05934999999999998,0.7093999999999994,0.7093999999999998,0.2555,0.7935999999999989,0.47682457109827725,0.19289999999999996,0.7935999999999999,-0.24640000000000054,0.2900999999999999,0.5697725768879486,-0.24640000000000015,0.2877157187429291]",s31r000s_6090307a93683d00,nominal_05_s22g000_571ab4a158d29207,6,1,0.03,0.030000000000000027,two_sided,13
