recovery_family,recovery_level,controller_scale,baseline_experiment_id,feedback_experiment_id,baseline_pass,feedback_pass,preserved,recovered,lost,baseline_signed_margin,feedback_signed_margin,signed_margin_gain
nominal__m1__s04__p,3,0.5,s41r3_5db7083c9c883fae5a45,s41r3_7fce352f9f531e348f9f,True,True,True,False,False,0.1537171882038747,0.50366059,0.34994340179612526
nominal__m2__s04__m,3,0.5,s41r3_6399f68b9015ac03f8c9,s41r3_b0b1d3495a3c492484ed,True,True,True,False,False,0.3374624666666668,0.36400193085339205,0.02653946418672526
nominal__m2__s04__p,3,0.5,s41r3_59dc2a43a4fa4abca960,s41r3_26618a5f5e1197fa67ae,True,True,True,False,False,0.08165812004644446,0.4861424,0.4044842799535555
nominal__m2__s12__m,3,0.5,s41r3_97986785e74da3ce4341,s41r3_bfadca62fb848fc1901c,True,True,True,False,False,0.26140260000000004,0.4017977000000015,0.14039510000000144
nominal__m2__s12__p,3,0.5,s41r3_0844b6303384351fe2f3,s41r3_1dd2ca05878ae2dd0ca6,True,True,True,False,False,0.3472673360414068,0.45020733999999996,0.10294000395859315
nominal__m2__s24__m,3,0.5,s41r3_e2c894bc90d51a10baa2,s41r3_a63b337f83bdd0a6192a,True,True,True,False,False,0.3942568833333333,0.45179333666666666,0.05753645333333335
nominal__m2__s24__p,3,0.5,s41r3_785b60f3343b875e697a,s41r3_4be2e4a34f7d6f869f11,True,True,True,False,False,0.2629906695183909,0.2670252406968012,0.004034571178410329
RZ_p10_m10__m1__s04__p,3,0.5,s41r3_191544c216bcc63dcf34,s41r3_4a9ef460736aa19053f9,True,True,True,False,False,0.025841431951696414,0.3438237193333332,0.3179822873816368
RZ_p10_m10__m2__s04__m,3,0.5,s41r3_4ea2b702091712e5c7b3,s41r3_8672ea832e009b368216,True,True,True,False,False,0.07241466666666752,0.031531949692171435,-0.04088271697449608
RZ_p10_m10__m2__s04__p,3,0.5,s41r3_a8ee7a7800aa6d58fa6e,s41r3_117e1d43bb93ebd3efb8,False,True,False,True,False,-0.032707373729455425,0.2874823633333333,0.32018973706278875
RZ_p10_m10__m2__s12__m,3,0.5,s41r3_3368c94318da5b2e94ce,s41r3_204133aad9001ce1a1a1,True,True,True,False,False,0.08939599999999992,0.18187806666666584,0.09248206666666592
RZ_p10_m10__m2__s12__p,3,0.5,s41r3_5c1f4db8f6e038f974bc,s41r3_6cb6058c399dfc3e07ae,True,True,True,False,False,0.2187696292564305,0.20937269280143056,-0.009396936454999949
RZ_p10_m10__m2__s24__m,3,0.5,s41r3_b7087a11e6a7953253d2,s41r3_a6af836f3614d9d516a8,True,True,True,False,False,0.2542708433333333,0.23785841627884263,-0.01641242705449064
RZ_p10_m10__m2__s24__p,3,0.5,s41r3_3521f881417f75ce0d6c,s41r3_7153b3ea807f674fcc27,True,True,True,False,False,0.1739704396784787,0.19699489125468106,0.023024451576202365
