first_affected_state_step,minimum_formal_margin,mean_formal_margin,pass_count
20,-0.2909845395896773,-0.1776836231125502,0
21,-0.30668652905714167,-0.16088850553044443,0
22,-0.21624334500695608,-0.11422733834274709,1
23,-0.08573530759636228,0.020971782100255132,2
24,-0.12039190063365712,-0.02342463571131867,2
25,-0.16307665948352068,-0.06274509117085644,1
26,-0.1775291558419858,-0.0753948806926836,1
