target_id,actual_delay_steps,actual_slew_scale,source_terminal_box_error_m,source_terminal_speed_m_per_s,source_last10_speed_rms_m_per_s,source_last10_speed_linear_slope_per_step,source_last10_issued_desired_rms,source_last10_issued_mean_norm,source_last10_any_mode_at_0p1_fraction,source_last10_current_net_change_norm_A,source_max_final_pending_desired_norm,source_vessel_current_abs_sum_final_A
RZ_p10_m10,0,0.9,0.0227160782,0.02822418912114738,0.02728932592484908,0.0017675105739902157,0.05574121747277293,0.020317168408255096,0.4,0.6188489763710906,0.0,34.59
RZ_p10_m10,0,1.0,0.0252308187,0.030308297943179966,0.02842878659505077,0.0024835678595830565,0.05384011863282363,0.009771444180701241,0.4,0.3681327130865248,0.0,29.461
RZ_p10_m10,0,1.1,0.025154737099999998,0.03136707335530926,0.029488029678723014,0.0025824363614711104,0.05723832502326911,0.01363453844037701,0.4,0.435564161621325,0.0,47.553000000000004
RZ_p10_m10,1,0.9,0.026163891699999997,0.03837306993536459,0.02985103871740934,0.0029987403780944943,0.06784284064196916,0.06492461190429474,1.0,2.047172887992927,0.11812572306920291,58.355999999999995
RZ_p10_m10,1,1.0,0.025542444900000003,0.042936060377398284,0.02972610492753787,0.0027626326580318483,0.06556514567906159,0.054254664731313414,0.9,1.9113333478665357,0.13096322740218158,53.126999999999995
RZ_p10_m10,1,1.1,0.026135575299999998,0.039310195037628,0.030326499074741123,0.0016986429548237225,0.06364238676298355,0.06101773834081312,0.8,2.028783187583694,0.10113472278011054,48.123000000000005
RZ_p10_m10,2,0.9,0.028769951600000003,0.015830232491437758,0.021446344412463562,0.0015667659542067532,0.05032037374703972,0.07193134422390192,0.5,1.2961742745479805,0.10278897818582093,49.068
RZ_p10_m10,2,1.0,0.026025561500000002,0.018718596465130435,0.026418813585121173,-0.001070622301302133,0.05128264512069266,0.07591595424991733,0.6,2.2660909133964013,0.03056361187787379,53.019000000000005
RZ_p10_m10,2,1.1,0.0259038885,0.020250292031089093,0.026458470458617826,-0.001133758015305146,0.05105946424958979,0.07404353303619773,0.6,2.2685752748757855,0.022728185724052337,53.566
nominal,0,0.9,0.0150549269,0.026115239613752003,0.02701876902525336,-0.0030129366912824613,0.06552590846140749,0.043564089282240454,0.6,1.3059640330252456,0.0,35.941
nominal,0,1.0,0.0170216876,0.01990889202422664,0.0269243911067385,0.0006396919371230738,0.05180909221260662,0.035643696385787946,0.5,1.0577952569167413,0.0,19.125
nominal,0,1.1,0.0164809965,0.01732485762134639,0.02849033464327794,-0.00106490782075949,0.05020461825886611,0.04717987666047758,0.5,1.3816665058303117,0.0,13.928999999999998
nominal,1,0.9,0.017266001,0.045199722470937787,0.03553006882252046,0.0026146922196562,0.06445713999469856,0.045054846481595925,0.8,1.2913930247776768,0.1063717326638942,43.144
nominal,1,1.0,0.0160655803,0.02662309647749572,0.03423199936920045,0.0009856275820015366,0.06589624431099884,0.052637512292022154,0.8,1.4344838018526977,0.13953717521676354,28.762
nominal,1,1.1,0.0155877998,0.02820172434640224,0.03568265044033909,0.0011536607837618492,0.0674267951227629,0.05951541630255246,0.9,1.5710130224370074,0.14010596959032107,32.076
nominal,2,0.9,0.0209857729,0.03809981066402191,0.024662075368878787,-0.00024699145132082756,0.0547365035739024,0.05767191001900794,0.3,2.4330376304346566,0.08565775181302761,23.497
nominal,2,1.0,0.018296889,0.04864517707021482,0.03265342546318123,0.0029363715601302544,0.05970467376512394,0.03228572870209555,0.5,1.710128966871608,0.11982751281074351,29.78
nominal,2,1.1,0.0171327165,0.04168269542566831,0.03282481588040532,0.0027372272251316564,0.060598306899637064,0.048561039140932225,0.4,1.58793186601664,0.12054257326783983,37.476
