policy_id,n_rollouts,pure_stage3_tracking_fraction,r10_composite_pass_fraction,summary_tracking_fraction_is_composite,minimum_stage3_tracking_margin,minimum_r10_combined_margin
qp24_c0p50_v1p50_p1p00_early,9,1.0,1.0,True,0.3611365866666666,0.0516994003459631
qp24_c0p75_v2p00_p1p25_combined,9,1.0,0.3333333333333333,True,0.001985355351799445,-0.45688022843334664
qp28_c0p50_v1p50_p1p00_baseline,9,1.0,1.0,True,0.25351092,0.06318411956687808
qp28_c0p50_v1p50_p1p25_position,9,1.0,1.0,True,0.2717044066666666,0.06596020273119285
qp28_c0p50_v2p00_p1p00_velocity,9,1.0,1.0,True,0.23533944666666662,0.05501070194219493
qp28_c0p75_v1p50_p1p00_scale,9,1.0,0.4444444444444444,True,0.36371575,-0.4167898081618753
