source_experiment_id,scenario,environment_variant,repeats,successful_repeats,all_repeats_tracking_pass,worst_signed_margin
s40_1f5b8924b0ac2baf40bd,RZ_p7p0_m2p5,base,2,2,True,0.28825349209398987
s40_649b28818d0b353447d4,RZ_p10_m10__noise_high_s0,base,2,2,False,-0.09104483291189824
s40_758e23673d82e06abc10,Ip_p1500,base,2,2,True,0.265689225469259
s40_d98f849f7efe6952d813,RZ_p6p2_m8p6,base,2,2,True,0.29348141000000005
