candidate_id,vector,source_name,source_type,linear_prefilter_score,predicted_terminal_R_error_m,predicted_terminal_Z_error_m,predicted_terminal_Ip_error_A,predicted_late_RZ_rms_m,action_rms,delta_action_rms,repair_excess_rms,vector_digest,predicted_final3_box_max_error_m,predicted_terminal_velocity_m_per_s,predicted_late_velocity_rms_m_per_s,predicted_corner_max_violation,predicted_corner_sum_violation,proposal_rank_score,population_index,generation
s22g004_da81ee67066f0a3d,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2590421768972369,1.8182990748969636,0.1140883421788616,-0.31533565205519465,2.2669868817729637,-0.19295008593500526,-1.120668045737754,-1.409063758469233,0.18220407007822167,-0.5390044086987542,-0.2430580047699112,-0.022731279153778525]",corner_archive_00,anchor_corner,2.9445598166250857,-0.02725620514334981,0.032229618751647246,908.8782796188061,0.041796315886966875,0.4806748053577073,0.26018758889977656,0.0694325157325768,v_da81ee67066f0a3d,0.03129666784633901,0.02371165711032004,0.10296514183561885,0.04322226154463382,0.07287367990082227,46.16665433883296,0,4
s22g004_96f3cb5d7f89acac,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2444621768972368,1.8390350748969635,0.11034434217886159,-0.28698565205519466,2.226666881772964,-0.18080008593500527,-1.1571180457377541,-1.3880037584692329,0.22302807007822167,-0.6564544086987542,-0.2876080047699112,-0.011067279153778526]",corner_archive_01,anchor_corner,2.9440294249425887,-0.027122464682608927,0.03238235026840957,875.6764605615135,0.04179814042419882,0.48428014742801284,0.25843926279738977,0.06128959028559166,v_96f3cb5d7f89acac,0.03130250253808905,0.024514327357976207,0.10400143849518619,0.04341675126963507,0.08343113622149678,46.78343701274437,1,4
s22g004_9db60076b66743e2,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2590421768972369,1.7920550748969635,0.1140883421788616,-0.36636565205519467,2.2669868817729637,-0.17108008593500526,-1.120668045737754,-1.343453758469233,0.18220407007822167,-0.47339440869875427,-0.2430580047699112,0.0035127208462214735]",corner_archive_02,anchor_corner,2.9415699003295073,-0.02705483228365524,0.03233317016852197,894.4720628868126,0.041798980612463676,0.47805422388059093,0.2573619811838045,0.06645849345651833,v_9db60076b66743e2,0.03141040608124407,0.022944709948509587,0.1003406578705434,0.04701353604146896,0.050420114746903,49.05975633034838,2,4
s22g004_46cd6335cc266b11,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2327981768972367,1.8182990748969636,0.1024243421788616,-0.31533565205519465,2.3180168817729636,-0.19295008593500526,-1.055058045737754,-1.409063758469233,0.20844807007822166,-0.5390044086987542,-0.1774480047699112,-0.022731279153778525]",corner_archive_03,anchor_corner,2.9377343734979626,-0.027128226655320886,0.03219040332371178,908.3212966270839,0.0417540369374523,0.4775425264304485,0.2603821029347191,0.07758826324711707,v_46cd6335cc266b11,0.03135734697987717,0.023114766484145552,0.10217339698911528,0.04524489932923892,0.06697886922039165,47.95343144178956,3,4
s22g004_7c93c6991a938161,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2327981768972367,1.7920550748969635,0.1140883421788616,-0.31533565205519465,2.3180168817729636,-0.17108008593500526,-1.120668045737754,-1.409063758469233,0.20844807007822166,-0.47339440869875427,-0.2430580047699112,-0.022731279153778525]",corner_archive_04,anchor_corner,2.942106311752989,-0.02716451014093435,0.032245569345152936,885.8086312019404,0.04177877047686674,0.4798909789516193,0.2616082855664814,0.07426935710447788,v_7c93c6991a938161,0.03138432001282345,0.020867212109212704,0.1012580649633844,0.046144000427448484,0.05872465006129235,48.52240749301771,4,4
s22g004_c102765468b3b691,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2444621768972368,1.8390350748969635,0.1220083421788616,-0.3380156520551947,2.226666881772964,-0.18080008593500527,-1.0915080457377542,-1.4536137584692328,0.22302807007822167,-0.6564544086987542,-0.2219980047699112,-0.03731127915377853]",damped_archive_00,anchor_damped,2.9601389780400553,-0.027243758776026916,0.03249638528580291,888.1661481196534,0.04188602951890435,0.4834565479300444,0.2624785905265248,0.061771204376954505,v_c102765468b3b691,0.03139411767753989,0.023080637051765364,0.10006011559113885,0.04647058925132974,0.04707174516271828,48.383060447618874,5,4
s22g004_9a38726fe805d1d7,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.248195434942497,1.8000944869218463,0.11666845403562731,-0.4054248495828374,2.169363648757632,-0.32146902265432653,-0.8840062129819165,-1.3447246074137584,0.22790091051340608,-0.5999012891487809,0.06017319409651051,0.026043307691845728]",damped_archive_01,anchor_damped,2.9600481294766143,-0.02752317228532053,0.0320682274601127,949.9985562759539,0.04192668092445915,0.4665901449569199,0.25409481627534436,0.07348845128191231,v_9a38726fe805d1d7,0.0313203236523153,0.02700879987478701,0.09799919506588217,0.04401078841051009,0.04401078841051009,45.800820428225265,6,4
s22g004_f1eb833836e195bf,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2313401768972367,1.8521570748969636,0.1161763421788616,-0.31250065205519467,2.201151881772964,-0.16986508593500527,-1.1243130457377541,-1.4208087584692328,0.20990607007822168,-0.6236494086987542,-0.2548030047699112,-0.024189279153778526]",damped_archive_02,anchor_damped,2.9546746160728903,-0.027087105163883574,0.0325707690049437,885.763725240311,0.04186381923939257,0.4828778246520502,0.26048070495125875,0.056133575669967135,v_f1eb833836e195bf,0.03141323665614685,0.022911587728958568,0.10044827849457,0.04710788853822834,0.05159067348392821,49.20106222374619,7,4
s22g004_fc29a0a4a8f8207e,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.248195434942497,1.773850486921846,0.12833245403562732,-0.4054248495828374,2.220393648757632,-0.32146902265432653,-0.8840062129819165,-1.4103346074137584,0.2016569105134061,-0.5999012891487809,0.06017319409651051,0.05228730769184573]",precise_archive_00,anchor_precise,2.9709388517547453,-0.02773297032363431,0.03201368433664291,940.8463578580813,0.041968655723858925,0.4688170385268849,0.25844792316448784,0.08131329131199051,v_fc29a0a4a8f8207e,0.03130359401745214,0.024119179635795032,0.09693129032258913,0.04345313391507144,0.04345313391507144,45.22096866019184,8,4
s22g004_967ed9090f44e00c,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.235073434942497,1.7869724869218462,0.12250045403562732,-0.3799098495828374,2.194878648757632,-0.3105340226543265,-0.9168112129819165,-1.3775296074137584,0.21477891051340608,-0.6327062891487809,0.09297819409651051,0.03916530769184573]",precise_archive_01,anchor_precise,2.959287683748103,-0.02752385653211331,0.032068784258096936,948.6789505823763,0.041911203302049886,0.46922283149171434,0.2569548990439794,0.07546213329357854,v_967ed9090f44e00c,0.03131472569099246,0.02446352405131995,0.09774568170396887,0.04382418969974866,0.04382418969974866,45.606750164576084,9,4
