candidate_id,repeats,successful_repeats,all_repeats_strict_gate,worst_signed_margin,worst_sustained_box_m,max_post_arrival_velocity_rms
s32cr000p_03075fa5a99f2223,3,3,True,0.031981773333333297,0.0290405468,0.024192191262095444
s32cr000p_9e71d5727fe194e1,3,3,True,0.03115684333333324,0.0290652947,0.023950426942509893
s32cr000p_5f985038dfb37d02,3,3,True,0.031141506666666596,0.0290657548,0.02395307584101823
s32cr000p_fd93266b56b83ad8,3,3,True,0.03113665666666665,0.0290659003,0.023952827144644584
