generation,candidate_id,population_index,source_name,source_type,linear_prefilter_score,parameter_vector,validation_id,candidate_label,candidate_n_modes,candidate_target_fraction,sequence_scale,success,failure_reason,n_trajectory_steps,terminal_R_error_m,terminal_Z_error_m,terminal_Ip_error_A,terminal_RZ_euclidean_error_m,terminal_RZ_box_max_error_m,terminal_normalized_RZ_distance,min_normalized_RZ_distance,min_normalized_RZ_distance_after_step0,min_RZ_euclidean_error_after_step0_m,closest_step_after_step0,closest_velocity_after_step0_m_per_s,relative_distance_reduction,relative_distance_reduction_after_step0,first_step_within_2x_RZ_only,first_step_within_1x_RZ_only,first_step_within_2x,first_step_within_1x,first_step_after_step0_within_2x,first_step_after_step0_within_1x,terminal_within_2x_RZ_only,terminal_within_1x_RZ_only,terminal_within_2x,terminal_within_1x,gate_ip_tolerance_A,terminal_Ip_safe,late_Ip_safe_fraction,late_fraction_within_2x,late_fraction_within_1x,late_R_rms_m,late_Z_rms_m,late_RZ_euclidean_rms_m,terminal_velocity_m_per_s,max_velocity_m_per_s,late_velocity_mean_m_per_s,late_velocity_rms_m_per_s,max_current_utilization,wall_time_s,first_step_after_step0_within_30mm,ever_after_step0_within_30mm,terminal_within_30mm,late_fraction_within_30mm,longest_streak_after_step0_within_30mm_steps,trailing_streak_within_30mm_steps,first_step_after_step0_within_40mm,ever_after_step0_within_40mm,terminal_within_40mm,late_fraction_within_40mm,longest_streak_after_step0_within_40mm_steps,trailing_streak_within_40mm_steps,first_step_after_step0_within_80mm,ever_after_step0_within_80mm,terminal_within_80mm,late_fraction_within_80mm,longest_streak_after_step0_within_80mm_steps,trailing_streak_within_80mm_steps,gate_tier,gate_label,strict_gate_pass,relaxed_gate_pass,terminal_RZ_reduction_vs_zero_action_fraction,continuous_objective,selection_score,position_excess_objective,velocity_excess_objective,precise_streak_deficit,action_rms,delta_action_rms,repair_excess_rms,generation_rank
3,g003_f20467b6288df5b6,41,gaussian_0148,gaussian,2.8419226831530087,"[1.7260394424903442, 1.6084376685227324, 0.30474775495161116, 0.9684147524907896, 1.6564157733175828, -0.1139892083912658, 0.43426589198957877, 1.9895883608932132, 0.012928283908784255, -0.4874405149360735, -0.46684574196684514, 0.2671856881195561, -0.9201186522747256, 0.0031899642119066207, -0.17599503210557635]",g003_f20467b6288df5b6,,,,,True,,11,-0.02312149600000002,0.0317079597,876.1492000000035,0.03924281189740156,0.0317079597,1.3080937299133852,0.5817437020072838,0.7823352445323666,0.023470057335970997,1,0.6288896063614607,0.0,-0.3448108537023256,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.024368439276312402,0.033572013173971585,0.041483742614627325,0.13771301373408315,0.6493113202444136,0.12968744456414066,0.13449953172313484,0.41,788.7102003097534,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5480504457184486,60.459639361227815,3000060.459639361,0.016216072281468902,0.2612489094022729,1.0,0.418815853827278,0.18093773929454968,0.009143420530500067,149
2,g002_1987c3a75f82fa79,127,gaussian_0045,gaussian,3.0879683345052675,"[1.7407406923945115, 1.4481703668003993, 0.6059827256051764, 1.0152123492712997, 2.18587986225058, 0.03710601457899926, -0.03299858047264875, 1.7012810651993426, -0.1089025728688795, -0.6696009946644192, -0.3843063503935285, 0.019459390925916982, -0.5891119429667357, -0.34013418144513874, -0.06696686044612352]",g002_1987c3a75f82fa79,,,,,True,,11,-0.020939213999999984,0.0355097789,872.7285000000011,0.04122371987660357,0.0355097789,1.3741239958867857,0.5817437020072838,0.7822872723249186,0.023468618169747556,1,0.6288142931400539,0.0,-0.3447283909145335,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02304487481009078,0.035728550236696424,0.042515827135654986,0.14153179527059706,0.6520529512979101,0.11738017629963203,0.1234834183228113,0.41,779.7424011230469,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5252368287785167,60.46179549769515,3000060.4617954977,0.03657805446237796,0.22763609545229366,1.0,0.4126090612735954,0.16687526564881935,0.054921132490458185,110
3,g003_ff99da2ede2c49ef,70,gaussian_0388,gaussian,2.888462744057364,"[1.473213329272705, 1.3970960843372078, 0.2945590985861534, 1.3925602845144165, 1.7012621460119384, 0.24741351825858485, 0.3086574220745996, 1.9640523066924542, -0.22898695913759945, -0.6242038113343776, -0.30475316400644886, -0.33640419089559914, -0.5915535916484032, -0.5723469300341586, -0.024729306390180623]",g003_ff99da2ede2c49ef,,,,,True,,11,-0.024114117999999962,0.031444894,1046.4484000000011,0.03962665826926563,0.031444894,1.3208886089755212,0.5817437020072838,0.7825493258492768,0.023476479775478305,1,0.6295017248729617,0.0,-0.34517885307416507,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.025284531050887047,0.03337444908129206,0.04187076977968076,0.1320180224157194,0.6524811237058095,0.13645218217750119,0.13998128493029835,0.41,772.8431689739227,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5436297839898724,60.626931891921004,3000060.626931892,0.01490590719972933,0.26236569040912094,1.0,0.4186176261185023,0.16890485556541424,0.019384068076435817,150
2,g002_b38c9774b0b02d37,91,gaussian_0724,gaussian,3.039360245122753,"[1.9912814162978936, 1.358973351291565, 0.3908595009678219, 0.7406296035250086, 1.6028576797222662, 0.1398798357193497, 0.07012136889078993, 1.8157871138136155, -0.17625583967617364, 0.12796245830024, -0.027763718231782863, 0.2695322465573133, -0.31179264794193895, -0.8591816886314998, 0.030960097537297677]",g002_b38c9774b0b02d37,,,,,True,,11,-0.024808229000000015,0.0323766726,608.0354000000007,0.040788443887503634,0.0323766726,1.3596147962501213,0.5817437020072838,0.782148909954468,0.023464467298634037,1,0.6284748299859838,0.0,-0.34449055014380714,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.025820982387884113,0.034254479708519706,0.04289629950912793,0.14687213494769535,0.6504883024896811,0.10912430212036855,0.11865111259152514,0.41159999999999997,783.5752139091492,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5302497924208138,61.02274326419046,3000061.022743264,0.021798127334875635,0.2544861035456711,1.0,0.3954743810647991,0.16072651654786288,0.0,111
1,g001_be5722247350d6a0,123,gaussian_0019,gaussian,2.982418692274069,"[1.8091406489763173, 1.4419939797788333, 0.20457908594189456, 1.0568142470808575, 1.8492078051825425, 0.2925936696261969, 0.48897750442993626, 1.3733613244202763, 0.07622337935291885, -0.37253339680749475, -0.4597813434898302, 0.007827509691651469, -0.3508947809783526, 0.4314714952090284, 0.33539255545121716]",g001_be5722247350d6a0,,,,,True,,11,-0.026763799000000033,0.0306945116,634.1823000000004,0.04072412036219981,0.0306945116,1.3574706787399937,0.5817437020072838,0.7823344697007716,0.023470034091023148,1,0.6289406319169523,0.0,-0.3448095217900207,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.026840747329083568,0.03290035187141485,0.04246008561515883,0.13943306700248792,0.6504619203466689,0.1316606614580871,0.13371345480880756,0.41115,760.9365184307098,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5309905902175387,61.27972632067683,3000061.279726321,0.012031781958789706,0.269156380836821,1.0,0.3862787342231632,0.1532100509359974,0.023901425681629267,46
4,g004_7cdada0d8ec7b1be,21,gaussian_0495,gaussian,2.772843051855934,"[1.7364958689425252, 1.7215736329445572, 0.36093493125525716, 1.0563633698329784, 2.014429496792708, 0.11993962580160573, 0.7019370264351671, 1.6357754296961906, -0.17110908163274274, -0.6752503306720882, -0.4560042070960913, -0.08911367700837237, -0.9798289170342254, -0.1857777350003468, 0.2146794538487348]",g004_7cdada0d8ec7b1be,,,,,True,,11,-0.02301603299999999,0.0310395248,853.3424000000014,0.03864181510833702,0.0310395248,1.2880605036112343,0.5817437020072838,0.7823836898086968,0.0234715106942609,1,0.6290164146877189,0.0,-0.3448941296813573,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02404257191526037,0.033088281685634845,0.040900851448452576,0.13166203533555837,0.6490106881793295,0.13895538180664288,0.14284625453206412,0.41,732.5876045227051,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5549719739629714,61.39353513482928,3000061.393535135,0.01316340823102037,0.2838286009016571,1.0,0.42577350423014443,0.16932494794689046,0.04492520648564275,177
4,g004_7f405f5dc5229ee1,41,gaussian_0526,gaussian,2.8205849925949824,"[1.819626854673143, 1.3740248250336922, 0.4649115968859425, 1.5175938117050682, 1.9810768917307695, -0.1413547963805947, -0.0018614543429725933, 1.9150638426870903, -0.1546561511248672, -0.6629005689775521, -0.5104715493117364, -0.3458945241977191, -1.2243330561921757, 0.8311844169679687, -0.24542034312019959]",g004_7f405f5dc5229ee1,,,,,True,,11,-0.024068654999999994,0.0307719268,1415.1833000000006,0.03906675866377428,0.0307719268,1.3022252887924761,0.5817437020072838,0.7822546978276499,0.0234676409348295,1,0.6287449913846227,0.0,-0.34467239632936436,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02550395932604099,0.03241297266296273,0.0412438206056898,0.13676807825476636,0.6512214320952754,0.13694494717604555,0.13885773797751072,0.41009999999999996,731.8401710987091,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5500780063498248,61.40255888362768,3000061.4025588837,0.00831497872218818,0.2861815379277501,1.0,0.4511639744358526,0.20165783369129084,0.06912463387971451,178
2,g002_75cb491f54a141c8,60,gaussian_0734,gaussian,2.9651053427158773,"[2.3029031883984548, 1.7652658680309652, 0.38457879748374424, 1.0652682332671601, 1.3059063183740784, 0.3120081078689279, 0.09440416030714513, 1.9496616121948618, -0.20079442132222108, -0.2801927761275377, -0.22764691897942343, -0.059439154184857436, -0.3539092618352817, -0.6313398643949248, -0.24949538953558864]",g002_75cb491f54a141c8,,,,,True,,11,-0.026397148000000037,0.0303305217,914.9197000000022,0.040208829492141114,0.0303305217,1.3402943164047039,0.5817437020072838,0.7822447850130917,0.02346734355039275,1,0.6287093726105352,0.0,-0.3446553564980366,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027069750994594546,0.03245292498940756,0.042260664444344294,0.13932725365781282,0.6495276776864682,0.13288805758255823,0.13511850886458068,0.41095,775.5411093235016,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.536925065036959,61.49810975580925,3000061.498109756,0.009233579853459692,0.27799425451375814,1.0,0.4017199214197387,0.16837788777179352,0.07195821434693445,112
1,g001_bc6aa6c9a1ddd650,97,gaussian_0370,gaussian,2.924643485434252,"[2.062519820788193, 1.4064694140865897, 0.49667540796562965, 0.8283141055069728, 1.7187907020523465, 0.09246226637588731, 0.20339271277403928, 1.5628808042187627, 0.09969519585746282, -0.1462812357324615, -0.15808856326961543, -0.5279769484197492, -0.07466650243207845, -0.7570272843358833, -0.15082887029382508]",g001_bc6aa6c9a1ddd650,,,,,True,,11,-0.02547754400000002,0.0307668135,1037.9769000000015,0.03994623963798995,0.0307668135,1.3315413212663314,0.5817437020072838,0.7820765361158977,0.02346229608347693,1,0.6282840405771297,0.0,-0.3443661416829668,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.026201452601773683,0.03285965747356862,0.0420270532838462,0.14439901992585547,0.6496462759634455,0.12491751247229937,0.1291131358548377,0.41115,763.0952174663544,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5399492460730365,61.731732272272524,3000061.731732272,0.011413179200282755,0.28188476496787457,1.0,0.3997798557477894,0.1544891898936934,0.0,47
4,g004_89d14142dbd01cd8,32,gaussian_0468,gaussian,2.8072680229362725,"[1.7636920269024898, 1.5927696336372388, 0.4775776748867924, 1.3687380005667475, 2.0480371655844958, 0.006372717222242311, 0.1192209641945908, 2.258673593507452, -0.19519040967162235, -0.9445514463060327, -0.5933693233125406, 0.11818151738807964, -1.1915332663398845, -0.3066422996409782, -0.23865855790416204]",g004_89d14142dbd01cd8,,,,,True,,11,-0.021555298,0.0324146266,989.4044000000031,0.03892735400057692,0.0324146266,1.2975784666858974,0.5817437020072838,0.7823395330833214,0.02347018599249964,1,0.628932994769998,0.0,-0.34481822559297093,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.023509467788844687,0.03338393181835216,0.04083113982449072,0.1354553667998138,0.6503316236974573,0.13730412424454114,0.14042088081786794,0.41,761.3892738819122,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5516834946507534,61.848865705370734,3000061.8488657055,0.013634555169317697,0.289093064100162,1.0,0.4587194007425358,0.19430294423110786,0.08793871790498028,179
