candidate_id,phase,nominal_id,source_candidate_id,nominal_category,source_name,source_type,tail_vector,action_rms_pred,delta_action_rms_pred,repair_excess_rms_pred,probe_center_candidate_id,probe_center_nominal_id,probe_variable_index,probe_sign,probe_requested_delta,probe_actual_delta,probe_scheme,population_index
s30r01p_0dd4997b3962ca84,round_001_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v0_m,real_tsc_fd_probe,"[-0.46609345181811007,0.23286250362187674,0.15155042464019688,0.09999999999999996,0.1,0.035,0.14,0.14,0.05,0.15999999999999973,0.16,0.059999999999999915,0.16,-0.16,0.06,0.1599999999999991,-0.16,0.05999999999999987]",0.37484646308239744,0.20539065067762552,0.04807504367787985,s30r00s_46e233f658ec22e4,nominal_05_s22g000_571ab4a158d29207,0,-1,0.018,-0.018000000000000016,two_sided,0
s30r01p_6444ca42690572e8,round_001_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v0_p,real_tsc_fd_probe,"[-0.43009345181811004,0.23286250362187674,0.15155042464019688,0.09999999999999996,0.1,0.035,0.14,0.14,0.05,0.15999999999999973,0.16,0.059999999999999915,0.16,-0.16,0.06,0.1599999999999991,-0.16,0.05999999999999987]",0.3746414804112857,0.20503363158367366,0.04807504367787985,s30r00s_46e233f658ec22e4,nominal_05_s22g000_571ab4a158d29207,0,1,0.018,0.018000000000000016,two_sided,1
s30r01p_51bd778af07ae69a,round_001_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v1_m,real_tsc_fd_probe,"[-0.44809345181811006,0.21486250362187675,0.15155042464019688,0.09999999999999996,0.1,0.035,0.14,0.14,0.05,0.15999999999999973,0.16,0.059999999999999915,0.16,-0.16,0.06,0.1599999999999991,-0.16,0.05999999999999987]",0.37469071989940755,0.20491232639525708,0.04807504367787985,s30r00s_46e233f658ec22e4,nominal_05_s22g000_571ab4a158d29207,1,-1,0.018,-0.017999999999999988,two_sided,2
s30r01p_e94ffd363e3b5681,round_001_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v1_p,real_tsc_fd_probe,"[-0.44809345181811006,0.25086250362187673,0.15155042464019688,0.09999999999999996,0.1,0.035,0.14,0.14,0.05,0.15999999999999973,0.16,0.059999999999999915,0.16,-0.16,0.06,0.1599999999999991,-0.16,0.05999999999999987]",0.3747972440552447,0.20551167353085234,0.04807504367787985,s30r00s_46e233f658ec22e4,nominal_05_s22g000_571ab4a158d29207,1,1,0.018,0.017999999999999988,two_sided,3
s30r01p_107557dc04fb143c,round_001_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v2_m,real_tsc_fd_probe,"[-0.44809345181811006,0.23286250362187674,0.14455042464019688,0.09999999999999996,0.1,0.035,0.14,0.14,0.05,0.15999999999999973,0.16,0.059999999999999915,0.16,-0.16,0.06,0.1599999999999991,-0.16,0.05999999999999987]",0.37472875787643956,0.2051837067523787,0.04807504367787985,s30r00s_46e233f658ec22e4,nominal_05_s22g000_571ab4a158d29207,2,-1,0.007,-0.007000000000000006,two_sided,4
s30r01p_05f6455bd79fe3a4,round_001_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v2_p,real_tsc_fd_probe,"[-0.44809345181811006,0.23286250362187674,0.1585504246401969,0.09999999999999996,0.1,0.035,0.14,0.14,0.05,0.15999999999999973,0.16,0.059999999999999915,0.16,-0.16,0.06,0.1599999999999991,-0.16,0.05999999999999987]",0.3747557187060721,0.20522705402705538,0.04807504367787985,s30r00s_46e233f658ec22e4,nominal_05_s22g000_571ab4a158d29207,2,1,0.007,0.007000000000000006,two_sided,5
s30r01p_f83c70d75b6f5726,round_001_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v3_m,real_tsc_fd_probe,"[-0.44809345181811006,0.23286250362187674,0.15155042464019688,0.07199999999999997,0.1,0.035,0.14,0.14,0.05,0.15999999999999973,0.16,0.059999999999999915,0.16,-0.16,0.06,0.1599999999999991,-0.16,0.05999999999999987]",0.3747113271234208,0.204869663574119,0.04807504367787985,s30r00s_46e233f658ec22e4,nominal_05_s22g000_571ab4a158d29207,3,-1,0.028,-0.027999999999999997,two_sided,6
s30r01p_862f784b24f8e04b,round_001_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v3_p,real_tsc_fd_probe,"[-0.44809345181811006,0.23286250362187674,0.15155042464019688,0.12799999999999997,0.1,0.035,0.14,0.14,0.05,0.15999999999999973,0.16,0.059999999999999915,0.16,-0.16,0.06,0.1599999999999991,-0.16,0.05999999999999987]",0.3747824862609359,0.205577037064691,0.04807504367787985,s30r00s_46e233f658ec22e4,nominal_05_s22g000_571ab4a158d29207,3,1,0.028,0.02800000000000001,two_sided,7
s30r01p_737e83fa00576a0f,round_001_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v4_m,real_tsc_fd_probe,"[-0.44809345181811006,0.23286250362187674,0.15155042464019688,0.09999999999999996,0.07200000000000001,0.035,0.14,0.14,0.05,0.15999999999999973,0.16,0.059999999999999915,0.16,-0.16,0.06,0.1599999999999991,-0.16,0.05999999999999987]",0.3747113271234208,0.20534395023322244,0.04807504367787985,s30r00s_46e233f658ec22e4,nominal_05_s22g000_571ab4a158d29207,4,-1,0.028,-0.027999999999999997,two_sided,8
s30r01p_2ccc3ed9800fe14c,round_001_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v4_p,real_tsc_fd_probe,"[-0.44809345181811006,0.23286250362187674,0.15155042464019688,0.09999999999999996,0.128,0.035,0.14,0.14,0.05,0.15999999999999973,0.16,0.059999999999999915,0.16,-0.16,0.06,0.1599999999999991,-0.16,0.05999999999999987]",0.3747824862609359,0.20510328940289066,0.04807504367787985,s30r00s_46e233f658ec22e4,nominal_05_s22g000_571ab4a158d29207,4,1,0.028,0.027999999999999997,two_sided,9
