target_id,actual_delay_steps,actual_slew_scale,oracle_pass,oracle_margin,r7_precalibrated_clean_no_monitor_pass,r7_precalibrated_clean_no_monitor_trace_equal,r7_precalibrated_clean_no_monitor_margin,r7_precalibrated_clean_monitor_pass,r7_precalibrated_clean_monitor_trace_equal,r7_precalibrated_clean_monitor_margin,r7_precalibrated_noisy_monitor_pass,r7_precalibrated_noisy_monitor_trace_equal,r7_precalibrated_noisy_monitor_margin,naive_default_pass,naive_default_margin,r4_abrupt_unknown_pass,r4_abrupt_unknown_margin
RZ_p10_m10,0,0.9,True,1.0456920999768471e-05,True,True,1.0456920999768471e-05,True,True,1.0456920999768471e-05,True,True,1.0456920999768471e-05,False,-0.2558093548283251,False,-0.18900989634236165
RZ_p10_m10,0,1.0,True,0.23832005277494073,True,True,0.23832005277494073,True,True,0.23832005277494073,True,True,0.23832005277494073,True,0.23832005277494073,True,0.23832005277494073
RZ_p10_m10,0,1.1,True,0.33296004,True,True,0.33296004,True,True,0.33296004,True,True,0.33296004,True,0.30110085333333336,True,0.32086309
RZ_p10_m10,1,0.9,False,-0.16595203212338472,False,True,-0.16595203212338472,False,True,-0.16595203212338472,False,True,-0.16595203212338472,False,-0.05347910667948552,False,-0.11912047002765136
RZ_p10_m10,1,1.0,True,0.27013420000000044,True,True,0.27013420000000044,True,True,0.27013420000000044,True,True,0.27013420000000044,False,-0.8113751119778294,True,0.030519450175294116
RZ_p10_m10,1,1.1,True,0.31973813333333134,True,True,0.31973813333333134,True,True,0.31973813333333134,True,True,0.31973813333333134,False,-1.329039340074912,True,0.015007863562428891
RZ_p10_m10,2,0.9,False,-0.18049654489107136,False,True,-0.18049654489107136,False,True,-0.18049654489107136,False,True,-0.18049654489107136,False,-2.04268577590547,False,-0.48298205455412213
RZ_p10_m10,2,1.0,True,0.2759736000000004,True,True,0.2759736000000004,True,True,0.2759736000000004,True,True,0.2759736000000004,False,-3.478446018724319,False,-1.2145423057160438
RZ_p10_m10,2,1.1,True,0.3130183499999999,True,True,0.3130183499999999,True,True,0.3130183499999999,True,True,0.3130183499999999,False,-4.107399330119309,False,-1.8526029486374629
nominal,0,0.9,True,0.22532788322651087,True,True,0.22532788322651087,True,True,0.22532788322651087,True,True,0.22532788322651087,False,-0.01588045580891828,False,-0.06972951122507798
nominal,0,1.0,True,0.45179333666666666,True,True,0.45179333666666666,True,True,0.45179333666666666,True,True,0.45179333666666666,True,0.45179333666666666,True,0.45179333666666666
nominal,0,1.1,True,0.46286111333333335,True,True,0.46286111333333335,True,True,0.46286111333333335,True,True,0.46286111333333335,True,0.4527358366666667,True,0.47174868000000003
nominal,1,0.9,False,-0.027015391051228077,False,True,-0.027015391051228077,False,True,-0.027015391051228077,False,True,-0.027015391051228077,False,-0.019983925086698662,True,0.0076100409368250466
nominal,1,1.0,True,0.47356742666666674,True,True,0.47356742666666674,True,True,0.47356742666666674,True,True,0.47356742666666674,False,-0.540465600863586,True,0.12456123407471065
nominal,1,1.1,True,0.4926570333333333,True,True,0.4926570333333333,True,True,0.4926570333333333,True,True,0.4926570333333333,False,-0.9847158603133344,False,-0.0034036562624510935
nominal,2,0.9,False,-0.024942996202705903,False,True,-0.024942996202705903,False,True,-0.024942996202705903,False,True,-0.024942996202705903,False,-1.8722973142067265,False,-0.33023731300938475
nominal,2,1.0,True,0.4816273099999999,True,True,0.4816273099999999,True,True,0.4816273099999999,True,True,0.4816273099999999,False,-3.133069353573335,False,-1.033708474786879
nominal,2,1.1,True,0.46433280666666665,True,True,0.46433280666666665,True,True,0.46433280666666665,True,True,0.46433280666666665,False,-3.7406810074742385,False,-1.700130305307137
