candidate_id,phase,nominal_id,source_candidate_id,nominal_category,source_name,source_type,tail_vector,action_rms_pred,delta_action_rms_pred,repair_excess_rms_pred,probe_center_candidate_id,probe_center_nominal_id,probe_variable_index,probe_sign,probe_requested_delta,probe_actual_delta,probe_scheme,population_index
s30r00p_eec2030275959aca,round_000_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v0_m,real_tsc_fd_probe,"[-0.5160934518181093,0.18286250362187767,0.16955042464019665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.3736171378502529,0.20300361440547834,0.04807504367787985,s30screen_d3ce6bdbf6bfd41d,nominal_05_s22g000_571ab4a158d29207,0,-1,0.018,-0.018000000000000016,two_sided,0
s30r00p_983b6a60b004a26a,round_000_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v0_p,real_tsc_fd_probe,"[-0.48009345181810925,0.18286250362187767,0.16955042464019665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.37338852526242516,0.20264238983070487,0.04807504367787985,s30screen_d3ce6bdbf6bfd41d,nominal_05_s22g000_571ab4a158d29207,0,1,0.018,0.018000000000000016,two_sided,1
s30r00p_46b7d0952ecefc48,round_000_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v1_m,real_tsc_fd_probe,"[-0.49809345181810927,0.16486250362187768,0.16955042464019665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.37346088200609184,0.20251965234175698,0.04807504367787985,s30screen_d3ce6bdbf6bfd41d,nominal_05_s22g000_571ab4a158d29207,1,-1,0.018,-0.017999999999999988,two_sided,2
s30r00p_f95603810b8acb60,round_000_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v1_p,real_tsc_fd_probe,"[-0.49809345181810927,0.20086250362187766,0.16955042464019665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.37354481137381035,0.2031260594639727,0.04807504367787985,s30screen_d3ce6bdbf6bfd41d,nominal_05_s22g000_571ab4a158d29207,1,1,0.018,0.017999999999999988,two_sided,3
s30r00p_7beb4345407ddb9f,round_000_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v2_m,real_tsc_fd_probe,"[-0.49809345181810927,0.18286250362187767,0.16255042464019664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.37348596407506346,0.20278173035060246,0.04807504367787985,s30screen_d3ce6bdbf6bfd41d,nominal_05_s22g000_571ab4a158d29207,2,-1,0.007,-0.007000000000000006,two_sided,4
s30r00p_e19c4f4131dbadd1,round_000_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v2_p,real_tsc_fd_probe,"[-0.49809345181810927,0.18286250362187767,0.17655042464019666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.3735162273374009,0.20285059331711378,0.04807504367787985,s30screen_d3ce6bdbf6bfd41d,nominal_05_s22g000_571ab4a158d29207,2,1,0.007,0.007000000000000006,two_sided,5
s30r00p_3cdfe50fb3cb130c,round_000_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v3_m,real_tsc_fd_probe,"[-0.49809345181810927,0.18286250362187767,0.16955042464019665,-0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.3735057813779089,0.20248354074279618,0.04807504367787985,s30screen_d3ce6bdbf6bfd41d,nominal_05_s22g000_571ab4a158d29207,3,-1,0.028,-0.028,two_sided,6
s30r00p_9081e760d189b164,round_000_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v3_p,real_tsc_fd_probe,"[-0.49809345181810927,0.18286250362187767,0.16955042464019665,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.3735057813779089,0.2031851596484102,0.04807504367787985,s30screen_d3ce6bdbf6bfd41d,nominal_05_s22g000_571ab4a158d29207,3,1,0.028,0.028,two_sided,7
s30r00p_b422dcb73ae36fcf,round_000_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v4_m,real_tsc_fd_probe,"[-0.49809345181810927,0.18286250362187767,0.16955042464019665,0.0,-0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.3735057813779089,0.20296340339122967,0.04807504367787985,s30screen_d3ce6bdbf6bfd41d,nominal_05_s22g000_571ab4a158d29207,4,-1,0.028,-0.028,two_sided,8
s30r00p_e2d363ddafb689d8,round_000_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v4_p,real_tsc_fd_probe,"[-0.49809345181810927,0.18286250362187767,0.16955042464019665,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.3735057813779089,0.2027058219611329,0.04807504367787985,s30screen_d3ce6bdbf6bfd41d,nominal_05_s22g000_571ab4a158d29207,4,1,0.028,0.028,two_sided,9
