scenario,category,environment_variant,controller_scale,baseline_experiment_id,feedback_experiment_id,baseline_pass,feedback_pass,preserved,recovered,lost,baseline_signed_margin,feedback_signed_margin,signed_margin_gain
RZ_p10_m10__observation_delay_2,software_uncertainty,base,0.5,s40_7a2b3f7191cb973526fb,s40_923f79feef3a42d0cb09,True,True,True,False,False,0.2542708433333333,0.31207527,0.05780442666666674
RZ_p10_m10__action_delay_1,software_uncertainty,base,0.5,s40_1f4fe49d9d3611b6de69,s40_2a5fbf945e6f6ec1e3c2,True,False,False,False,True,0.04981312333333332,-0.42920687943122693,-0.47902000276456025
RZ_p10_m10__gain_all_m10,software_uncertainty,base,0.5,s40_d26005f3fdffea642712,s40_dd7bacad8acf01502229,True,True,True,False,False,0.1669491133333333,0.2687974666666657,0.10184835333333242
RZ_p10_m10__gain_all_m5,software_uncertainty,base,0.5,s40_f06e5a24f88f979ac1ea,s40_230381138a208534eb4c,True,True,True,False,False,0.24107263611788854,0.2751340333333343,0.034061397215445766
RZ_p10_m10__gain_all_p5,software_uncertainty,base,0.5,s40_afdf31ffa3e8341634c8,s40_5041932e30abc708bf5c,True,True,True,False,False,0.1463812499999999,0.20364225007421244,0.05726100007421253
RZ_p10_m10__gain_all_p10,software_uncertainty,base,0.5,s40_7c892cd255622a856208,s40_93dbcbc506617de17f16,True,True,True,False,False,0.048142509999999916,0.18247944455392895,0.13433693455392903
RZ_p10_m10__gain_m1low_m2high,software_uncertainty,base,0.5,s40_b2514a4c1b17faad5d76,s40_192f57bf007be2b04730,False,False,False,False,False,-0.5683693933333336,-0.06766312238738004,0.5007062709459535
RZ_p10_m10__gain_m1high_m2low,software_uncertainty,base,0.5,s40_d79950b9eda0dba0bf9f,s40_93b8838ff3f2625c82b9,True,True,True,False,False,0.002748466666667948,0.10107201872322025,0.0983235520565523
RZ_p10_m10__model_scale_m15,software_uncertainty,base,0.5,s40_30bb84e63e8d9faa86a1,s40_d3ee22d10f89f2ebd9e6,True,True,True,False,False,0.2542708433333333,0.22955459236390652,-0.024716250969426756
RZ_p10_m10__model_scale_p15,software_uncertainty,base,0.5,s40_6cada51c26fc2ff9d5a4,s40_3d26f6192bd56b3616e4,True,True,True,False,False,0.2542708433333333,0.25009351650097533,-0.0041773268323579416
RZ_p10_m10__bias_Rp0p5_Zm0p5,software_uncertainty,base,0.5,s40_069a0c66ff7f5e3c1f75,s40_786dfed983788303584a,True,True,True,False,False,0.2542708433333333,0.26318726666666736,0.00891642333333409
RZ_p10_m10__bias_Rm0p5_Zp0p5,software_uncertainty,base,0.5,s40_a331832bdaaffe7886f7,s40_111e08514cdb685169c5,True,True,True,False,False,0.2542708433333333,0.17906977095303878,-0.0752010723802945
RZ_p10_m10__combined_noise_delay,software_uncertainty,base,0.5,s40_b01d800fa6567aa9f0f9,s40_d528d5b8e39b76e4ac7c,True,True,True,False,False,0.2542708433333333,0.1941779713706281,-0.060092871962705185
RZ_p10_m10__combined_gain_actiondelay,software_uncertainty,base,0.5,s40_b5665ace776528854a41,s40_dacb0417a102533bd9a8,True,False,False,False,True,0.018604669641136495,-0.531991812557274,-0.5505964821984105
RZ_p10_m10__slew_0.9,actuation_slew_uncertainty,slew_0p9,0.5,s40_fbb9114861e434dc9e63,s40_2e2e62872350d2e55758,False,False,False,False,False,-0.42263100666666675,-0.5007357912676527,-0.07810478460098591
RZ_p10_m10__slew_1.1,actuation_slew_uncertainty,slew_1p1,0.5,s40_025df10ddf5889798824,s40_e2ca66fb4bfbdaf79028,False,True,False,True,False,-0.3165673693902118,0.30110085333333336,0.6176682227235452
