candidate_id,hall_of_fame_rank,confirmation_reasons,repeats,successful_repeats,all_repeats_strict_gate,all_repeats_relaxed_gate,worst_gate_tier,worst_final3_box_max_error_m,max_terminal_velocity_m_per_s,max_late_velocity_rms_m_per_s,worst_stage2_2_max_violation
s22g005_adf586ba25597d7e,1,"[""corner""]",3,3,False,False,3,0.0310443736,0.026640452894990247,0.10295809996098128,0.03481245333333338
s22g004_b034e7d0314c08d6,2,"[""corner""]",3,3,False,False,3,0.0310505996,0.025239988889105364,0.10292384536629184,0.035019986666666725
s22g005_fe6e232ce2c851ad,3,"[""corner""]",3,3,False,False,3,0.0310520357,0.027793535941518774,0.10236427159545632,0.035067856666666675
s22g004_54c30ebb7f0d4602,4,"[""corner""]",3,3,False,False,3,0.0310532819,0.02640856926351871,0.10349041625853456,0.03510939666666668
s22g005_b3b698b6f3917692,5,"[""corner""]",3,3,False,False,3,0.0310543386,0.023783879157611525,0.1023150729104779,0.03514462000000007
s22g004_89d222a7ea5c4cdd,6,"[""speed_safe""]",3,3,False,True,1,0.0311612042,0.03592963817421413,0.09970578733997104,0.038706806666666704
s22g004_b65dbd2d777a03f8,7,"[""speed_safe""]",3,3,False,True,1,0.031167895,0.01793864403171938,0.09962781619929147,0.03892983333333344
s22g000_571ab4a158d29207,8,"[""gate_hall""]",3,3,False,True,1,0.0315062376,0.010081189677419512,0.09481818063529814,0.05020792000000007
