stage,experiment_id,candidate_id,hall_of_fame_rank,repeat,confirmation_reasons,parameter_vector,validation_id,candidate_label,candidate_n_modes,candidate_target_fraction,sequence_scale,success,failure_reason,n_trajectory_steps,terminal_R_error_m,terminal_Z_error_m,terminal_Ip_error_A,terminal_RZ_euclidean_error_m,terminal_RZ_box_max_error_m,terminal_normalized_RZ_distance,min_normalized_RZ_distance,min_normalized_RZ_distance_after_step0,min_RZ_euclidean_error_after_step0_m,closest_step_after_step0,closest_velocity_after_step0_m_per_s,relative_distance_reduction,relative_distance_reduction_after_step0,first_step_within_2x_RZ_only,first_step_within_1x_RZ_only,first_step_within_2x,first_step_within_1x,first_step_after_step0_within_2x,first_step_after_step0_within_1x,terminal_within_2x_RZ_only,terminal_within_1x_RZ_only,terminal_within_2x,terminal_within_1x,gate_ip_tolerance_A,terminal_Ip_safe,late_Ip_safe_fraction,late_fraction_within_2x,late_fraction_within_1x,late_R_rms_m,late_Z_rms_m,late_RZ_euclidean_rms_m,terminal_velocity_m_per_s,max_velocity_m_per_s,late_velocity_mean_m_per_s,late_velocity_rms_m_per_s,max_current_utilization,wall_time_s,first_step_after_step0_within_30mm,ever_after_step0_within_30mm,terminal_within_30mm,late_fraction_within_30mm,longest_streak_after_step0_within_30mm_steps,trailing_streak_within_30mm_steps,first_step_after_step0_within_40mm,ever_after_step0_within_40mm,terminal_within_40mm,late_fraction_within_40mm,longest_streak_after_step0_within_40mm_steps,trailing_streak_within_40mm_steps,first_step_after_step0_within_80mm,ever_after_step0_within_80mm,terminal_within_80mm,late_fraction_within_80mm,longest_streak_after_step0_within_80mm_steps,trailing_streak_within_80mm_steps,gate_tier,gate_label,strict_gate_pass,relaxed_gate_pass,terminal_RZ_reduction_vs_zero_action_fraction,continuous_objective,selection_score,position_excess_objective,velocity_excess_objective,precise_streak_deficit,action_rms,delta_action_rms,repair_excess_rms,stage2_legacy_selection_score,stage2_legacy_continuous_objective,stage2_2_final3_box_errors_m,stage2_2_final3_box_max_error_m,stage2_2_final3_box_mean_error_m,stage2_2_terminal_box_error_m,stage2_2_final3_R_abs_max_error_m,stage2_2_final3_Z_abs_max_error_m,stage2_2_position_violation,stage2_2_terminal_speed_violation,stage2_2_late_speed_violation,stage2_2_ip_violation,stage2_2_max_violation,stage2_2_sum_violation,stage2_2_l2_violation,stage2_2_quality,stage2_2_selection_score
Stage2.2 confirmation,s22confirm_rank01_s22g005_adf586ba25597d7e_r00,s22g005_adf586ba25597d7e,1,0,"[""corner""]","[2.3911854335466187,1.204177336495726,0.471384395947247,1.264828462341373,1.8058785189844317,0.11909880277857489,-0.32742752958288246,2.2788439928251627,-0.2163958623919818,-1.0879326812337369,-1.4821006429944532,0.2055197261884271,-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458]",s22confirm_rank01_s22g005_adf586ba25597d7e_r00,,,,,True,,11,-0.027860905000000047,0.0304908684,696.449700000001,0.0413028217341763,0.0304908684,1.3767607244725435,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02788075920752113,0.031066557653222422,0.04174287649897605,0.026640452894990247,0.6492793452001951,0.09273065878724637,0.10295809996098128,0.41465,159.36323261260986,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5243258326611564,3789.7407778286142,1003789.7407778286,0.0019887793566585924,0.0008750355379157356,1.0,0.4791503566894423,0.2659535551354423,0.0744920444174498,3000039.0278666653,39.0278666654811,"[0.0310443736,0.0302909874,0.0304908684]",0.0310443736,0.030608743133333335,0.0304908684,0.027860905000000047,0.0310443736,0.03481245333333338,0.0,0.02958099960981264,0.0,0.03481245333333338,0.06439345294314602,0.04568306518833046,5.238567534213698,1003789.7407778286
Stage2.2 confirmation,s22confirm_rank01_s22g005_adf586ba25597d7e_r01,s22g005_adf586ba25597d7e,1,1,"[""corner""]","[2.3911854335466187,1.204177336495726,0.471384395947247,1.264828462341373,1.8058785189844317,0.11909880277857489,-0.32742752958288246,2.2788439928251627,-0.2163958623919818,-1.0879326812337369,-1.4821006429944532,0.2055197261884271,-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458]",s22confirm_rank01_s22g005_adf586ba25597d7e_r01,,,,,True,,11,-0.027860905000000047,0.0304908684,696.449700000001,0.0413028217341763,0.0304908684,1.3767607244725435,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02788075920752113,0.031066557653222422,0.04174287649897605,0.026640452894990247,0.6492793452001951,0.09273065878724637,0.10295809996098128,0.41465,155.64126896858215,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5243258326611564,3789.7407778286142,1003789.7407778286,0.0019887793566585924,0.0008750355379157356,1.0,0.4791503566894423,0.2659535551354423,0.0744920444174498,3000039.0278666653,39.0278666654811,"[0.0310443736,0.0302909874,0.0304908684]",0.0310443736,0.030608743133333335,0.0304908684,0.027860905000000047,0.0310443736,0.03481245333333338,0.0,0.02958099960981264,0.0,0.03481245333333338,0.06439345294314602,0.04568306518833046,5.238567534213698,1003789.7407778286
Stage2.2 confirmation,s22confirm_rank01_s22g005_adf586ba25597d7e_r02,s22g005_adf586ba25597d7e,1,2,"[""corner""]","[2.3911854335466187,1.204177336495726,0.471384395947247,1.264828462341373,1.8058785189844317,0.11909880277857489,-0.32742752958288246,2.2788439928251627,-0.2163958623919818,-1.0879326812337369,-1.4821006429944532,0.2055197261884271,-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458]",s22confirm_rank01_s22g005_adf586ba25597d7e_r02,,,,,True,,11,-0.027860905000000047,0.0304908684,696.449700000001,0.0413028217341763,0.0304908684,1.3767607244725435,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02788075920752113,0.031066557653222422,0.04174287649897605,0.026640452894990247,0.6492793452001951,0.09273065878724637,0.10295809996098128,0.41465,156.1954004764557,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5243258326611564,3789.7407778286142,1003789.7407778286,0.0019887793566585924,0.0008750355379157356,1.0,0.4791503566894423,0.2659535551354423,0.0744920444174498,3000039.0278666653,39.0278666654811,"[0.0310443736,0.0302909874,0.0304908684]",0.0310443736,0.030608743133333335,0.0304908684,0.027860905000000047,0.0310443736,0.03481245333333338,0.0,0.02958099960981264,0.0,0.03481245333333338,0.06439345294314602,0.04568306518833046,5.238567534213698,1003789.7407778286
Stage2.2 confirmation,s22confirm_rank02_s22g004_b034e7d0314c08d6_r00,s22g004_b034e7d0314c08d6,2,0,"[""corner""]","[2.3911854335466187,1.204177336495726,0.471384395947247,1.2708519768972368,1.8064892748969636,0.1193371421788616,-0.3382991520551947,2.2899503817729636,-0.20279158593500526,-1.091143545737754,-1.4385882584692329,0.19401387007822168,-0.5685289086987542,-0.2135335047699112,-0.03454107915377853]",s22confirm_rank02_s22g004_b034e7d0314c08d6_r00,,,,,True,,11,-0.02772740699999998,0.0305295905,714.4581000000035,0.04124154452783429,0.0305295905,1.3747181509278095,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.0278260471449306,0.031081317033860602,0.041717348528774616,0.025239988889105364,0.6492791664455781,0.09247586268802246,0.10292384536629184,0.41465,159.1375653743744,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5250315467717124,3809.890905322274,1003809.8909053223,0.0020087617326147813,0.0008548871725986288,1.0,0.4811125546871861,0.2619869085620431,0.07461407105668431,3000038.991620855,38.99162085474234,"[0.0310505996,0.0303035016,0.0305295905]",0.0310505996,0.03062789723333333,0.0305295905,0.027823103000000016,0.0310505996,0.035019986666666725,0.0,0.02923845366291844,0.0,0.035019986666666725,0.06425844032958516,0.04562112053350009,5.237356803780768,1003809.8909053223
Stage2.2 confirmation,s22confirm_rank02_s22g004_b034e7d0314c08d6_r01,s22g004_b034e7d0314c08d6,2,1,"[""corner""]","[2.3911854335466187,1.204177336495726,0.471384395947247,1.2708519768972368,1.8064892748969636,0.1193371421788616,-0.3382991520551947,2.2899503817729636,-0.20279158593500526,-1.091143545737754,-1.4385882584692329,0.19401387007822168,-0.5685289086987542,-0.2135335047699112,-0.03454107915377853]",s22confirm_rank02_s22g004_b034e7d0314c08d6_r01,,,,,True,,11,-0.02772740699999998,0.0305295905,714.4581000000035,0.04124154452783429,0.0305295905,1.3747181509278095,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.0278260471449306,0.031081317033860602,0.041717348528774616,0.025239988889105364,0.6492791664455781,0.09247586268802246,0.10292384536629184,0.41465,157.30018758773804,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5250315467717124,3809.890905322274,1003809.8909053223,0.0020087617326147813,0.0008548871725986288,1.0,0.4811125546871861,0.2619869085620431,0.07461407105668431,3000038.991620855,38.99162085474234,"[0.0310505996,0.0303035016,0.0305295905]",0.0310505996,0.03062789723333333,0.0305295905,0.027823103000000016,0.0310505996,0.035019986666666725,0.0,0.02923845366291844,0.0,0.035019986666666725,0.06425844032958516,0.04562112053350009,5.237356803780768,1003809.8909053223
Stage2.2 confirmation,s22confirm_rank02_s22g004_b034e7d0314c08d6_r02,s22g004_b034e7d0314c08d6,2,2,"[""corner""]","[2.3911854335466187,1.204177336495726,0.471384395947247,1.2708519768972368,1.8064892748969636,0.1193371421788616,-0.3382991520551947,2.2899503817729636,-0.20279158593500526,-1.091143545737754,-1.4385882584692329,0.19401387007822168,-0.5685289086987542,-0.2135335047699112,-0.03454107915377853]",s22confirm_rank02_s22g004_b034e7d0314c08d6_r02,,,,,True,,11,-0.02772740699999998,0.0305295905,714.4581000000035,0.04124154452783429,0.0305295905,1.3747181509278095,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.0278260471449306,0.031081317033860602,0.041717348528774616,0.025239988889105364,0.6492791664455781,0.09247586268802246,0.10292384536629184,0.41465,158.20110249519348,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5250315467717124,3809.890905322274,1003809.8909053223,0.0020087617326147813,0.0008548871725986288,1.0,0.4811125546871861,0.2619869085620431,0.07461407105668431,3000038.991620855,38.99162085474234,"[0.0310505996,0.0303035016,0.0305295905]",0.0310505996,0.03062789723333333,0.0305295905,0.027823103000000016,0.0310505996,0.035019986666666725,0.0,0.02923845366291844,0.0,0.035019986666666725,0.06425844032958516,0.04562112053350009,5.237356803780768,1003809.8909053223
Stage2.2 confirmation,s22confirm_rank03_s22g005_fe6e232ce2c851ad_r00,s22g005_fe6e232ce2c851ad,3,0,"[""corner""]","[2.3911854335466187,1.204177336495726,0.471384395947247,1.2814807968972368,1.7958604548969637,0.1240610621788616,-0.3589663020551947,2.2692832317729636,-0.19393423593500525,-1.117715595737754,-1.412016208469233,0.2046426900782217,-0.5951009586987541,-0.1869614547699112,-0.04516989915377853]",s22confirm_rank03_s22g005_fe6e232ce2c851ad_r00,,,,,True,,11,-0.027675157999999977,0.0306069667,717.0074000000022,0.041263795037537104,0.0306069667,1.3754598345845703,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027835361802613815,0.03110494471352849,0.04174116615900993,0.027793535941518774,0.6492932120464047,0.09236468069794099,0.10236427159545632,0.4147,157.00834321975708,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5247752932705867,3789.1523028827505,1003789.1523028828,0.0020230029240709967,0.0005589780177081541,1.0,0.4817074885712401,0.26130249095124586,0.0701197953510941,3000038.9907295033,38.990729503482214,"[0.0310520357,0.0303341702,0.0306069667]",0.0310520357,0.03066439086666667,0.0306069667,0.027860474000000024,0.0310520357,0.035067856666666675,0.0,0.02364271595456313,0.0,0.035067856666666675,0.058710572621229806,0.0422934107031111,5.2309350280338265,1003789.1523028828
Stage2.2 confirmation,s22confirm_rank03_s22g005_fe6e232ce2c851ad_r01,s22g005_fe6e232ce2c851ad,3,1,"[""corner""]","[2.3911854335466187,1.204177336495726,0.471384395947247,1.2814807968972368,1.7958604548969637,0.1240610621788616,-0.3589663020551947,2.2692832317729636,-0.19393423593500525,-1.117715595737754,-1.412016208469233,0.2046426900782217,-0.5951009586987541,-0.1869614547699112,-0.04516989915377853]",s22confirm_rank03_s22g005_fe6e232ce2c851ad_r01,,,,,True,,11,-0.027675157999999977,0.0306069667,717.0074000000022,0.041263795037537104,0.0306069667,1.3754598345845703,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027835361802613815,0.03110494471352849,0.04174116615900993,0.027793535941518774,0.6492932120464047,0.09236468069794099,0.10236427159545632,0.4147,159.73661279678345,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5247752932705867,3789.1523028827505,1003789.1523028828,0.0020230029240709967,0.0005589780177081541,1.0,0.4817074885712401,0.26130249095124586,0.0701197953510941,3000038.9907295033,38.990729503482214,"[0.0310520357,0.0303341702,0.0306069667]",0.0310520357,0.03066439086666667,0.0306069667,0.027860474000000024,0.0310520357,0.035067856666666675,0.0,0.02364271595456313,0.0,0.035067856666666675,0.058710572621229806,0.0422934107031111,5.2309350280338265,1003789.1523028828
Stage2.2 confirmation,s22confirm_rank03_s22g005_fe6e232ce2c851ad_r02,s22g005_fe6e232ce2c851ad,3,2,"[""corner""]","[2.3911854335466187,1.204177336495726,0.471384395947247,1.2814807968972368,1.7958604548969637,0.1240610621788616,-0.3589663020551947,2.2692832317729636,-0.19393423593500525,-1.117715595737754,-1.412016208469233,0.2046426900782217,-0.5951009586987541,-0.1869614547699112,-0.04516989915377853]",s22confirm_rank03_s22g005_fe6e232ce2c851ad_r02,,,,,True,,11,-0.027675157999999977,0.0306069667,717.0074000000022,0.041263795037537104,0.0306069667,1.3754598345845703,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027835361802613815,0.03110494471352849,0.04174116615900993,0.027793535941518774,0.6492932120464047,0.09236468069794099,0.10236427159545632,0.4147,156.8122363090515,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5247752932705867,3789.1523028827505,1003789.1523028828,0.0020230029240709967,0.0005589780177081541,1.0,0.4817074885712401,0.26130249095124586,0.0701197953510941,3000038.9907295033,38.990729503482214,"[0.0310520357,0.0303341702,0.0306069667]",0.0310520357,0.03066439086666667,0.0306069667,0.027860474000000024,0.0310520357,0.035067856666666675,0.0,0.02364271595456313,0.0,0.035067856666666675,0.058710572621229806,0.0422934107031111,5.2309350280338265,1003789.1523028828
Stage2.2 confirmation,s22confirm_rank04_s22g004_54c30ebb7f0d4602_r00,s22g004_54c30ebb7f0d4602,4,0,"[""corner""]","[2.3911854335466187,1.204177336495726,0.471384395947247,1.242849787353827,1.7997330678930357,0.1078284617050061,-0.3014638557833348,2.1760601716041026,-0.22562057149904513,-1.058672785812392,-1.4562157175476935,0.21003690441795672,-0.5972722134565953,-0.10576424338602372,0.01680324414797135]",s22confirm_rank04_s22g004_54c30ebb7f0d4602_r00,,,,,True,,11,-0.02798601199999995,0.0304463151,701.3745000000017,0.041354503634218956,0.0304463151,1.3784834544739655,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02795738349758764,0.031058681114072978,0.041788239548667984,0.02640856926351871,0.649284013555224,0.09328791103076726,0.10349041625853456,0.41465,156.44574069976807,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5237306252700609,3845.749864409212,1003845.7498644092,0.0020053972729704573,0.0012183005657842294,1.0,0.47854834008497554,0.26217873295679467,0.05905042667784508,3000039.0914364164,39.091436416437325,"[0.0310532819,0.030273767,0.0304463151]",0.0310532819,0.030591121333333332,0.0304463151,0.02798601199999995,0.0310532819,0.03510939666666668,0.0,0.034904162585345455,0.0,0.03510939666666668,0.07001355925201214,0.04950727522376459,5.248685510657541,1003845.7498644092
