target_id,actual_delay_steps,actual_slew_scale,formal_horizon_steps,formal_arrival_deadline_step,formal_contract_pass,best_endpoint_step,minimum_signed_margin,terminal_speed_m_per_s,sustained_box_error_m
RZ_p10_m10,0,0.9,37,27,True,27,1.0456920999768471e-05,0.09119858648752317,0.021765601000000023
RZ_p10_m10,0,1.0,35,25,True,25,0.23832005277494073,0.04401739910980761,0.021895236999999956
RZ_p10_m10,0,1.1,35,25,True,25,0.33296004,0.041327610445338864,0.020011198799999998
RZ_p10_m10,1,0.9,37,27,False,27,-0.15615510986364067,0.11561551098636406,0.02180875299999996
RZ_p10_m10,1,1.0,35,25,True,25,0.27013420000000044,0.037865576472029205,0.021895973999999985
RZ_p10_m10,1,1.1,35,25,True,25,0.31973813333333134,0.04461654968059258,0.020407856000000058
RZ_p10_m10,2,0.9,37,27,False,27,-0.18049654489107136,0.11621935238398737,0.02206077800000006
RZ_p10_m10,2,1.0,35,25,True,25,0.2759736000000004,0.025877338214206434,0.02172079199999999
RZ_p10_m10,2,1.1,35,25,True,25,0.3130183499999999,0.024742258927156233,0.0206094495
nominal,0,0.9,37,27,True,27,0.2320586386219078,0.07614827389831492,0.015208016999999963
nominal,0,1.0,35,25,True,25,0.45179333666666666,0.03534038695005065,0.0164461999
nominal,0,1.1,35,25,True,25,0.46286111333333335,0.029023678935894266,0.0161141666
nominal,1,0.9,37,27,False,27,-0.020531606627749444,0.10205316066277495,0.015424855999999987
nominal,1,1.0,35,25,True,25,0.47356742666666674,0.027551233204711013,0.0157929772
nominal,1,1.1,35,25,True,25,0.4926570333333333,0.026925358196046755,0.015220289
nominal,2,0.9,37,27,False,27,-0.008469316736227084,0.10084693167362271,0.015609035999999965
nominal,2,1.0,35,25,True,25,0.4816273099999999,0.03238305551924963,0.0155511807
nominal,2,1.1,35,25,True,25,0.46433280666666665,0.027639760281943284,0.0160700158
