candidate_id,confirmation_rank,confirmation_reasons,nominal_id,repeats,successful_repeats,all_repeats_strict_gate,all_repeats_relaxed_gate,worst_stage3_0_max_violation,latest_confirmed_arrival_ms,worst_sustained_box_max_error_m,max_post_arrival_velocity_rms_m_per_s
s30r999p_3d650586695d1458,1,"[""corner"",""speed_safe"",""relaxed""]",nominal_05_s22g000_571ab4a158d29207,3,3,False,True,0.15943391666666673,,0.0347830175,0.07380439887524418
s30r999p_c100a0376c13f0bd,2,"[""corner"",""speed_safe"",""relaxed""]",nominal_05_s22g000_571ab4a158d29207,3,3,False,True,0.15950887000000002,,0.0347852661,0.07424662430559334
s30r999p_8f77c81ea48cc213,3,"[""corner""]",nominal_05_s22g000_571ab4a158d29207,3,3,False,True,0.15989732666666678,,0.0347969198,0.07411841029815944
s30r999p_e7477623771b9c64,4,"[""corner""]",nominal_05_s22g000_571ab4a158d29207,3,3,False,True,0.1602795800000001,,0.0348083874,0.07455717320027508
