recovery_family,recovery_level,controller_scale,baseline_experiment_id,feedback_experiment_id,baseline_pass,feedback_pass,preserved,recovered,lost,baseline_signed_margin,feedback_signed_margin,signed_margin_gain
nominal__m2__s24__m,4,0.5,s41_c9487757fef1df2e7cc0,s41_5f42e9d85524d6cd411a,True,False,False,False,True,0.3942568833333333,-0.084095128254011,-0.4783520115873443
nominal__m2__s24__p,4,0.5,s41_c59c75d099e6f258db7f,s41_4f977e1c93395923674f,True,False,False,False,True,0.07100681587066626,-0.11416294878944999,-0.18516976466011625
RZ_p10_m10__m1__s04__p,4,0.5,s41_c4f74ce3d398f40e6595,s41_8cf2b681df09fd774b0b,False,False,False,False,False,-0.053900722297546055,-0.337861414321996,-0.28396069202444996
RZ_p10_m10__m2__s04__m,4,0.5,s41_10c40b08c9fe65e6cfc3,s41_6d4e0f93fb000a89fad0,True,True,True,False,False,0.0126892666666647,0.01594297211825957,0.0032537054515948682
RZ_p10_m10__m2__s12__m,4,0.5,s41_bb6de6ecdc20a4067cc8,s41_07d0431b7643fc48f16b,False,False,False,False,False,-0.015004000000000906,-0.00868325968273953,0.006320740317261375
RZ_p10_m10__m2__s12__p,4,0.5,s41_e4b73f6686078d5d69cc,s41_e4850dd4ecb2ca96ef8f,True,False,False,False,True,0.19366525214197094,-0.2131983981857668,-0.40686365032773775
RZ_p10_m10__m2__s24__m,4,0.5,s41_c108e83ffd3db5c280cd,s41_9c3bcb6e8501750f3cd1,True,False,False,False,True,0.2542708433333333,-0.14859890723816638,-0.40286975057149965
RZ_p10_m10__m2__s24__p,4,0.5,s41_935dd353f9407c72ca41,s41_10f802d0ed636069dcb0,False,False,False,False,False,-0.08431652909798326,-0.14728368336250797,-0.0629671542645247
nominal__m1__s04__p,5,0.5,s41_93b31d7d7bf9b1202fba,s41_85d319e15de6f95f8b48,False,False,False,False,False,-0.18257347710537908,-0.3786947293784493,-0.1961212522730702
nominal__m2__s04__m,5,0.5,s41_e085b7a6969cf8253193,s41_51e18aaf61dd33ef8222,True,True,True,False,False,0.2129913000000011,0.07522762803603755,-0.13776367196396355
nominal__m2__s12__m,5,0.5,s41_05756b8204427600c8fc,s41_4825fd86a1d47a33c050,True,True,True,False,False,0.16807246666666797,0.23890879435360712,0.07083632768693915
nominal__m2__s12__p,5,0.5,s41_0986771fa83304bc8adf,s41_a3b37257d6046d685ea5,True,True,True,False,False,0.30262588893957065,0.012751766831511469,-0.2898741221080592
nominal__m2__s24__m,5,0.5,s41_99608f17728ef319a6a5,s41_f530c04ab0043ad2ea24,True,False,False,False,True,0.3942568833333333,-0.14680839595257722,-0.5410652792859105
nominal__m2__s24__p,5,0.5,s41_97a920ff89ff8875b869,s41_f6cb821eafe6de4140fd,True,False,False,False,True,0.050294910655883096,-0.12374214774094905,-0.17403705839683214
RZ_p10_m10__m2__s04__m,5,0.5,s41_b246390fc8fd14f55878,s41_1244fc42a455bb1f7439,False,True,False,True,False,-0.023942733333334854,0.02692621401239048,0.050868947345725335
RZ_p10_m10__m2__s12__p,5,0.5,s41_4ee85d035cfcd4eaea30,s41_168c586a9534f92cc5ac,True,False,False,False,True,0.1788081958454858,-0.23758124938766123,-0.416389445233147
RZ_p10_m10__m2__s24__m,5,0.5,s41_d64acdaf542db0395b61,s41_69415cfaa656d777fa34,True,False,False,False,True,0.2542708433333333,-0.1484766006471936,-0.40274744398052686
nominal__m2__s04__m,6,0.5,s41_49d255194bbccea644e4,s41_b450cd2ed4d2e1d52149,True,True,True,False,False,0.09961646666666601,0.05727912295557247,-0.042337343711093545
nominal__m2__s12__m,6,0.5,s41_87bc10ab4c9359322b67,s41_c108b0cd01a2a90f8139,True,True,True,False,False,0.04132656666666534,0.1018416741541801,0.06051510748751476
nominal__m2__s12__p,6,0.5,s41_0255dc03eeb03685d09f,s41_22d136b4b7806f7327be,True,False,False,False,True,0.2661557991522939,-0.017569255131032024,-0.28372505428332595
nominal__m2__s24__m,6,0.5,s41_8e648ab829abb3fac4c0,s41_7414877031c1ebdda558,True,False,False,False,True,0.383621376852849,-0.25544849651087387,-0.6390698733637229
nominal__m2__s24__p,6,0.5,s41_ba48093fb575e1856668,s41_2ee9e4ab6ca0fed2565d,False,False,False,False,False,-0.2347063164769585,-0.31708204482697155,-0.08237572835001306
RZ_p10_m10__m2__s12__p,6,0.5,s41_9299e34d1e1399ac4524,s41_23975770575fb620a67b,True,False,False,False,True,0.13377844204293454,-0.2601417727071489,-0.39392021475008343
RZ_p10_m10__m2__s24__m,6,0.5,s41_cbf904ebe87c82a8a494,s41_c17aeaca95606a655275,True,False,False,False,True,0.2542708433333333,-0.14859890723816638,-0.40286975057149965
