stage,phase,candidate_id,nominal_id,source_candidate_id,nominal_category,source_name,source_type,control_vector,probe_center_candidate_id,probe_center_nominal_id,probe_variable_index,probe_sign,probe_requested_delta,probe_actual_delta,probe_scheme,population_index
Stage3.1,round_002_probes,s31r002p_b39585abf7cb1ba7,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v0_m,real_tsc_fd_probe,"[-0.3293015723001298,-0.021904769868929086,0.24226953343592372,0.060406548181889896,0.7413625036218756,0.2979804246401969,0.9214999999999991,0.7874395968077805,-0.01639373223780221,0.26389999999999947,0.26389999999999975,0.14596186690376187,0.3075999999999992,-0.009175428901722738,0.365025,0.3075999999999999,-0.7324000000000005,0.4622249999999957,0.08377257688794898,-0.7323999999999997,0.45984071874292176]",s31r001s_8fd81934c26f4bed,nominal_05_s22g000_571ab4a158d29207,0,-1,0.014,-0.014000000000000012,two_sided,0
Stage3.1,round_002_probes,s31r002p_cf118ff79a29044f,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v0_p,real_tsc_fd_probe,"[-0.30130157230012977,-0.021904769868929086,0.24226953343592372,0.060406548181889896,0.7413625036218756,0.2979804246401969,0.9214999999999991,0.7874395968077805,-0.01639373223780221,0.26389999999999947,0.26389999999999975,0.14596186690376187,0.3075999999999992,-0.009175428901722738,0.365025,0.3075999999999999,-0.7324000000000005,0.4622249999999957,0.08377257688794898,-0.7323999999999997,0.45984071874292176]",s31r001s_8fd81934c26f4bed,nominal_05_s22g000_571ab4a158d29207,0,1,0.014,0.014000000000000012,two_sided,1
Stage3.1,round_002_probes,s31r002p_fe67637fc7b3b3a5,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v1_m,real_tsc_fd_probe,"[-0.3153015723001298,-0.035904769868929085,0.24226953343592372,0.060406548181889896,0.7413625036218756,0.2979804246401969,0.9214999999999991,0.7874395968077805,-0.01639373223780221,0.26389999999999947,0.26389999999999975,0.14596186690376187,0.3075999999999992,-0.009175428901722738,0.365025,0.3075999999999999,-0.7324000000000005,0.4622249999999957,0.08377257688794898,-0.7323999999999997,0.45984071874292176]",s31r001s_8fd81934c26f4bed,nominal_05_s22g000_571ab4a158d29207,1,-1,0.014,-0.013999999999999999,two_sided,2
Stage3.1,round_002_probes,s31r002p_8c2c16b2c7beb80b,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v1_p,real_tsc_fd_probe,"[-0.3153015723001298,-0.007904769868929086,0.24226953343592372,0.060406548181889896,0.7413625036218756,0.2979804246401969,0.9214999999999991,0.7874395968077805,-0.01639373223780221,0.26389999999999947,0.26389999999999975,0.14596186690376187,0.3075999999999992,-0.009175428901722738,0.365025,0.3075999999999999,-0.7324000000000005,0.4622249999999957,0.08377257688794898,-0.7323999999999997,0.45984071874292176]",s31r001s_8fd81934c26f4bed,nominal_05_s22g000_571ab4a158d29207,1,1,0.014,0.014,two_sided,3
Stage3.1,round_002_probes,s31r002p_0f38078044a0f51e,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v2_m,real_tsc_fd_probe,"[-0.3153015723001298,-0.021904769868929086,0.23726953343592372,0.060406548181889896,0.7413625036218756,0.2979804246401969,0.9214999999999991,0.7874395968077805,-0.01639373223780221,0.26389999999999947,0.26389999999999975,0.14596186690376187,0.3075999999999992,-0.009175428901722738,0.365025,0.3075999999999999,-0.7324000000000005,0.4622249999999957,0.08377257688794898,-0.7323999999999997,0.45984071874292176]",s31r001s_8fd81934c26f4bed,nominal_05_s22g000_571ab4a158d29207,2,-1,0.005,-0.0050000000000000044,two_sided,4
Stage3.1,round_002_probes,s31r002p_345fa1c836cdef3e,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v2_p,real_tsc_fd_probe,"[-0.3153015723001298,-0.021904769868929086,0.24726953343592373,0.060406548181889896,0.7413625036218756,0.2979804246401969,0.9214999999999991,0.7874395968077805,-0.01639373223780221,0.26389999999999947,0.26389999999999975,0.14596186690376187,0.3075999999999992,-0.009175428901722738,0.365025,0.3075999999999999,-0.7324000000000005,0.4622249999999957,0.08377257688794898,-0.7323999999999997,0.45984071874292176]",s31r001s_8fd81934c26f4bed,nominal_05_s22g000_571ab4a158d29207,2,1,0.005,0.0050000000000000044,two_sided,5
Stage3.1,round_002_probes,s31r002p_8c65ff61d39b3002,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v3_m,real_tsc_fd_probe,"[-0.3153015723001298,-0.021904769868929086,0.24226953343592372,0.04040654818188989,0.7413625036218756,0.2979804246401969,0.9214999999999991,0.7874395968077805,-0.01639373223780221,0.26389999999999947,0.26389999999999975,0.14596186690376187,0.3075999999999992,-0.009175428901722738,0.365025,0.3075999999999999,-0.7324000000000005,0.4622249999999957,0.08377257688794898,-0.7323999999999997,0.45984071874292176]",s31r001s_8fd81934c26f4bed,nominal_05_s22g000_571ab4a158d29207,3,-1,0.02,-0.020000000000000004,two_sided,6
Stage3.1,round_002_probes,s31r002p_4a83880e52cb3570,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v3_p,real_tsc_fd_probe,"[-0.3153015723001298,-0.021904769868929086,0.24226953343592372,0.0804065481818899,0.7413625036218756,0.2979804246401969,0.9214999999999991,0.7874395968077805,-0.01639373223780221,0.26389999999999947,0.26389999999999975,0.14596186690376187,0.3075999999999992,-0.009175428901722738,0.365025,0.3075999999999999,-0.7324000000000005,0.4622249999999957,0.08377257688794898,-0.7323999999999997,0.45984071874292176]",s31r001s_8fd81934c26f4bed,nominal_05_s22g000_571ab4a158d29207,3,1,0.02,0.020000000000000004,two_sided,7
Stage3.1,round_002_probes,s31r002p_f3dcc2e6ab95917f,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v4_m,real_tsc_fd_probe,"[-0.3153015723001298,-0.021904769868929086,0.24226953343592372,0.060406548181889896,0.7213625036218756,0.2979804246401969,0.9214999999999991,0.7874395968077805,-0.01639373223780221,0.26389999999999947,0.26389999999999975,0.14596186690376187,0.3075999999999992,-0.009175428901722738,0.365025,0.3075999999999999,-0.7324000000000005,0.4622249999999957,0.08377257688794898,-0.7323999999999997,0.45984071874292176]",s31r001s_8fd81934c26f4bed,nominal_05_s22g000_571ab4a158d29207,4,-1,0.02,-0.020000000000000018,two_sided,8
Stage3.1,round_002_probes,s31r002p_23ca70c286a8085a,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v4_p,real_tsc_fd_probe,"[-0.3153015723001298,-0.021904769868929086,0.24226953343592372,0.060406548181889896,0.7613625036218756,0.2979804246401969,0.9214999999999991,0.7874395968077805,-0.01639373223780221,0.26389999999999947,0.26389999999999975,0.14596186690376187,0.3075999999999992,-0.009175428901722738,0.365025,0.3075999999999999,-0.7324000000000005,0.4622249999999957,0.08377257688794898,-0.7323999999999997,0.45984071874292176]",s31r001s_8fd81934c26f4bed,nominal_05_s22g000_571ab4a158d29207,4,1,0.02,0.020000000000000018,two_sided,9
