step_index,delta_a_tsc_CS1U,action_norm_tsc_CS1U,delta_a_tsc_CS2U,action_norm_tsc_CS2U,delta_a_tsc_CS3U,action_norm_tsc_CS3U,delta_a_tsc_CS1L,action_norm_tsc_CS1L,delta_a_tsc_CS2L,action_norm_tsc_CS2L,delta_a_tsc_CS3L,action_norm_tsc_CS3L,delta_a_tsc_CS4U,action_norm_tsc_CS4U,delta_a_tsc_CS4L,action_norm_tsc_CS4L,delta_a_tsc_PF2U,action_norm_tsc_PF2U,delta_a_tsc_PF2L,action_norm_tsc_PF2L,delta_a_tsc_PF3U,action_norm_tsc_PF3U,delta_a_tsc_PF3L,action_norm_tsc_PF3L,delta_a_tsc_PF4U,action_norm_tsc_PF4U,delta_a_tsc_PF4L,action_norm_tsc_PF4L,delta_a_display_CS1U,action_norm_display_CS1U,delta_a_display_CS1L,action_norm_display_CS1L,delta_a_display_CS2U,action_norm_display_CS2U,delta_a_display_CS2L,action_norm_display_CS2L,delta_a_display_CS3U,action_norm_display_CS3U,delta_a_display_CS3L,action_norm_display_CS3L,delta_a_display_CS4U,action_norm_display_CS4U,delta_a_display_CS4L,action_norm_display_CS4L,delta_a_display_PF2U,action_norm_display_PF2U,delta_a_display_PF2L,action_norm_display_PF2L,delta_a_display_PF3U,action_norm_display_PF3U,delta_a_display_PF3L,action_norm_display_PF3L,delta_a_display_PF4U,action_norm_display_PF4U,delta_a_display_PF4L,action_norm_display_PF4L
0,-2.120963585165836,-0.7069878617219453,-3.0,-1.0,-1.9220418374624817,-0.6406806124874939,0.7525078334348279,0.25083594447827595,1.717858520410631,0.5726195068035437,1.234172544686065,0.4113908482286883,-0.9844091747384052,-0.3281363915794684,0.725523499760462,0.24184116658682067,-1.7703511734411101,-0.5901170578137034,1.614094512324472,0.5380315041081574,-1.268325311162981,-0.4227751037209937,1.965510778494501,0.655170259498167,0.03498940758897384,0.01166313586299128,2.5102867728078704,0.8367622576026235,-2.120963585165836,-0.7069878617219453,0.7525078334348279,0.25083594447827595,-3.0,-1.0,1.717858520410631,0.5726195068035437,-1.9220418374624817,-0.6406806124874939,1.234172544686065,0.4113908482286883,-0.9844091747384052,-0.3281363915794684,0.725523499760462,0.24184116658682067,-1.7703511734411101,-0.5901170578137034,1.614094512324472,0.5380315041081574,-1.268325311162981,-0.4227751037209937,1.965510778494501,0.655170259498167,0.03498940758897384,0.01166313586299128,2.5102867728078704,0.8367622576026235
1,-2.3691460746236475,-0.7897153582078825,-2.9999999999999996,-0.9999999999999999,-1.8400764414116766,-0.6133588138038922,0.3919519426522522,0.13065064755075073,1.4937347487065695,0.49791158290218984,1.1380446728634208,0.37934822428780696,-0.9134680363321339,-0.30448934544404466,0.6896855076033988,0.22989516920113293,-1.5697885343477487,-0.5232628447825829,1.5785391873638557,0.5261797291212852,-0.9817672958950783,-0.3272557652983594,1.998831016287574,0.6662770054291913,0.45793695169231396,0.15264565056410465,2.71256395725706,0.9041879857523534,-2.3691460746236475,-0.7897153582078825,0.3919519426522522,0.13065064755075073,-2.9999999999999996,-0.9999999999999999,1.4937347487065695,0.49791158290218984,-1.8400764414116766,-0.6133588138038922,1.1380446728634208,0.37934822428780696,-0.9134680363321339,-0.30448934544404466,0.6896855076033988,0.22989516920113293,-1.5697885343477487,-0.5232628447825829,1.5785391873638557,0.5261797291212852,-0.9817672958950783,-0.3272557652983594,1.998831016287574,0.6662770054291913,0.45793695169231396,0.15264565056410465,2.71256395725706,0.9041879857523534
2,-2.566012370900102,-0.8553374569667006,-3.0000000000000004,-1.0000000000000002,-1.7750588651168853,-0.5916862883722951,0.10594746677608846,0.03531582225869615,1.3159525975996194,0.4386508658665398,1.0617929673704012,0.35393098912346704,-0.8571952541459762,-0.2857317513819921,0.6612576648601061,0.22041922162003535,-1.410695827944492,-0.47023194264816404,1.550335565290462,0.5167785217634874,-0.7544603039418329,-0.251486767980611,2.025261695662672,0.6750872318875573,0.7934324844704246,0.2644774948234749,2.873016695928256,0.9576722319760854,-2.566012370900102,-0.8553374569667006,0.10594746677608846,0.03531582225869615,-3.0000000000000004,-1.0000000000000002,1.3159525975996194,0.4386508658665398,-1.7750588651168853,-0.5916862883722951,1.0617929673704012,0.35393098912346704,-0.8571952541459762,-0.2857317513819921,0.6612576648601061,0.22041922162003535,-1.410695827944492,-0.47023194264816404,1.550335565290462,0.5167785217634874,-0.7544603039418329,-0.251486767980611,2.025261695662672,0.6750872318875573,0.7934324844704246,0.2644774948234749,2.873016695928256,0.9576722319760854
3,-2.656512592617537,-0.885504197539179,-3.0000000000000004,-1.0000000000000002,-1.74517002593262,-0.5817233419775399,-0.025529931684358464,-0.008509977228119489,1.2342254335451497,0.41140847784838325,1.0267397541796566,0.34224658472655217,-0.8313264316972993,-0.2771088105657664,0.6481892721495348,0.2160630907165116,-1.3375602761743561,-0.44585342539145206,1.5373702477162818,0.5124567492387606,-0.6499663729908274,-0.21665545766360914,2.0374119844060017,0.6791373281353339,0.947661119213423,0.3158870397378077,2.9467774599572674,0.9822591533190891,-2.656512592617537,-0.885504197539179,-0.025529931684358464,-0.008509977228119489,-3.0000000000000004,-1.0000000000000002,1.2342254335451497,0.41140847784838325,-1.74517002593262,-0.5817233419775399,1.0267397541796566,0.34224658472655217,-0.8313264316972993,-0.2771088105657664,0.6481892721495348,0.2160630907165116,-1.3375602761743561,-0.44585342539145206,1.5373702477162818,0.5124567492387606,-0.6499663729908274,-0.21665545766360914,2.0374119844060017,0.6791373281353339,0.947661119213423,0.3158870397378077,2.9467774599572674,0.9822591533190891
4,-2.4451644954008334,-0.8150548318002778,-2.7024035483750035,-0.9008011827916679,-1.5548198347904083,-0.5182732782634695,-0.09879619333145029,-0.032932064443816765,1.0646747270641144,0.35489157568803814,0.9046796529076716,0.3015598843025572,-0.7339460474763164,-0.24464868249210547,0.5763555278369792,0.19211850927899307,-1.1627120759612537,-0.38757069198708455,1.377390226790515,0.4591300755968383,-0.5252480728893033,-0.1750826909631011,1.842307959110105,0.6141026530367016,0.9425695054727317,0.3141898351575772,2.6969848689855116,0.8989949563285039,-2.4451644954008334,-0.8150548318002778,-0.09879619333145029,-0.032932064443816765,-2.7024035483750035,-0.9008011827916679,1.0646747270641144,0.35489157568803814,-1.5548198347904083,-0.5182732782634695,0.9046796529076716,0.3015598843025572,-0.7339460474763164,-0.24464868249210547,0.5763555278369792,0.19211850927899307,-1.1627120759612537,-0.38757069198708455,1.377390226790515,0.4591300755968383,-0.5252480728893033,-0.1750826909631011,1.842307959110105,0.6141026530367016,0.9425695054727317,0.3141898351575772,2.6969848689855116,0.8989949563285039
5,-1.204327840410765,-0.40144261347025495,-1.222379554932204,-0.407459851644068,-0.6708258540923564,-0.22360861803078547,-0.18750511453224783,-0.06250170484408261,0.39280918312110774,0.13093639437370258,0.3711378467949219,0.1237126155983073,-0.3038863219190442,-0.10129544063968139,0.24650771761445925,0.08216923920481975,-0.4464870568104606,-0.14882901893682018,0.6089521102793866,0.2029840367597955,-0.12407978141473525,-0.04135992713824508,0.8465302675013786,0.28217675583379287,0.5938829229219289,0.19796097430730963,1.3000507349974366,0.43335024499914554,-1.204327840410765,-0.40144261347025495,-0.18750511453224783,-0.06250170484408261,-1.222379554932204,-0.407459851644068,0.39280918312110774,0.13093639437370258,-0.6708258540923564,-0.22360861803078547,0.3711378467949219,0.1237126155983073,-0.3038863219190442,-0.10129544063968139,0.24650771761445925,0.08216923920481975,-0.4464870568104606,-0.14882901893682018,0.6089521102793866,0.2029840367597955,-0.12407978141473525,-0.04135992713824508,0.8465302675013786,0.28217675583379287,0.5938829229219289,0.19796097430730963,1.3000507349974366,0.43335024499914554
6,-0.45828759312926937,-0.1527625310430898,-0.39130491166387527,-0.13043497055462508,-0.19071264633150545,-0.06357088211050181,-0.1657302646173045,-0.0552434215391015,0.06003714661420525,0.020012382204735082,0.09062520432875246,0.030208401442917487,-0.07648098992882338,-0.025493663309607794,0.0684045309649457,0.022801510321648566,-0.0841279431504529,-0.028042647716817633,0.18451214325795462,0.06150404775265154,0.04429207092140051,0.014764023640466835,0.2807577521214946,0.09358591737383154,0.31411063974420594,0.10470354658140198,0.47547178257108297,0.158490594190361,-0.45828759312926937,-0.1527625310430898,-0.1657302646173045,-0.0552434215391015,-0.39130491166387527,-0.13043497055462508,0.06003714661420525,0.020012382204735082,-0.19071264633150545,-0.06357088211050181,0.09062520432875246,0.030208401442917487,-0.07648098992882338,-0.025493663309607794,0.0684045309649457,0.022801510321648566,-0.0841279431504529,-0.028042647716817633,0.18451214325795462,0.06150404775265154,0.04429207092140051,0.014764023640466835,0.2807577521214946,0.09358591737383154,0.31411063974420594,0.10470354658140198,0.47547178257108297,0.158490594190361
7,-0.08477932687337764,-0.02825977562445921,-0.021456055088116467,-0.007152018362705489,0.009243153219409595,0.0030810510731365316,-0.09574666721135924,-0.031915555737119745,-0.05057601814635681,-0.01685867271545227,-0.018135094340734466,-0.006045031446911489,0.012857038489429349,0.00428567949647645,-0.004862872787961799,-0.0016209575959872664,0.04359216973522986,0.014530723245076621,0.001571485827958699,0.0005238286093195663,0.07130262737204325,0.02376754245734775,0.023403020309358678,0.007801006769786226,0.1188784556985815,0.039626151899527166,0.07468826614061075,0.024896088713536917,-0.08477932687337764,-0.02825977562445921,-0.09574666721135924,-0.031915555737119745,-0.021456055088116467,-0.007152018362705489,-0.05057601814635681,-0.01685867271545227,0.009243153219409595,0.0030810510731365316,-0.018135094340734466,-0.006045031446911489,0.012857038489429349,0.00428567949647645,-0.004862872787961799,-0.0016209575959872664,0.04359216973522986,0.014530723245076621,0.001571485827958699,0.0005238286093195663,0.07130262737204325,0.02376754245734775,0.023403020309358678,0.007801006769786226,0.1188784556985815,0.039626151899527166,0.07468826614061075,0.024896088713536917
8,0.14222327517703595,0.04740775839234532,0.18071175854042493,0.06023725284680831,0.11100217796362755,0.03700072598787585,-0.024318451483832368,-0.00810615049461079,-0.09041878826455767,-0.03013959608818589,-0.06874153622281878,-0.02291384540760626,0.05516417506989786,0.01838805835663262,-0.04161516713937566,-0.013871722379791887,0.09495377149876666,0.03165125716625555,-0.09515671566678377,-0.03171890522226126,0.05970193282792345,0.019900644275974485,-0.12033862883912602,-0.04011287627970867,-0.026753946941001278,-0.008917982313667092,-0.16300000994465114,-0.054333336648217045,0.14222327517703595,0.04740775839234532,-0.024318451483832368,-0.00810615049461079,0.18071175854042493,0.06023725284680831,-0.09041878826455767,-0.03013959608818589,0.11100217796362755,0.03700072598787585,-0.06874153622281878,-0.02291384540760626,0.05516417506989786,0.01838805835663262,-0.04161516713937566,-0.013871722379791887,0.09495377149876666,0.03165125716625555,-0.09515671566678377,-0.03171890522226126,0.05970193282792345,0.019900644275974485,-0.12033862883912602,-0.04011287627970867,-0.026753946941001278,-0.008917982313667092,-0.16300000994465114,-0.054333336648217045
9,0.13092847686165937,0.043642825620553126,0.14795635042656924,0.04931878347552308,0.08609855813601305,0.028699519378671018,0.0011319973577775672,0.0003773324525925224,-0.06094950792101421,-0.02031650264033807,-0.050671443859874266,-0.016890481286624754,0.04102501736786941,0.013675005789289804,-0.03198054043573617,-0.01066018014524539,0.06603755057562859,0.02201251685854286,-0.0758337647907794,-0.025277921596926465,0.03215657194509424,0.010718857315031414,-0.10047093402917567,-0.033490311343058556,-0.04658839062084135,-0.015529463540280451,-0.1452601701350069,-0.04842005671166896,0.13092847686165937,0.043642825620553126,0.0011319973577775672,0.0003773324525925224,0.14795635042656924,0.04931878347552308,-0.06094950792101421,-0.02031650264033807,0.08609855813601305,0.028699519378671018,-0.050671443859874266,-0.016890481286624754,0.04102501736786941,0.013675005789289804,-0.03198054043573617,-0.01066018014524539,0.06603755057562859,0.02201251685854286,-0.0758337647907794,-0.025277921596926465,0.03215657194509424,0.010718857315031414,-0.10047093402917567,-0.033490311343058556,-0.04658839062084135,-0.015529463540280451,-0.1452601701350069,-0.04842005671166896
