step_index,delta_a_tsc_CS1U,action_norm_tsc_CS1U,delta_a_tsc_CS2U,action_norm_tsc_CS2U,delta_a_tsc_CS3U,action_norm_tsc_CS3U,delta_a_tsc_CS1L,action_norm_tsc_CS1L,delta_a_tsc_CS2L,action_norm_tsc_CS2L,delta_a_tsc_CS3L,action_norm_tsc_CS3L,delta_a_tsc_CS4U,action_norm_tsc_CS4U,delta_a_tsc_CS4L,action_norm_tsc_CS4L,delta_a_tsc_PF2U,action_norm_tsc_PF2U,delta_a_tsc_PF2L,action_norm_tsc_PF2L,delta_a_tsc_PF3U,action_norm_tsc_PF3U,delta_a_tsc_PF3L,action_norm_tsc_PF3L,delta_a_tsc_PF4U,action_norm_tsc_PF4U,delta_a_tsc_PF4L,action_norm_tsc_PF4L,delta_a_display_CS1U,action_norm_display_CS1U,delta_a_display_CS1L,action_norm_display_CS1L,delta_a_display_CS2U,action_norm_display_CS2U,delta_a_display_CS2L,action_norm_display_CS2L,delta_a_display_CS3U,action_norm_display_CS3U,delta_a_display_CS3L,action_norm_display_CS3L,delta_a_display_CS4U,action_norm_display_CS4U,delta_a_display_CS4L,action_norm_display_CS4L,delta_a_display_PF2U,action_norm_display_PF2U,delta_a_display_PF2L,action_norm_display_PF2L,delta_a_display_PF3U,action_norm_display_PF3U,delta_a_display_PF3L,action_norm_display_PF3L,delta_a_display_PF4U,action_norm_display_PF4U,delta_a_display_PF4L,action_norm_display_PF4L
0,-2.291933776601733,-0.763977925533911,-3.0,-1.0,-1.8655767762708568,-0.621858925423619,0.5041248399161975,0.16804161330539916,1.5634621154213408,0.5211540384737803,1.1679511094681845,0.3893170364893948,-0.9355386035691914,-0.31184620118973044,0.7008351005379504,0.2336117001793168,-1.632185773957882,-0.5440619246526274,1.5896008394293286,0.5298669464764428,-1.0709186414383138,-0.3569728804794379,1.988464724385755,0.6628215747952516,0.32635332589225374,0.10878444196408459,2.6496333037575126,0.8832111012525042,-2.291933776601733,-0.763977925533911,0.5041248399161975,0.16804161330539916,-3.0,-1.0,1.5634621154213408,0.5211540384737803,-1.8655767762708568,-0.621858925423619,1.1679511094681845,0.3893170364893948,-0.9355386035691914,-0.31184620118973044,0.7008351005379504,0.2336117001793168,-1.632185773957882,-0.5440619246526274,1.5896008394293286,0.5298669464764428,-1.0709186414383138,-0.3569728804794379,1.988464724385755,0.6628215747952516,0.32635332589225374,0.10878444196408459,2.6496333037575126,0.8832111012525042
1,-2.4527131059237384,-0.8175710353079128,-3.0,-1.0,-1.8124773757714463,-0.6041591252571488,0.27054698182570935,0.09018232727523645,1.418268674182116,0.472756224727372,1.1056768741079026,0.36855895803596755,-0.8895810153476471,-0.29652700511588237,0.6776182798998474,0.2258727599666158,-1.5022558716874657,-0.5007519572291552,1.5665671382464512,0.5221890460821504,-0.8852786085444936,-0.2950928695148312,2.01005047564856,0.6700168252161868,0.6003501845259236,0.20011672817530787,2.7806739348831533,0.9268913116277178,-2.4527131059237384,-0.8175710353079128,0.27054698182570935,0.09018232727523645,-3.0,-1.0,1.418268674182116,0.472756224727372,-1.8124773757714463,-0.6041591252571488,1.1056768741079026,0.36855895803596755,-0.8895810153476471,-0.29652700511588237,0.6776182798998474,0.2258727599666158,-1.5022558716874657,-0.5007519572291552,1.5665671382464512,0.5221890460821504,-0.8852786085444936,-0.2950928695148312,2.01005047564856,0.6700168252161868,0.6003501845259236,0.20011672817530787,2.7806739348831533,0.9268913116277178
2,-2.5871304818499476,-0.8623768272833159,-2.9999999999999996,-0.9999999999999999,-1.768084342733656,-0.5893614475778853,0.07526738406033529,0.02508912802011176,1.2968816684309878,0.43229388947699593,1.0536133449201706,0.35120444830672354,-0.8511587975247012,-0.2837195991749004,0.6582081721410749,0.21940272404702496,-1.393629740510118,-0.46454324683670595,1.5473101250226309,0.5157700416742103,-0.7300767788461829,-0.243358926282061,2.0280969499955885,0.6760323166651961,0.8294215390642934,0.27647384635476446,2.8902286758433284,0.9634095586144428,-2.5871304818499476,-0.8623768272833159,0.07526738406033529,0.02508912802011176,-2.9999999999999996,-0.9999999999999999,1.2968816684309878,0.43229388947699593,-1.768084342733656,-0.5893614475778853,1.0536133449201706,0.35120444830672354,-0.8511587975247012,-0.2837195991749004,0.6582081721410749,0.21940272404702496,-1.393629740510118,-0.46454324683670595,1.5473101250226309,0.5157700416742103,-0.7300767788461829,-0.243358926282061,2.0280969499955885,0.6760323166651961,0.8294215390642934,0.27647384635476446,2.8902286758433284,0.9634095586144428
3,-2.6315244402529894,-0.8771748134176631,-3.0,-1.0,-1.7534226782837683,-0.5844742260945894,0.010772490595685857,0.0035908301985619526,1.2567912437604187,0.41893041458680624,1.0364183496068822,0.3454727832022941,-0.8384691111799774,-0.2794897037266591,0.6517976057205958,0.21726586857353192,-1.3577538433968028,-0.45258461446560094,1.54095012105637,0.5136500403521234,-0.6788183494636228,-0.22627278315454094,2.0340571499025066,0.6780190499675022,0.9050768188570437,0.3016922729523479,2.9264112644374687,0.9754704214791562,-2.6315244402529894,-0.8771748134176631,0.010772490595685857,0.0035908301985619526,-3.0,-1.0,1.2567912437604187,0.41893041458680624,-1.7534226782837683,-0.5844742260945894,1.0364183496068822,0.3454727832022941,-0.8384691111799774,-0.2794897037266591,0.6517976057205958,0.21726586857353192,-1.3577538433968028,-0.45258461446560094,1.54095012105637,0.5136500403521234,-0.6788183494636228,-0.22627278315454094,2.0340571499025066,0.6780190499675022,0.9050768188570437,0.3016922729523479,2.9264112644374687,0.9754704214791562
4,-1.9467925161305528,-0.6489308387101843,-2.1387934944882567,-0.7129311648294189,-1.2267211855413211,-0.40890706184710707,-0.09502713348680203,-0.03167571116226734,0.8321622284376385,0.27738740947921287,0.7115121618362148,0.2371707206120716,-0.5775626195698109,-0.19252087318993696,0.45447809269616685,0.15149269756538894,-0.9108531859039595,-0.30361772863465314,1.0884631511368448,0.36282105037894824,-0.4023224549494445,-0.13410748498314817,1.459634264684609,0.48654475489486965,0.7657374010352055,0.2552458003450685,2.1439500364587154,0.7146500121529051,-1.9467925161305528,-0.6489308387101843,-0.09502713348680203,-0.03167571116226734,-2.1387934944882567,-0.7129311648294189,0.8321622284376385,0.27738740947921287,-1.2267211855413211,-0.40890706184710707,0.7115121618362148,0.2371707206120716,-0.5775626195698109,-0.19252087318993696,0.45447809269616685,0.15149269756538894,-0.9108531859039595,-0.30361772863465314,1.0884631511368448,0.36282105037894824,-0.4023224549494445,-0.13410748498314817,1.459634264684609,0.48654475489486965,0.7657374010352055,0.2552458003450685,2.1439500364587154,0.7146500121529051
5,-0.9442932054959977,-0.3147644018319992,-0.9514738994492197,-0.3171579664830732,-0.519887359601978,-0.17329578653399266,-0.15593111514474245,-0.05197703838158082,0.2995498415640765,0.09984994718802549,0.2862246177896194,0.09540820592987313,-0.23457471812340627,-0.0781915727078021,0.19088420052492552,0.06362806684164184,-0.34198377824758,-0.11399459274919332,0.4730109289656115,0.15767030965520382,-0.08864831624677122,-0.02954943874892374,0.6598433103535989,0.2199477701178663,0.47397401445515375,0.15799133815171792,1.0175310588480075,0.3391770196160025,-0.9442932054959977,-0.3147644018319992,-0.15593111514474245,-0.05197703838158082,-0.9514738994492197,-0.3171579664830732,0.2995498415640765,0.09984994718802549,-0.519887359601978,-0.17329578653399266,0.2862246177896194,0.09540820592987313,-0.23457471812340627,-0.0781915727078021,0.19088420052492552,0.06362806684164184,-0.34198377824758,-0.11399459274919332,0.4730109289656115,0.15767030965520382,-0.08864831624677122,-0.02954943874892374,0.6598433103535989,0.2199477701178663,0.47397401445515375,0.15799133815171792,1.0175310588480075,0.3391770196160025
6,-0.3617408357709057,-0.1205802785903019,-0.3050403984431,-0.10168013281436666,-0.14718838505612514,-0.04906279501870838,-0.13570920998440375,-0.04523640332813458,0.04275214105247026,0.014250713684156752,0.06890966720275415,0.02296988906758472,-0.05833868334089002,-0.019446227780296674,0.052676973389568796,0.017558991129856264,-0.06195775611618477,-0.02065258537206159,0.14319337074342375,0.047731123581141253,0.039705443185911134,0.013235147728637044,0.21946579146782147,0.07315526382260716,0.2525059531121749,0.08416865103739163,0.37430726545923687,0.12476908848641229,-0.3617408357709057,-0.1205802785903019,-0.13570920998440375,-0.04523640332813458,-0.3050403984431,-0.10168013281436666,0.04275214105247026,0.014250713684156752,-0.14718838505612514,-0.04906279501870838,0.06890966720275415,0.02296988906758472,-0.05833868334089002,-0.019446227780296674,0.052676973389568796,0.017558991129856264,-0.06195775611618477,-0.02065258537206159,0.14319337074342375,0.047731123581141253,0.039705443185911134,0.013235147728637044,0.21946579146782147,0.07315526382260716,0.2525059531121749,0.08416865103739163,0.37430726545923687,0.12476908848641229
7,-0.06990901058779178,-0.023303003529263927,-0.018441660413793817,-0.006147220137931272,0.006967144017921666,0.0023223813393072217,-0.07799549740798704,-0.02599849913599568,-0.04079787444155408,-0.013599291480518028,-0.01444095720222733,-0.004813652400742443,0.010204771405564044,0.003401590468521348,-0.0037523179011836206,-0.0012507726337278736,0.03507616051632993,0.011692053505443311,0.0017746968672317197,0.0005915656224105732,0.057868051659426475,0.019289350553142157,0.01971775497051466,0.006572584990171553,0.09713345438002735,0.032377818126675784,0.061783072115837404,0.0205943573719458,-0.06990901058779178,-0.023303003529263927,-0.07799549740798704,-0.02599849913599568,-0.018441660413793817,-0.006147220137931272,-0.04079787444155408,-0.013599291480518028,0.006967144017921666,0.0023223813393072217,-0.01444095720222733,-0.004813652400742443,0.010204771405564044,0.003401590468521348,-0.0037523179011836206,-0.0012507726337278736,0.03507616051632993,0.011692053505443311,0.0017746968672317197,0.0005915656224105732,0.057868051659426475,0.019289350553142157,0.01971775497051466,0.006572584990171553,0.09713345438002735,0.032377818126675784,0.061783072115837404,0.0205943573719458
8,0.13032789003847095,0.04344263001282365,0.1635739319472049,0.05452464398240164,0.09994936614938196,0.03331645538312732,-0.01969882056674066,-0.0065662735222468864,-0.08040589335355112,-0.02680196445118371,-0.0616056498607473,-0.0205352166202491,0.04947750207631256,0.016492500692104187,-0.03743864399662979,-0.012479547998876598,0.08466197294610067,0.028220657648700225,-0.08590438541816742,-0.02863479513938914,0.05220148693064261,0.017400495643547537,-0.10914008523452942,-0.03638002841150981,-0.026930434620797625,-0.008976811540265875,-0.1488397239433381,-0.049613241314446034,0.13032789003847095,0.04344263001282365,-0.01969882056674066,-0.0065662735222468864,0.1635739319472049,0.05452464398240164,-0.08040589335355112,-0.02680196445118371,0.09994936614938196,0.03331645538312732,-0.0616056498607473,-0.0205352166202491,0.04947750207631256,0.016492500692104187,-0.03743864399662979,-0.012479547998876598,0.08466197294610067,0.028220657648700225,-0.08590438541816742,-0.02863479513938914,0.05220148693064261,0.017400495643547537,-0.10914008523452942,-0.03638002841150981,-0.026930434620797625,-0.008976811540265875,-0.1488397239433381,-0.049613241314446034
9,0.12065480723738568,0.04021826907912856,0.13608091026535607,0.045360303421785354,0.07911038660493847,0.02637012886831282,0.0013826315275629747,0.0004608771758543249,-0.05584523606011311,-0.01861507868670437,-0.0465133498490293,-0.015504449949676433,0.037665030772516817,0.012555010257505606,-0.02937973899004374,-0.00979324633001458,0.060547211831886445,0.02018240394396215,-0.06971343390874672,-0.023237811302915575,0.029304178230691594,0.009768059410230531,-0.09243838059726928,-0.030812793532423093,-0.04324964502535464,-0.01441654834178488,-0.13379271581085334,-0.04459757193695111,0.12065480723738568,0.04021826907912856,0.0013826315275629747,0.0004608771758543249,0.13608091026535607,0.045360303421785354,-0.05584523606011311,-0.01861507868670437,0.07911038660493847,0.02637012886831282,-0.0465133498490293,-0.015504449949676433,0.037665030772516817,0.012555010257505606,-0.02937973899004374,-0.00979324633001458,0.060547211831886445,0.02018240394396215,-0.06971343390874672,-0.023237811302915575,0.029304178230691594,0.009768059410230531,-0.09243838059726928,-0.030812793532423093,-0.04324964502535464,-0.01441654834178488,-0.13379271581085334,-0.04459757193695111
