step_index,delta_a_tsc_CS1U,action_norm_tsc_CS1U,delta_a_tsc_CS2U,action_norm_tsc_CS2U,delta_a_tsc_CS3U,action_norm_tsc_CS3U,delta_a_tsc_CS1L,action_norm_tsc_CS1L,delta_a_tsc_CS2L,action_norm_tsc_CS2L,delta_a_tsc_CS3L,action_norm_tsc_CS3L,delta_a_tsc_CS4U,action_norm_tsc_CS4U,delta_a_tsc_CS4L,action_norm_tsc_CS4L,delta_a_tsc_PF2U,action_norm_tsc_PF2U,delta_a_tsc_PF2L,action_norm_tsc_PF2L,delta_a_tsc_PF3U,action_norm_tsc_PF3U,delta_a_tsc_PF3L,action_norm_tsc_PF3L,delta_a_tsc_PF4U,action_norm_tsc_PF4U,delta_a_tsc_PF4L,action_norm_tsc_PF4L,delta_a_display_CS1U,action_norm_display_CS1U,delta_a_display_CS1L,action_norm_display_CS1L,delta_a_display_CS2U,action_norm_display_CS2U,delta_a_display_CS2L,action_norm_display_CS2L,delta_a_display_CS3U,action_norm_display_CS3U,delta_a_display_CS3L,action_norm_display_CS3L,delta_a_display_CS4U,action_norm_display_CS4U,delta_a_display_CS4L,action_norm_display_CS4L,delta_a_display_PF2U,action_norm_display_PF2U,delta_a_display_PF2L,action_norm_display_PF2L,delta_a_display_PF3U,action_norm_display_PF3U,delta_a_display_PF3L,action_norm_display_PF3L,delta_a_display_PF4U,action_norm_display_PF4U,delta_a_display_PF4L,action_norm_display_PF4L
0,-1.570828320415008,-0.523609440138336,-2.9999999999999996,-0.9999999999999999,-2.0265929046838,-0.6755309682279332,1.6584197715357722,0.552806590511924,2.345643115857933,0.781881038619311,1.567251974475571,0.5224173248251903,-1.054181529836451,-0.351393843278817,0.8999035215066329,0.299967840502211,-1.902919331676412,-0.6343064438921373,1.964874796123878,0.654958265374626,-1.340412779382192,-0.446804259794064,2.368678184385634,0.7895593947952113,0.1546933498660925,0.05156444995536417,3.0,1.0,-1.570828320415008,-0.523609440138336,1.6584197715357722,0.552806590511924,-2.9999999999999996,-0.9999999999999999,2.345643115857933,0.781881038619311,-2.0265929046838,-0.6755309682279332,1.567251974475571,0.5224173248251903,-1.054181529836451,-0.351393843278817,0.8999035215066329,0.299967840502211,-1.902919331676412,-0.6343064438921373,1.964874796123878,0.654958265374626,-1.340412779382192,-0.446804259794064,2.368678184385634,0.7895593947952113,0.1546933498660925,0.05156444995536417,3.0,1.0
1,-2.075572322233471,-0.6918574407444904,-3.0,-1.0,-1.8937223420446987,-0.6312407806815662,0.8783509399386031,0.29278364664620105,1.8323902072664386,0.6107967357554795,1.3191282757674963,0.43970942525583206,-0.9482668558378242,-0.3160889519459414,0.7853835664495323,0.2617945221498441,-1.6318492716224204,-0.5439497572074735,1.7732977656591604,0.5910992552197202,-1.004565305767342,-0.33485510192244733,2.2272519804672397,0.7424173268224132,0.551237065959987,0.183745688653329,3.0000000000000004,1.0000000000000002,-2.075572322233471,-0.6918574407444904,0.8783509399386031,0.29278364664620105,-3.0,-1.0,1.8323902072664386,0.6107967357554795,-1.8937223420446987,-0.6312407806815662,1.3191282757674963,0.43970942525583206,-0.9482668558378242,-0.3160889519459414,0.7853835664495323,0.2617945221498441,-1.6318492716224204,-0.5439497572074735,1.7732977656591604,0.5910992552197202,-1.004565305767342,-0.33485510192244733,2.2272519804672397,0.7424173268224132,0.551237065959987,0.183745688653329,3.0000000000000004,1.0000000000000002
2,-2.5266826989440174,-0.8422275663146724,-3.0,-1.0,-1.7749704810024243,-0.5916568270008081,0.18117149211126837,0.06039049737042279,1.3736750722507938,0.4578916907502646,1.0973699689986096,0.3657899896662032,-0.8536065759443353,-0.28453552531477844,0.6830323946068522,0.2276774648689507,-1.3895828623825797,-0.4631942874608599,1.6020775311032884,0.5340258437010962,-0.7044046702890613,-0.23480155676302042,2.100853592578491,0.700284530859497,0.9056444180133845,0.30188147267112814,3.0,1.0,-2.5266826989440174,-0.8422275663146724,0.18117149211126837,0.06039049737042279,-3.0,-1.0,1.3736750722507938,0.4578916907502646,-1.7749704810024243,-0.5916568270008081,1.0973699689986096,0.3657899896662032,-0.8536065759443353,-0.28453552531477844,0.6830323946068522,0.2276774648689507,-1.3895828623825797,-0.4631942874608599,1.6020775311032884,0.5340258437010962,-0.7044046702890613,-0.23480155676302042,2.100853592578491,0.700284530859497,0.9056444180133845,0.30188147267112814,3.0,1.0
3,-2.8394013354807104,-0.9464671118269035,-3.0000000000000004,-1.0000000000000002,-1.6926493419008897,-0.5642164473002965,-0.3021270920085566,-0.10070903066951886,1.05568466682751,0.3518948889425033,0.9436427241519489,0.3145475747173163,-0.7879861974499885,-0.26266206581666285,0.612080537680021,0.20402684589334033,-1.2216389952328883,-0.40721299841096276,1.4833842776067923,0.49446142586893077,-0.4963273803069165,-0.16544246010230548,2.01323172981126,0.6710772432704201,1.151326604978087,0.3837755349926957,3.0,1.0,-2.8394013354807104,-0.9464671118269035,-0.3021270920085566,-0.10070903066951886,-3.0000000000000004,-1.0000000000000002,1.05568466682751,0.3518948889425033,-1.6926493419008897,-0.5642164473002965,0.9436427241519489,0.3145475747173163,-0.7879861974499885,-0.26266206581666285,0.612080537680021,0.20402684589334033,-1.2216389952328883,-0.40721299841096276,1.4833842776067923,0.49446142586893077,-0.4963273803069165,-0.16544246010230548,2.01323172981126,0.6710772432704201,1.151326604978087,0.3837755349926957,3.0,1.0
4,-2.328144282388444,-0.7760480941294814,-2.2317667962578502,-0.7439222654192834,-1.2111875063176738,-0.40372916877255793,-0.5705335875517994,-0.19017786251726645,0.5509002806510637,0.1836334268836879,0.5821847008061093,0.19406156693536977,-0.5508969839552059,-0.18363232798506865,0.3955245279616962,0.1318415093205654,-0.82851479686321,-0.2761715989544033,0.9905373249842258,0.33017910832807523,-0.2899137209707427,-0.09663790699024756,1.3827313392025236,0.46091044640084117,0.9053404645535047,0.3017801548511682,2.124636425170911,0.708212141723637,-2.328144282388444,-0.7760480941294814,-0.5705335875517994,-0.19017786251726645,-2.2317667962578502,-0.7439222654192834,0.5509002806510637,0.1836334268836879,-1.2111875063176738,-0.40372916877255793,0.5821847008061093,0.19406156693536977,-0.5508969839552059,-0.18363232798506865,0.3955245279616962,0.1318415093205654,-0.82851479686321,-0.2761715989544033,0.9905373249842258,0.33017910832807523,-0.2899137209707427,-0.09663790699024756,1.3827313392025236,0.46091044640084117,0.9053404645535047,0.3017801548511682,2.124636425170911,0.708212141723637
5,-1.1797123351311627,-0.3932374450437209,-0.9844854269699707,-0.3281618089899902,-0.49394973737304815,-0.1646499124576827,-0.48750479857014994,-0.1625015995233833,0.08795467391007765,0.02931822463669255,0.18195199809192414,0.06065066603064138,-0.21081762858082143,-0.0702725428602738,0.1399908463869291,0.0466636154623097,-0.2829249161797909,-0.09430830539326363,0.3794571412871708,0.12648571376239026,-0.025302504828884825,-0.008434168276294942,0.5679910032846305,0.18933033442821015,0.5211704381309508,0.1737234793769836,0.9388489487704501,0.31294964959015004,-1.1797123351311627,-0.3932374450437209,-0.48750479857014994,-0.1625015995233833,-0.9844854269699707,-0.3281618089899902,0.08795467391007765,0.02931822463669255,-0.49394973737304815,-0.1646499124576827,0.18195199809192414,0.06065066603064138,-0.21081762858082143,-0.0702725428602738,0.1399908463869291,0.0466636154623097,-0.2829249161797909,-0.09430830539326363,0.3794571412871708,0.12648571376239026,-0.025302504828884825,-0.008434168276294942,0.5679910032846305,0.18933033442821015,0.5211704381309508,0.1737234793769836,0.9388489487704501,0.31294964959015004
6,-0.474043846258602,-0.15801461541953402,-0.3089260993437122,-0.10297536644790406,-0.12763938532344649,-0.04254646177448216,-0.31345674004107077,-0.10448558001369025,-0.07797420684965604,-0.02599140228321868,0.006072070062996343,0.0020240233543321142,-0.044337913769515055,-0.014779304589838352,0.020388915938835666,0.006796305312945222,-0.03292478470847575,-0.010974928236158582,0.07972208675055796,0.026574028916852652,0.06130863696443697,0.020436212321478988,0.14925453796969734,0.04975151265656578,0.2454042131838034,0.08180140439460114,0.294845712200925,0.098281904066975,-0.474043846258602,-0.15801461541953402,-0.31345674004107077,-0.10448558001369025,-0.3089260993437122,-0.10297536644790406,-0.07797420684965604,-0.02599140228321868,-0.12763938532344649,-0.04254646177448216,0.006072070062996343,0.0020240233543321142,-0.044337913769515055,-0.014779304589838352,0.020388915938835666,0.006796305312945222,-0.03292478470847575,-0.010974928236158582,0.07972208675055796,0.026574028916852652,0.06130863696443697,0.020436212321478988,0.14925453796969734,0.04975151265656578,0.2454042131838034,0.08180140439460114,0.294845712200925,0.098281904066975
7,-0.12503948591646435,-0.04167982863882145,-0.023278158996677747,-0.007759386332225916,0.011932275096313946,0.0039774250321046485,-0.16437469774324853,-0.054791565914416175,-0.10003310908173214,-0.03334436969391071,-0.04650343474520817,-0.01550114491506939,0.013175965888158822,0.004391988629386274,-0.0211446105237086,-0.007048203507902866,0.03754914905743113,0.012516383019143712,-0.03481380511486208,-0.011604601704954027,0.04972405534190881,0.016574685113969603,-0.02591703649029753,-0.00863901216343251,0.06176500489298497,0.020588334964328322,-0.0016505014103238222,-0.0005501671367746074,-0.12503948591646435,-0.04167982863882145,-0.16437469774324853,-0.054791565914416175,-0.023278158996677747,-0.007759386332225916,-0.10003310908173214,-0.03334436969391071,0.011932275096313946,0.0039774250321046485,-0.04650343474520817,-0.01550114491506939,0.013175965888158822,0.004391988629386274,-0.0211446105237086,-0.007048203507902866,0.03754914905743113,0.012516383019143712,-0.03481380511486208,-0.011604601704954027,0.04972405534190881,0.016574685113969603,-0.02591703649029753,-0.00863901216343251,0.06176500489298497,0.020588334964328322,-0.0016505014103238222,-0.0005501671367746074
8,0.13273933394923315,0.044246444649744386,0.172647927873128,0.05754930929104266,0.10620867914149035,0.03540289304716345,-0.02900374544503774,-0.009667915148345913,-0.0907057840897172,-0.030235261363239067,-0.06825289028892202,-0.022750963429640673,0.05260543105699214,0.017535143685664046,-0.04129004939960078,-0.013763349799866926,0.08970688922397929,0.029902296407993096,-0.09445040124056815,-0.031483467080189384,0.05426198833984572,0.01808732944661524,-0.11996797997252545,-0.039989326657508484,-0.0322263874542575,-0.010742129151419167,-0.16382875988767048,-0.054609586629223494,0.13273933394923315,0.044246444649744386,-0.02900374544503774,-0.009667915148345913,0.172647927873128,0.05754930929104266,-0.0907057840897172,-0.030235261363239067,0.10620867914149035,0.03540289304716345,-0.06825289028892202,-0.022750963429640673,0.05260543105699214,0.017535143685664046,-0.04129004939960078,-0.013763349799866926,0.08970688922397929,0.029902296407993096,-0.09445040124056815,-0.031483467080189384,0.05426198833984572,0.01808732944661524,-0.11996797997252545,-0.039989326657508484,-0.0322263874542575,-0.010742129151419167,-0.16382875988767048,-0.054609586629223494
9,0.13198177490133295,0.043993924967110985,0.1444559816677667,0.04815199388925556,0.08369774194399791,0.027899247314665972,0.00852813161278413,0.00284271053759471,-0.05404928991347356,-0.018016429971157853,-0.04629846438752405,-0.015432821462508017,0.04000993829896132,0.013336646099653774,-0.029385197620786285,-0.009795065873595429,0.0651938817980625,0.0217312939326875,-0.06989472412677894,-0.02329824137559298,0.03395414486279,0.011318048287596666,-0.09242406089594596,-0.030808020298648653,-0.038758622790581995,-0.012919540930193998,-0.13296062007212922,-0.04432020669070974,0.13198177490133295,0.043993924967110985,0.00852813161278413,0.00284271053759471,0.1444559816677667,0.04815199388925556,-0.05404928991347356,-0.018016429971157853,0.08369774194399791,0.027899247314665972,-0.04629846438752405,-0.015432821462508017,0.04000993829896132,0.013336646099653774,-0.029385197620786285,-0.009795065873595429,0.0651938817980625,0.0217312939326875,-0.06989472412677894,-0.02329824137559298,0.03395414486279,0.011318048287596666,-0.09242406089594596,-0.030808020298648653,-0.038758622790581995,-0.012919540930193998,-0.13296062007212922,-0.04432020669070974
