step_index,delta_a_tsc_CS1U,action_norm_tsc_CS1U,delta_a_tsc_CS2U,action_norm_tsc_CS2U,delta_a_tsc_CS3U,action_norm_tsc_CS3U,delta_a_tsc_CS1L,action_norm_tsc_CS1L,delta_a_tsc_CS2L,action_norm_tsc_CS2L,delta_a_tsc_CS3L,action_norm_tsc_CS3L,delta_a_tsc_CS4U,action_norm_tsc_CS4U,delta_a_tsc_CS4L,action_norm_tsc_CS4L,delta_a_tsc_PF2U,action_norm_tsc_PF2U,delta_a_tsc_PF2L,action_norm_tsc_PF2L,delta_a_tsc_PF3U,action_norm_tsc_PF3U,delta_a_tsc_PF3L,action_norm_tsc_PF3L,delta_a_tsc_PF4U,action_norm_tsc_PF4U,delta_a_tsc_PF4L,action_norm_tsc_PF4L,delta_a_display_CS1U,action_norm_display_CS1U,delta_a_display_CS1L,action_norm_display_CS1L,delta_a_display_CS2U,action_norm_display_CS2U,delta_a_display_CS2L,action_norm_display_CS2L,delta_a_display_CS3U,action_norm_display_CS3U,delta_a_display_CS3L,action_norm_display_CS3L,delta_a_display_CS4U,action_norm_display_CS4U,delta_a_display_CS4L,action_norm_display_CS4L,delta_a_display_PF2U,action_norm_display_PF2U,delta_a_display_PF2L,action_norm_display_PF2L,delta_a_display_PF3U,action_norm_display_PF3U,delta_a_display_PF3L,action_norm_display_PF3L,delta_a_display_PF4U,action_norm_display_PF4U,delta_a_display_PF4L,action_norm_display_PF4L
0,-3.0,-1.0,-3.0,-1.0,-2.5558081135587933,-0.8519360378529311,-0.8624879542088852,-0.28749598473629506,3.0,1.0,1.7653856448968241,0.5884618816322748,-1.396831860633154,-0.4656106202110513,0.9948235567008641,0.3316078522336214,-3.0,-1.0,2.3448435290525724,0.7816145096841908,-2.2029558165706353,-0.7343186055235451,3.0,1.0,-0.1304806061286139,-0.04349353537620463,3.0,1.0,-3.0,-1.0,-0.8624879542088852,-0.28749598473629506,-3.0,-1.0,3.0,1.0,-2.5558081135587933,-0.8519360378529311,1.7653856448968241,0.5884618816322748,-1.396831860633154,-0.4656106202110513,0.9948235567008641,0.3316078522336214,-3.0,-1.0,2.3448435290525724,0.7816145096841908,-2.2029558165706353,-0.7343186055235451,3.0,1.0,-0.1304806061286139,-0.04349353537620463,3.0,1.0
1,-3.0,-1.0,-3.0,-1.0,-2.4359798326190605,-0.8119932775396869,-0.8350219473750868,-0.2783406491250289,3.0,1.0,1.6829331336904554,0.5609777112301518,-1.2298225995717098,-0.40994086652390327,0.9515293562997712,0.31717645209992373,-2.6463455105111615,-0.8821151701703872,2.290401711521817,0.763467237173939,-1.5314888213663287,-0.5104962737887763,3.0,1.0,0.48338892722268856,0.16112964240756286,3.0,1.0,-3.0,-1.0,-0.8350219473750868,-0.2783406491250289,-3.0,-1.0,3.0,1.0,-2.4359798326190605,-0.8119932775396869,1.6829331336904554,0.5609777112301518,-1.2298225995717098,-0.40994086652390327,0.9515293562997712,0.31717645209992373,-2.6463455105111615,-0.8821151701703872,2.290401711521817,0.763467237173939,-1.5314888213663287,-0.5104962737887763,3.0,1.0,0.48338892722268856,0.16112964240756286,3.0,1.0
2,-3.0000000000000004,-1.0000000000000002,-2.9999999999999996,-0.9999999999999999,-2.1117541627920575,-0.7039180542640192,-0.4996059484354849,-0.16653531614516162,2.6452508563043486,0.8817502854347828,1.510913167476077,0.5036377224920257,-0.9828305934135156,-0.32761019780450523,0.8586741770198514,0.2862247256732838,-1.9483154453118277,-0.6494384817706093,2.043701656832817,0.681233885610939,-0.8469171862907534,-0.28230572876358445,2.681696917940155,0.8938989726467184,1.0992132357450028,0.36640441191500095,3.0,1.0,-3.0000000000000004,-1.0000000000000002,-0.4996059484354849,-0.16653531614516162,-2.9999999999999996,-0.9999999999999999,2.6452508563043486,0.8817502854347828,-2.1117541627920575,-0.7039180542640192,1.510913167476077,0.5036377224920257,-0.9828305934135156,-0.32761019780450523,0.8586741770198514,0.2862247256732838,-1.9483154453118277,-0.6494384817706093,2.043701656832817,0.681233885610939,-0.8469171862907534,-0.28230572876358445,2.681696917940155,0.8938989726467184,1.0992132357450028,0.36640441191500095,3.0,1.0
3,-2.9971340056191536,-0.9990446685397179,-3.0,-1.0,-1.6512791420256714,-0.5504263806752238,-0.18445776602203723,-0.06148592200734574,1.1922469797311817,0.3974156599103939,0.9976456382029429,0.33254854606764767,-0.7892296764206435,-0.26307655880688113,0.6255585693558452,0.20851952311861507,-1.1710224750421694,-0.3903408250140565,1.3947864579616813,0.46492881932056046,-0.40591929873914,-0.13530643291304667,1.7785405753251649,0.5928468584417216,1.277921660866754,0.4259738869555847,3.0000000000000004,1.0000000000000002,-2.9971340056191536,-0.9990446685397179,-0.18445776602203723,-0.06148592200734574,-3.0,-1.0,1.1922469797311817,0.3974156599103939,-1.6512791420256714,-0.5504263806752238,0.9976456382029429,0.33254854606764767,-0.7892296764206435,-0.26307655880688113,0.6255585693558452,0.20851952311861507,-1.1710224750421694,-0.3903408250140565,1.3947864579616813,0.46492881932056046,-0.40591929873914,-0.13530643291304667,1.7785405753251649,0.5928468584417216,1.277921660866754,0.4259738869555847,3.0000000000000004,1.0000000000000002
4,-1.867355463722502,-0.622451821240834,-1.8410606306890527,-0.6136868768963509,-0.884355432772175,-0.29478514425739166,-0.2151526550946165,-0.0717175516982055,0.3808373030347968,0.1269457676782656,0.3986878800813529,0.13289596002711765,-0.3647500894902981,-0.1215833631634327,0.2644700572605967,0.08815668575353224,-0.4374237269367217,-0.14580790897890725,0.6298304674454739,0.20994348914849129,0.00755571380462583,0.00251857126820861,0.8557583899097081,0.2852527966365694,0.9685233346119362,0.32284111153731204,1.601077103990132,0.5336923679967106,-1.867355463722502,-0.622451821240834,-0.2151526550946165,-0.0717175516982055,-1.8410606306890527,-0.6136868768963509,0.3808373030347968,0.1269457676782656,-0.884355432772175,-0.29478514425739166,0.3986878800813529,0.13289596002711765,-0.3647500894902981,-0.1215833631634327,0.2644700572605967,0.08815668575353224,-0.4374237269367217,-0.14580790897890725,0.6298304674454739,0.20994348914849129,0.00755571380462583,0.00251857126820861,0.8557583899097081,0.2852527966365694,0.9685233346119362,0.32284111153731204,1.601077103990132,0.5336923679967106
5,-0.8433932717158925,-0.28113109057196417,-0.721797381299799,-0.240599127099933,-0.2701515853395489,-0.0900505284465163,-0.24324769124361983,-0.08108256374787327,-0.06214103991950202,-0.02071367997316734,0.03943337276163546,0.013144457587211819,-0.0787063553475041,-0.026235451782501366,0.042861720965724874,0.014287240321908291,-0.002376356600836328,-0.0007921188669454427,0.1286849097737438,0.04289496992458127,0.19871358710183074,0.06623786236727691,0.2184772924511842,0.07282576415039473,0.6052693238410468,0.20175644128034895,0.6038898079209988,0.20129660264033292,-0.8433932717158925,-0.28113109057196417,-0.24324769124361983,-0.08108256374787327,-0.721797381299799,-0.240599127099933,-0.06214103991950202,-0.02071367997316734,-0.2701515853395489,-0.0900505284465163,0.03943337276163546,0.013144457587211819,-0.0787063553475041,-0.026235451782501366,0.042861720965724874,0.014287240321908291,-0.002376356600836328,-0.0007921188669454427,0.1286849097737438,0.04289496992458127,0.19871358710183074,0.06623786236727691,0.2184772924511842,0.07282576415039473,0.6052693238410468,0.20175644128034895,0.6038898079209988,0.20129660264033292
6,-0.2474806252193263,-0.08249354173977543,-0.19485733034363778,-0.06495244344787926,-0.00920706108496197,-0.00306902036165399,-0.131668423620762,-0.043889474540254,-0.2328049731755353,-0.07760165772517844,-0.09476766478094015,-0.031589221593646716,0.02974956133619387,0.009916520445397956,-0.04038832201681279,-0.013462774005604264,0.13884579124521249,0.04628193041507083,-0.05896211460167515,-0.019654038200558385,0.19033681865802965,0.06344560621934321,-0.024971881797678813,-0.008323960599226271,0.3070692614132281,0.10235642047107603,0.15196210356487316,0.05065403452162439,-0.2474806252193263,-0.08249354173977543,-0.131668423620762,-0.043889474540254,-0.19485733034363778,-0.06495244344787926,-0.2328049731755353,-0.07760165772517844,-0.00920706108496197,-0.00306902036165399,-0.09476766478094015,-0.031589221593646716,0.02974956133619387,0.009916520445397956,-0.04038832201681279,-0.013462774005604264,0.13884579124521249,0.04628193041507083,-0.05896211460167515,-0.019654038200558385,0.19033681865802965,0.06344560621934321,-0.024971881797678813,-0.008323960599226271,0.3070692614132281,0.10235642047107603,0.15196210356487316,0.05065403452162439
7,-0.025145303173095747,-0.008381767724365248,-0.006544033966939575,-0.002181344655646525,0.07058418434401904,0.023528061448006347,-0.006858625739482024,-0.0022862085798273416,-0.1846510393706418,-0.0615503464568806,-0.0866776638237296,-0.028892554607909866,0.05142354219516824,0.017141180731722747,-0.0436879708292699,-0.014562656943089967,0.14557301156688335,0.04852433718896112,-0.09678957122856832,-0.032263190409522774,0.13330982819331896,0.04443660939777299,-0.11416785404512553,-0.038055951348375174,0.0938335297270359,0.0312778432423453,-0.04491084468870894,-0.014970281562902981,-0.025145303173095747,-0.008381767724365248,-0.006858625739482024,-0.0022862085798273416,-0.006544033966939575,-0.002181344655646525,-0.1846510393706418,-0.0615503464568806,0.07058418434401904,0.023528061448006347,-0.0866776638237296,-0.028892554607909866,0.05142354219516824,0.017141180731722747,-0.0436879708292699,-0.014562656943089967,0.14557301156688335,0.04852433718896112,-0.09678957122856832,-0.032263190409522774,0.13330982819331896,0.04443660939777299,-0.11416785404512553,-0.038055951348375174,0.0938335297270359,0.0312778432423453,-0.04491084468870894,-0.014970281562902981
8,0.18243946313527887,0.06081315437842629,0.1594530510555129,0.053151017018504304,0.12884746588974524,0.04294915529658175,0.077812531426693,0.025937510475564335,-0.1426845169058622,-0.0475615056352874,-0.08439841577313406,-0.028132805257711353,0.06740289891966711,0.02246763297322237,-0.04871416426472243,-0.016238054754907475,0.1436454791611531,0.04788182638705104,-0.11762038914489281,-0.03920679638163094,0.08981628423684632,0.029938761412282106,-0.15471035555282617,-0.051570118517608725,-0.01885438950988097,-0.006284796503293656,-0.1597629694914952,-0.05325432316383174,0.18243946313527887,0.06081315437842629,0.077812531426693,0.025937510475564335,0.1594530510555129,0.053151017018504304,-0.1426845169058622,-0.0475615056352874,0.12884746588974524,0.04294915529658175,-0.08439841577313406,-0.028132805257711353,0.06740289891966711,0.02246763297322237,-0.04871416426472243,-0.016238054754907475,0.1436454791611531,0.04788182638705104,-0.11762038914489281,-0.03920679638163094,0.08981628423684632,0.029938761412282106,-0.15471035555282617,-0.051570118517608725,-0.01885438950988097,-0.006284796503293656,-0.1597629694914952,-0.05325432316383174
9,0.15632228200972687,0.05210742733657562,0.13553927514189268,0.045179758380630895,0.09212795079272845,0.030709316930909485,0.06088814893024982,0.020296049643416605,-0.07982353660185044,-0.02660784553395015,-0.052423930149878124,-0.017474643383292708,0.04520352165763793,0.015067840552545975,-0.03152399139644005,-0.010507997132146682,0.08761293131015055,0.02920431043671685,-0.07713697098377269,-0.02571232366125756,0.046499474012646244,0.015499824670882081,-0.10341132822347665,-0.03447044274115888,-0.03567600004378804,-0.011892000014596013,-0.12441654949004183,-0.041472183163347276,0.15632228200972687,0.05210742733657562,0.06088814893024982,0.020296049643416605,0.13553927514189268,0.045179758380630895,-0.07982353660185044,-0.02660784553395015,0.09212795079272845,0.030709316930909485,-0.052423930149878124,-0.017474643383292708,0.04520352165763793,0.015067840552545975,-0.03152399139644005,-0.010507997132146682,0.08761293131015055,0.02920431043671685,-0.07713697098377269,-0.02571232366125756,0.046499474012646244,0.015499824670882081,-0.10341132822347665,-0.03447044274115888,-0.03567600004378804,-0.011892000014596013,-0.12441654949004183,-0.041472183163347276
