experiment_id,phase,policy_id,target_id,actual_delay_steps,actual_slew_scale,calibration_token,environment_success,failure_reason,formal_arrival_deadline_step,formal_hold_through_step,formal_contract_tracking_pass,formal_contract_minimum_signed_margin,best_endpoint_step,limiting_component,limiting_component_margin,endpoint_late_speed_rms_m_per_s,terminal_speed_m_per_s,post_arrival_speed_rms_m_per_s,sustained_box_error_m,max_current_utilization,action_rms,delta_action_rms,first_affected_state_step,transition_issue_start_step,physics_prefix_exact,issued_prefix_exact,applied_prefix_exact,prefix_max_abs_difference,no_future_measurement,streaming_queue_consistent,first_effect_alignment_exact,early_braking_activated,physics_signature,issued_signature,applied_signature,braking_issued_signature,braking_applied_signature,r14_composite_pass,deadline_velocity_weight_multiplier,integrated_controller_scale,target_conditioned_nominal_retained,checkpoint_integral_preserved,checkpoint_integral_l2,main_integrated_steps,tail_hold_steps,any_mode_bound_fraction,mode0_bound_fraction,mode1_bound_fraction,mode2_bound_fraction,integrated_issued_signature,integrated_applied_signature
s41r14_28c007aa5ae044b4809c,oracle_development,itc_vw6_c0p50,nominal,2,0.9,,True,,27,37,False,-0.14788552371698538,26,final_speed,-0.14788552371698538,0.10853448101039888,0.11478855237169854,0.05737884538710196,0.016287895000000052,0.41174999999999995,0.2872344329653045,0.21395897683851708,23,20,True,True,True,0.0,True,True,True,True,physics_12ff24270ea572bf4d04,issued_cfb352da6989a2eed95f,applied_1b822c6ec03eff1df346,brakingissued_01b3d58203a15619d8a7,brakingapplied_c8c08159a6879a664611,False,6.0,0.5,True,True,1.8006201284805747,15,2,0.3333333333333333,0.3333333333333333,0.2,0.0,integratedissued_01b3d58203a15619d8a7,integratedapplied_c8c08159a6879a664611
s41r14_e9e9d48f801085f7b134,oracle_development,itc_vw6_c0p50,RZ_p10_m10,2,0.9,,True,,27,37,False,-0.2736012552332423,27,final_speed,-0.2736012552332423,0.11662132210440135,0.12736012552332424,0.06940347718325282,0.02205706399999996,0.41195,0.2880502310627675,0.21078094067834324,23,20,True,True,True,0.0,True,True,True,True,physics_9597ce046f901db1c0a9,issued_cb57d17c43418e5139da,applied_6ea1871a227935956e17,brakingissued_90c5f115ee1206eed089,brakingapplied_aeecd43f12b10365d02b,False,6.0,0.5,True,True,1.4052492949429882,15,2,0.4666666666666667,0.3333333333333333,0.4666666666666667,0.0,integratedissued_90c5f115ee1206eed089,integratedapplied_aeecd43f12b10365d02b
s41r14_1c228ee83557c04f4fec,oracle_development,itc_vw10_c0p50,nominal,1,0.9,,True,,27,37,False,-0.11779733219206934,27,final_speed,-0.11779733219206934,0.09838191841104961,0.11177973321920694,0.054428718131792016,0.015471491999999976,0.41174999999999995,0.28502931231529743,0.21622370843854807,23,21,True,True,True,0.0,True,True,True,True,physics_9382a5984a203a88c11d,issued_943aec264564baa71136,applied_f3d72aefed8b276c69aa,brakingissued_1a663eb40d0e5e4cce5c,brakingapplied_9882cb322f8b0a5ba487,False,10.0,0.5,True,True,1.730546588125649,14,2,0.5,0.5,0.2857142857142857,0.0,integratedissued_1a663eb40d0e5e4cce5c,integratedapplied_9882cb322f8b0a5ba487
s41r14_183dee34e9cdb4693f5b,oracle_development,itc_vw10_c0p50,RZ_p10_m10,1,0.9,,True,,27,37,False,-0.2336827206180081,27,final_speed,-0.2336827206180081,0.11233391959423455,0.12336827206180082,0.06496831272672782,0.021832987999999998,0.41195,0.28575731362679613,0.21331273419699712,23,21,True,True,True,0.0,True,True,True,True,physics_c533561100972722046b,issued_5a64308cc60520d5d285,applied_840674760fe3ab071c60,brakingissued_c4a7c4c3dff1d6b522e1,brakingapplied_2e555f9a012e47f6e33d,False,10.0,0.5,True,True,1.5889172480753857,14,2,0.5,0.5,0.35714285714285715,0.0,integratedissued_c4a7c4c3dff1d6b522e1,integratedapplied_2e555f9a012e47f6e33d
s41r14_5ac8a688e932b1a109a4,oracle_development,itc_vw10_c0p50,nominal,2,0.9,,True,,27,37,False,-0.14527029054874308,26,final_speed,-0.14527029054874308,0.10853067614260792,0.11452702905487432,0.0572051855490625,0.016287895000000052,0.41174999999999995,0.2872575398345259,0.21396494552000586,23,20,True,True,True,0.0,True,True,True,True,physics_81cd3a747e9c22f3b33e,issued_5ebba4ffb46904c1d985,applied_a06285051867072441eb,brakingissued_909dde9a029c6a1cf969,brakingapplied_d226ac94488d3d497b70,False,10.0,0.5,True,True,1.8006201284805747,15,2,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.0,integratedissued_909dde9a029c6a1cf969,integratedapplied_d226ac94488d3d497b70
s41r14_d3dc92ca431db2059a6b,oracle_development,itc_vw10_c0p50,RZ_p10_m10,2,0.9,,True,,27,37,False,-0.27434930287189063,27,final_speed,-0.27434930287189063,0.11664805416201038,0.12743493028718908,0.06942280116942395,0.022056925000000005,0.41195,0.28806666636144135,0.21078596284735585,23,20,True,True,True,0.0,True,True,True,True,physics_372e49b588f30b0b96eb,issued_7c66b981bc142731944a,applied_ca990444636f33e5f9a5,brakingissued_e5138e4fec9dea4f1e21,brakingapplied_fc031e22126a6d58b73a,False,10.0,0.5,True,True,1.4052492949429882,15,2,0.4666666666666667,0.3333333333333333,0.4666666666666667,0.0,integratedissued_e5138e4fec9dea4f1e21,integratedapplied_fc031e22126a6d58b73a
s41r14_862bf324a7db914b3f44,oracle_development,itc_vw6_c0p60,nominal,1,0.9,,True,,27,37,False,-0.12902094569597566,27,final_speed,-0.12902094569597566,0.09608593672074574,0.11290209456959757,0.05398570002741953,0.015472783999999962,0.41174999999999995,0.2849939382737803,0.2162725970622685,23,21,True,True,True,0.0,True,True,True,True,physics_368a5ef34c89d3fcdab8,issued_dfc5a29e8476d293004d,applied_30bb630fa0d3331f89c5,brakingissued_8d1259497bb2793b9943,brakingapplied_b4528c5cf08a835cb8c2,False,6.0,0.6,True,True,1.730546588125649,14,2,0.5,0.5,0.2857142857142857,0.0,integratedissued_8d1259497bb2793b9943,integratedapplied_b4528c5cf08a835cb8c2
s41r14_008e07d7bbb2b8b9804e,oracle_development,itc_vw6_c0p60,RZ_p10_m10,1,0.9,,True,,27,37,False,-0.24421086586647034,27,final_speed,-0.24421086586647034,0.1106673982806141,0.12442108658664705,0.0642248679356969,0.021827327000000007,0.41195,0.2856289955028522,0.2133483765740217,23,21,True,True,True,0.0,True,True,True,True,physics_c2fb6988e7b3a9cdd6bf,issued_382d8e017fefedc6953e,applied_96969bd39dec98ad4ebc,brakingissued_a52d5ca9bd61b1a58f72,brakingapplied_99065e3333fa41e26f63,False,6.0,0.6,True,True,1.5889172480753857,14,2,0.5,0.5,0.35714285714285715,0.0,integratedissued_a52d5ca9bd61b1a58f72,integratedapplied_99065e3333fa41e26f63
s41r14_886a64cc0ed8dab68b3c,oracle_development,itc_vw6_c0p60,nominal,2,0.9,,True,,27,37,False,-0.15262863276470795,26,final_speed,-0.15262863276470795,0.10811918989832399,0.11526286327647081,0.05772980208486437,0.016288037000000033,0.41174999999999995,0.2872185870973199,0.21397288057706426,23,20,True,True,True,0.0,True,True,True,True,physics_c94a618704dd476ec65c,issued_54848b58581126ddddbf,applied_edd49f8da39c73b4413a,brakingissued_e60d8ff0099559b96a31,brakingapplied_d1576312cbb5f5a15c7a,False,6.0,0.6,True,True,1.8006201284805747,15,2,0.26666666666666666,0.2,0.2,0.0,integratedissued_e60d8ff0099559b96a31,integratedapplied_d1576312cbb5f5a15c7a
s41r14_5bbcf2ab77121f699f76,oracle_development,itc_vw6_c0p60,RZ_p10_m10,2,0.9,,True,,27,37,False,-0.3071739776132334,26,final_speed,-0.3071739776132334,0.1301241583644304,0.13071739776132335,0.07321193535456097,0.022790882999999984,0.41195,0.28803977262822594,0.2108014525377083,23,20,True,True,True,0.0,True,True,True,True,physics_3fb184af7553eef8e992,issued_8ecd0907776c522bce15,applied_a1dbeafd38fa3be7f507,brakingissued_0169fd62a2dd138a7830,brakingapplied_4ce11c3735a65f9f4ad3,False,6.0,0.6,True,True,1.4052492949429882,15,2,0.4,0.26666666666666666,0.3333333333333333,0.0,integratedissued_0169fd62a2dd138a7830,integratedapplied_4ce11c3735a65f9f4ad3
s41r14_515d25536de7cf107590,oracle_development,itc_vw10_c0p60,nominal,1,0.9,,True,,27,37,False,-0.13050550741061628,27,final_speed,-0.13050550741061628,0.09607637775158576,0.11305055074106164,0.054048235389217957,0.0154849987,0.41174999999999995,0.2850345141709675,0.21627442966745747,23,21,True,True,True,0.0,True,True,True,True,physics_5d888d3e780a9f2f9ff9,issued_cf33a0b58adc5d532e20,applied_4013d8ffae7e8965272a,brakingissued_94671d06c624fafdc909,brakingapplied_a6f9adeb6f0e3fa3ef81,False,10.0,0.6,True,True,1.730546588125649,14,2,0.5,0.5,0.2857142857142857,0.0,integratedissued_94671d06c624fafdc909,integratedapplied_a6f9adeb6f0e3fa3ef81
s41r14_e3fcdcc949d49834ad17,oracle_development,itc_vw10_c0p60,RZ_p10_m10,1,0.9,,True,,27,37,False,-0.24295390258083205,27,final_speed,-0.24295390258083205,0.11072100580732186,0.12429539025808321,0.06424778730836937,0.021827431000000064,0.41195,0.2856506059072408,0.21335378952556003,23,21,True,True,True,0.0,True,True,True,True,physics_581b483ad660bbfb6684,issued_2cd3dcc26ab62cba2ca6,applied_dacc7ddea447fa60e4f2,brakingissued_2b3c700474a00ef09fc6,brakingapplied_6927e7697c36b2a9acc7,False,10.0,0.6,True,True,1.5889172480753857,14,2,0.5,0.5,0.35714285714285715,0.0,integratedissued_2b3c700474a00ef09fc6,integratedapplied_6927e7697c36b2a9acc7
s41r14_d1739a4ca0a1028490c3,oracle_development,itc_vw10_c0p60,nominal,2,0.9,,True,,27,37,False,-0.15642034180888986,26,final_speed,-0.15642034180888986,0.10811680260761423,0.11564203418088899,0.05795809932056408,0.016288037000000033,0.41174999999999995,0.2872552404028843,0.21398840138778663,23,20,True,True,True,0.0,True,True,True,True,physics_2de55ca51469d48b5160,issued_5ca4caa4741091450365,applied_6abd51a6c90c8e53d4c0,brakingissued_06d0b51805ff56de512e,brakingapplied_0708f819d0f42e3615b0,False,10.0,0.6,True,True,1.8006201284805747,15,2,0.26666666666666666,0.26666666666666666,0.2,0.0,integratedissued_06d0b51805ff56de512e,integratedapplied_0708f819d0f42e3615b0
s41r14_cb29031f1fd0948f0bcf,oracle_development,itc_vw10_c0p60,RZ_p10_m10,2,0.9,,True,,27,37,False,-0.3071206544411451,26,final_speed,-0.3071206544411451,0.13012404167023967,0.1307120654441145,0.07321927749194372,0.022790882999999984,0.41195,0.2880656298396898,0.21080870984097508,23,20,True,True,True,0.0,True,True,True,True,physics_46dcbec8e054e04e5d4e,issued_f44db9123758e17f5e7c,applied_fa194036b1a41c3ad9a0,brakingissued_e34586ac55f75af0040e,brakingapplied_2225098f53e65bf7aa3d,False,10.0,0.6,True,True,1.4052492949429882,15,2,0.4,0.3333333333333333,0.3333333333333333,0.0,integratedissued_e34586ac55f75af0040e,integratedapplied_2225098f53e65bf7aa3d
