experiment_id,target_id,actual_delay_steps,magnitude,calibration_token,trusted_calibration_model,prefix_exact_before_first_effect,streaming_queue_consistent,no_future_measurement,probe_zero_net,applied_probe_zero_net,exact_per_step_probe_application,requested_probe_net_norm,applied_probe_net_norm,probe_issue_count,probe_applied_issue_count,maximum_requested_component,maximum_applied_component,maximum_current_utilization,runtime_guard_pass,formal_tracking_pass,formal_minimum_signed_margin,exact_trace_equal_to_oracle,numeric_trace_equal_to_oracle,maximum_trace_abs_difference
s41r17_7056295b49b8eca2b0b7,nominal,1,6.0,s41r8_b2208612681b9ad35531,True,True,True,True,True,True,True,0.0,1.3877787807814457e-17,6,6,0.09,0.09000000000000001,0.41174999999999995,True,True,0.1584858193418558,True,True,0.0
s41r17_7bafe3803c15d39d1246,RZ_p10_m10,1,6.0,s41r8_b2208612681b9ad35531,True,True,True,True,True,True,True,0.0,1.3877787807814457e-17,6,6,0.09,0.09000000000000001,0.41195,True,True,0.03424307914254965,True,True,0.0
s41r17_94ed769e1a5da77ca1f9,nominal,2,7.0,s41r8_1755db2b033e3c882e1b,True,True,True,True,True,True,True,0.0,3.925231146709438e-17,6,6,0.105,0.10500000000000001,0.41174999999999995,True,True,0.22859295541133307,True,True,0.0
s41r17_805f073b5a4a4d40cf05,RZ_p10_m10,2,7.0,s41r8_1755db2b033e3c882e1b,True,True,True,True,True,True,True,0.0,3.925231146709438e-17,6,6,0.105,0.10500000000000001,0.41195,True,True,0.01633098324390514,True,True,0.0
