experiment_id,pair_id,history_order,common_prefix_steps,common_prefix_source_experiment_id,common_prefix_action_digest,nullspace_direction_index,amplitude_fraction,gap_steps,settle_steps,horizon_steps,success,failure_reason,failure_class,R,Z,Ip,vR_m_per_s,vZ_m_per_s,wire_rms_a,snapshot_dir,snapshot_manifest_path,snapshot_manifest_digest,snapshot_time_ms
s42r3b_a8e2644dbb34945cc610,p9_q2_a0p900_gap2_settle4,plus_first,9,s41r11_076c2e2752cc8914bcf9,20847e482d2e619a8b5d66aa0235a4bbe6f937bf6b9117f85ab0116dfd1f8f0f,2,0.9,2,4,17,True,,,0.728250604,0.0186902361,30315.595,0.029061899999993646,-0.13525837,1.0257289278037027,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_a8e2644dbb34945cc610/1270ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_a8e2644dbb34945cc610/1270ms/restart_snapshot_manifest.json,0ba8a43b81877d1c01f79c3d4dcdf48dc238a5e84c615765347087c307194115,1270
s42r3b_a9464a220c3ad3073957,p9_q1_a0p900_gap3_settle4,plus_first,9,s41r11_076c2e2752cc8914bcf9,20847e482d2e619a8b5d66aa0235a4bbe6f937bf6b9117f85ab0116dfd1f8f0f,1,0.9,3,4,18,True,,,0.728568074,0.0173886924,30292.0213,0.01984680000000072,-0.13347948000000004,1.0902661372343911,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_a9464a220c3ad3073957/1280ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_a9464a220c3ad3073957/1280ms/restart_snapshot_manifest.json,95f55b958735442845476c5d271618957852ad9c7b2f44c05ca335134ee593fc,1280
s42r3b_aadc869b24c2e3d79a3f,p9_q2_a0p750_gap2_settle4,plus_first,9,s41r11_076c2e2752cc8914bcf9,20847e482d2e619a8b5d66aa0235a4bbe6f937bf6b9117f85ab0116dfd1f8f0f,2,0.75,2,4,17,True,,,0.728211127,0.0187561881,30316.0902,0.029496699999997933,-0.1342199399999997,1.0255923593221627,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_aadc869b24c2e3d79a3f/1270ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_aadc869b24c2e3d79a3f/1270ms/restart_snapshot_manifest.json,b931836adcc4486454a470ee75981d76ca79664da72487a8151110a84bbec05d,1270
s42r3b_aca68208d386a63c8d8f,p9_q2_a0p900_gap3_settle4,plus_first,9,s41r11_076c2e2752cc8914bcf9,20847e482d2e619a8b5d66aa0235a4bbe6f937bf6b9117f85ab0116dfd1f8f0f,2,0.9,3,4,18,True,,,0.728532492,0.0172880444,30292.1167,0.020032600000008394,-0.13374334000000007,1.090733430617521,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_aca68208d386a63c8d8f/1280ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_aca68208d386a63c8d8f/1280ms/restart_snapshot_manifest.json,86127bfb1d6baaa623fa3fba75216587c67b3c6471d0154a52a7abbb480a89f1,1280
s42r3b_bf096e46f19da0a35c7f,p5_q2_a0p750_gap4_settle4,minus_first,5,s41r11_076c2e2752cc8914bcf9,6abb946a40dfb78554f0bff835e466d3d6261b2fde2597febd233b94eedb454d,2,0.75,4,4,15,True,,,0.723936147,0.0142373974,30392.1788,-0.00875249999999772,-0.2387963199999999,2.2348215859064307,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_bf096e46f19da0a35c7f/1250ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_bf096e46f19da0a35c7f/1250ms/restart_snapshot_manifest.json,296e7b5c727b757b2add4338bd9dd8383744b16b0e7cbbcc15ae6fa8a6a337b5,1250
s42r3b_c0989593155fe6769bb1,p5_q1_a0p750_gap3_settle4,minus_first,5,s41r11_076c2e2752cc8914bcf9,6abb946a40dfb78554f0bff835e466d3d6261b2fde2597febd233b94eedb454d,1,0.75,3,4,14,True,,,0.724026531,0.0165501166,30430.8509,-0.002762199999994941,-0.23858171999999975,2.158320817209527,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_c0989593155fe6769bb1/1240ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_c0989593155fe6769bb1/1240ms/restart_snapshot_manifest.json,7d42f478ce9a480eedc600fdcf60fa926432d35ae3cc22b2f68c0cb9460f61c4,1240
s42r3b_c10bab9a15ef3b28b8bb,p9_q2_a0p600_gap4_settle4,minus_first,9,s41r11_076c2e2752cc8914bcf9,20847e482d2e619a8b5d66aa0235a4bbe6f937bf6b9117f85ab0116dfd1f8f0f,2,0.6,4,4,19,True,,,0.72810112,0.0166840859,30266.0193,0.015865000000003793,-0.1270427099999999,1.1269696276593557,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_c10bab9a15ef3b28b8bb/1290ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_c10bab9a15ef3b28b8bb/1290ms/restart_snapshot_manifest.json,a42cf62dac29eb063de2915c490e0f992c54ea5b429df644acdb7e5f425f3ad2,1290
s42r3b_c1239f1eab878cc65c41,p5_q2_a0p600_gap3_settle4,plus_first,5,s41r11_076c2e2752cc8914bcf9,6abb946a40dfb78554f0bff835e466d3d6261b2fde2597febd233b94eedb454d,2,0.6,3,4,14,True,,,0.724427443,0.0161200893,30435.1614,-0.006885900000008771,-0.24366052999999985,2.09419169470387,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_c1239f1eab878cc65c41/1240ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_c1239f1eab878cc65c41/1240ms/restart_snapshot_manifest.json,63909dc3df422ad31048359e615ccf7f4188a6208fe30df5d30a7b85b7c1d83f,1240
s42r3b_c18e58bbef0097abeda2,p5_q2_a0p750_gap3_settle4,minus_first,5,s41r11_076c2e2752cc8914bcf9,6abb946a40dfb78554f0bff835e466d3d6261b2fde2597febd233b94eedb454d,2,0.75,3,4,14,True,,,0.72407106,0.0165805903,30431.545,-0.0036712999999966023,-0.23862553999999986,2.1507673921184502,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_c18e58bbef0097abeda2/1240ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_c18e58bbef0097abeda2/1240ms/restart_snapshot_manifest.json,5fde8a35101238c931134798d44919ea51d04477141d994970732657fdd2f7a4,1240
s42r3b_c20292e1ea7f919b281a,p9_q2_a0p600_gap2_settle4,minus_first,9,s41r11_076c2e2752cc8914bcf9,20847e482d2e619a8b5d66aa0235a4bbe6f937bf6b9117f85ab0116dfd1f8f0f,2,0.6,2,4,17,True,,,0.72784526,0.0191538063,30313.9568,0.030294699999999786,-0.1279253000000001,1.0553079625556387,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_c20292e1ea7f919b281a/1270ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_c20292e1ea7f919b281a/1270ms/restart_snapshot_manifest.json,a84642e1f085118580670285fc392924bbbcff417044d0b756faf96945270f7c,1270
