stage,generation,candidate_id,population_index,source_name,source_type,linear_prefilter_score,proposal_rank_score,predicted_terminal_velocity_m_per_s,predicted_late_velocity_rms_m_per_s,parameter_vector,validation_id,candidate_label,candidate_n_modes,candidate_target_fraction,sequence_scale,success,failure_reason,n_trajectory_steps,terminal_R_error_m,terminal_Z_error_m,terminal_Ip_error_A,terminal_RZ_euclidean_error_m,terminal_RZ_box_max_error_m,terminal_normalized_RZ_distance,min_normalized_RZ_distance,min_normalized_RZ_distance_after_step0,min_RZ_euclidean_error_after_step0_m,closest_step_after_step0,closest_velocity_after_step0_m_per_s,relative_distance_reduction,relative_distance_reduction_after_step0,first_step_within_2x_RZ_only,first_step_within_1x_RZ_only,first_step_within_2x,first_step_within_1x,first_step_after_step0_within_2x,first_step_after_step0_within_1x,terminal_within_2x_RZ_only,terminal_within_1x_RZ_only,terminal_within_2x,terminal_within_1x,gate_ip_tolerance_A,terminal_Ip_safe,late_Ip_safe_fraction,late_fraction_within_2x,late_fraction_within_1x,late_R_rms_m,late_Z_rms_m,late_RZ_euclidean_rms_m,terminal_velocity_m_per_s,max_velocity_m_per_s,late_velocity_mean_m_per_s,late_velocity_rms_m_per_s,max_current_utilization,wall_time_s,first_step_after_step0_within_30mm,ever_after_step0_within_30mm,terminal_within_30mm,late_fraction_within_30mm,longest_streak_after_step0_within_30mm_steps,trailing_streak_within_30mm_steps,first_step_after_step0_within_40mm,ever_after_step0_within_40mm,terminal_within_40mm,late_fraction_within_40mm,longest_streak_after_step0_within_40mm_steps,trailing_streak_within_40mm_steps,first_step_after_step0_within_80mm,ever_after_step0_within_80mm,terminal_within_80mm,late_fraction_within_80mm,longest_streak_after_step0_within_80mm_steps,trailing_streak_within_80mm_steps,gate_tier,gate_label,strict_gate_pass,relaxed_gate_pass,terminal_RZ_reduction_vs_zero_action_fraction,continuous_objective,selection_score,position_excess_objective,velocity_excess_objective,precise_streak_deficit,action_rms,delta_action_rms,repair_excess_rms,stage2_1_tube_window_steps,stage2_1_tube_excess_mean,stage2_1_tube_excess_max,stage2_1_tube_excess_terminal,stage2_1_late_position_core,stage2_1_terminal_position_core,stage2_1_velocity_excess,stage2_1_velocity_core,stage2_1_streak_deficit,stage2_1_continuous_objective,generation_rank
Stage2.1,4,s21g004_15b2028657dc017a,153,global_0063,global,2.947176265446409,3.589932680864933,0.0487286232540491,0.09279005749708458,"[2.4188628646808983,1.2635197633433322,0.5145452478386736,1.1973841503703848,1.848431591192139,0.09162262327233359,-0.5953114325321545,2.2075844145783106,-0.28232381356054237,-0.6295337501207002,-1.2175652884965533,0.23860751069765182,-0.42321125356670136,0.040415531166020535,0.06416466156755125]",s21g004_15b2028657dc017a,,,,,True,,11,-0.026625154999999956,0.0311361917,700.818900000002,0.04096780824443958,0.0311361917,1.365593608147986,0.5817437020072838,0.7819319266147357,0.02345795779844207,1,0.6279680347633761,0.0,-0.3441175622816548,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027035875782170985,0.031796167606241064,0.041736493069652526,0.012673803284980406,0.6492340978530599,0.07794362036957281,0.08772622789392835,0.4138,757.9399011135101,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5281840984184795,13.534327426808467,1000013.5343274268,0.004156062160192784,0.0,1.0,0.45457992107957174,0.24705853538983585,0.07731822042777997,5,0.006799932863135351,0.01737541567490562,0.001434368421276546,1.935483170836837,1.8648459026146353,0.0,0.7856516350203832,1.0,13.534327426808467,1
Stage2.1,4,s21g004_1ab4ea44e70a27bb,146,global_0042,global,2.9971780831518124,3.460570444444399,0.025860486519135032,0.08227398828000203,"[2.394514375144936,1.1987730415027087,0.47742722490888867,1.172001652129545,1.847213378995894,0.1156475782309182,-0.4408013115873217,2.1575013686932776,-0.3810408517158905,-0.8477591010812752,-1.279796066494783,0.21592372367509358,-0.48475272034523376,0.15941177344367194,0.08595985908539167]",s21g004_1ab4ea44e70a27bb,,,,,True,,11,-0.02734521099999998,0.0312217241,747.1787000000004,0.041503694057409404,0.0312217241,1.3834564685803135,0.5817437020072838,0.7819294675665593,0.023457884026996778,1,0.6279726254795096,0.0,-0.34411333525149046,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027543851872131472,0.031750119275035446,0.04203253323240104,0.011762652235992092,0.6495295214204908,0.07653908898301387,0.08706682586432289,0.4143,761.5693647861481,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5220124368425781,13.55039767154266,1000013.5503976715,0.003924564976641597,0.0,1.0,0.45776700562357797,0.2500551668504593,0.08112180989864821,5,0.006559439707646905,0.01709893863166814,0.0016584553072453497,1.9630376110365533,1.913951800456712,0.0,0.7718992153713214,1.0,13.55039767154266,2
Stage2.1,4,s21g004_291aa70ce565c4df,154,global_0024,global,2.964752560776036,3.423216614794743,0.029530318610891677,0.08114020760999777,"[2.3491858718577037,1.2601024206263418,0.5024994978931229,1.1519701293246902,1.844060379663445,0.10792100427050708,-0.4277837331481433,2.10448746369154,-0.44040685623807474,-0.7536614670063856,-1.191237822504826,0.09252862988163732,-0.3461748288960582,0.06191073348665077,0.06025980915740683]",s21g004_291aa70ce565c4df,,,,,True,,11,-0.026860986999999947,0.0312088466,833.7102000000014,0.04117650699994473,0.0312088466,1.3725502333314912,0.5817437020072838,0.7819417230867509,0.023458251692602527,1,0.6279891760504054,0.0,-0.34413440212363583,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027139588592304358,0.03185181888912072,0.04184609462667794,0.004302375704301882,0.649139429032036,0.07490635486538645,0.08664717248855604,0.41359999999999997,728.8392436504364,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5257805675559035,13.60580318568098,1000013.6058031857,0.004386143383719229,0.0,1.0,0.44858893613355055,0.23874614490168447,0.08126488500402025,5,0.007115327634738167,0.01803206463881392,0.0016236778914795128,1.9456618172276494,1.8838941430183307,0.0,0.7526242936962548,1.0,13.60580318568098,3
Stage2.1,4,s21g004_2439a71df19cba15,38,damped_parent_03,damped_tail,2.970652238340171,3.526090633970485,0.028077644643436848,0.09011496939807201,"[2.424707509760626,1.2356486232944273,0.4807597568882312,1.171162364646781,1.8619412621646632,0.10964455414051402,-0.4210382921569152,2.2320895330944914,-0.2728235813577335,-0.8033132134339911,-1.4491727157655956,0.20395764365916078,-0.3802813363863395,0.10658456053464134,0.00603456117224576]",s21g004_2439a71df19cba15,,,,,True,,11,-0.027316247999999987,0.0309625885,740.1039000000019,0.041289941770579375,0.0309625885,1.376331392352646,0.5817437020072838,0.7819294055707001,0.023457882167121004,1,0.6279690863630605,0.0,-0.34411322868246524,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027396901351024624,0.031585942129327346,0.041812222421619624,0.016563613263137822,0.6492691887853047,0.08125735280416524,0.09131634077734975,0.4142,671.7658755779266,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5244741679492089,13.608736313068203,1000013.6087363131,0.0034112607746845996,0.0,1.0,0.46318913656713645,0.26220570588135145,0.07756450643023609,5,0.006091932814530621,0.016814620973914708,0.001029529578146945,1.942513270927768,1.8942881015753728,0.0,0.8613027377295863,1.0,13.608736313068203,4
Stage2.1,4,s21g004_808e7e4641469075,0,stage2_1_best,anchor_best,2.994963185313355,3.4217308343102797,0.025667505755059696,0.07880930433042044,"[2.388055851527881,1.2111965248487515,0.497491459683687,1.1409288444038208,1.880784942916907,0.09717718092685362,-0.5444278149553825,2.3377948146149787,-0.29624829455095064,-0.6094051387529014,-1.3792699491603142,0.22354102576572088,-0.6326281176216254,0.16899663618650482,-0.011895193660773774]",s21g004_808e7e4641469075,,,,,True,,11,-0.02681133300000005,0.0313977242,763.1123000000007,0.04128758484309971,0.0313977242,1.3762528281033237,0.5817437020072838,0.7819425370349836,0.02345827611104951,1,0.6280120013857927,0.0,-0.34413580127626936,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02709798234447497,0.03197649340293952,0.04191415963000703,0.0029949779261956096,0.649451345171487,0.07240273746099879,0.0841311878979551,0.41409999999999997,744.1655027866364,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5245013120877761,13.61109833870773,1000013.6110983387,0.0048480448313714414,0.0,1.0,0.4594815378590509,0.258796882692368,0.10026266213458629,5,0.007516674603444707,0.01819119369173777,0.002170703265850707,1.951996419433013,1.894071846862397,0.0,0.7087026669899424,1.0,13.61109833870773,5
Stage2.1,4,s21g004_73bcd731104cab71,31,damped_parent_21,damped_tail,2.957848826092416,3.4389383396646207,0.028113491466587107,0.08352121973456707,"[2.3648904440985605,1.2338004984549331,0.4966118387779632,1.1628291480496165,1.8912182142238032,0.09610993517376841,-0.487843548669993,2.0961507832033344,-0.21984285853627655,-0.7501100769802558,-1.3241870154057516,0.1682420971879892,-0.48611355127304745,-0.14635714983335918,0.09907765960574566]",s21g004_73bcd731104cab71,,,,,True,,11,-0.026589598000000048,0.0314081197,683.1554000000033,0.04115187364982468,0.0314081197,1.3717291216608227,0.5817437020072838,0.7819294878279848,0.023457884634839544,1,0.6279618527281315,0.0,-0.3441133700802739,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.026919154397764114,0.031900295759153825,0.04174050482459634,0.01350126196769566,0.6492391306161935,0.0765550705283895,0.08648373074631897,0.41385,751.5552065372467,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5260642636283543,13.615888522707513,1000013.6158885227,0.004488055579430329,0.0,1.0,0.4630357377929422,0.2502684404527403,0.04899705294785428,5,0.007137758400568702,0.017736569685122192,0.0022031123216978833,1.935855270013501,1.881640783212372,0.0,0.7661719758522142,1.0,13.615888522707513,6
Stage2.1,4,s21g004_eefc3ad486ce6459,147,global_0071,global,3.0136005530891903,3.532568714405487,0.0341662965989892,0.08576456211864084,"[2.4073601615348164,1.1827025263264546,0.4851897115940377,1.1605193711058719,1.8624556316224836,0.11825847534038446,-0.49906193835333146,2.0651637923747277,-0.3014168467926173,-0.758033988627134,-1.265437941989875,0.25347677483162184,-0.661780173815874,-0.13319300897230377,0.028421135902823046]",s21g004_eefc3ad486ce6459,,,,,True,,11,-0.02733363099999997,0.0315721787,699.1100000000006,0.04176038615133837,0.0315721787,1.392012871711279,0.5817437020072838,0.7819435931883194,0.023458307795649582,1,0.6280223341077374,0.0,-0.3441376167722208,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02751570851199987,0.03198849367801065,0.04219452503234832,0.020437413586124775,0.6497635830778048,0.07427408845427932,0.08247017937277498,0.4144,765.848128080368,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5190561788215652,13.685405681331961,1000013.6854056814,0.004813415875696721,0.0,1.0,0.46199599393803276,0.2461970710994477,0.05583412269881604,5,0.007402745316922613,0.017760063081826177,0.002746384294148555,1.9781977141171883,1.9376998350098815,0.0,0.7219018359867997,1.0,13.685405681331961,7
Stage2.1,4,s21g004_d886482ec62e7938,44,damped_parent_06,damped_tail,2.958277415824528,3.5523718963174264,0.03440657814752494,0.09220887983262095,"[2.4005809229482282,1.2075424436901825,0.4956775005295274,1.1782868265438633,1.860273819967151,0.1388781881082214,-0.4535404183469497,2.1834142145322306,-0.2355754728650387,-0.9212859621669127,-1.2609350713505578,0.22958699584955047,-0.19016807668013797,0.11999498580130076,0.05795758691285002]",s21g004_d886482ec62e7938,,,,,True,,11,-0.02670605199999998,0.0311863491,687.0673999999999,0.04105851414279106,0.0311863491,1.3686171380930356,0.5817437020072838,0.7819428651759491,0.023458285955278473,1,0.628014774417416,0.0,-0.344136365340761,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027176614188778623,0.03170840624635122,0.04176112289497696,0.0220091363385774,0.6494466528094053,0.0824090912815365,0.09106915706392846,0.4142,766.7411170005798,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5271394614939432,13.69599366906212,1000013.6959936691,0.003764506315160854,0.0,1.0,0.4594458068154137,0.25420309615802245,0.06445702614694472,5,0.006404749019068791,0.01696571983470054,0.0015638046523009032,1.9377682060548538,1.8731128706819713,0.0,0.8777993450704558,1.0,13.69599366906212,8
Stage2.1,4,s21g004_88336126bdb54e2f,12,tail_fd_n2_m0_m,sensitivity,2.932102076091196,3.5987501248862186,0.03520525283780388,0.09792215941850822,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.34590544639889226,2.0986969706242533,-0.261960531873909,-0.8351852201650649,-1.2773135959693287,0.15977816185308458,-0.38147750995002294,-0.061233913971990364,0.06203426961659384]",s21g004_88336126bdb54e2f,,,,,True,,11,-0.027272359999999995,0.0306941006,727.4248000000007,0.04105982746691126,0.0306941006,1.3686609155637088,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027448152488445534,0.03146110111257057,0.04175167012520994,0.008655688322388291,0.6494770436362003,0.08412652397834698,0.09616162890947605,0.4143,741.2370715141296,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5271243362717164,13.72557604171869,1000013.7255760417,0.0031393257948768285,0.0,1.0,0.4595115392934458,0.24756223536025085,0.05422317119785793,5,0.005910414266008183,0.0169947681505336,0.0005353062699115122,1.9368910647159423,1.8732327017916894,0.0,0.9321979814858109,1.0,13.72557604171869,9
Stage2.1,4,s21g004_776167d39a581374,191,duplicate_fill_0001,fill,2.959477778941983,3.541762278581649,0.031940206918952066,0.09170003867198032,"[2.373671320989467,1.1792805931691204,0.486030702944143,1.1570653304295002,1.8382523293959936,0.08935084658833373,-0.35556347567513097,1.9861216837092441,-0.26921170504446534,-0.7889344157383128,-1.188056785771366,0.12086645976489663,-0.4745963488866683,-0.1401016964933263,-0.048847624843843425]",s21g004_776167d39a581374,,,,,True,,11,-0.02751345000000005,0.0308214347,806.9782000000014,0.04131526071403722,0.0308214347,1.3771753571345737,0.5817437020072838,0.78193985624197,0.023458195687259098,1,0.6280076051959815,0.0,-0.3441311930733712,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027654445266670314,0.031575250902359416,0.04197338219102927,0.009039375606231657,0.6497644502715145,0.08171422317617547,0.09316766167344648,0.4143,781.9852652549744,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5241825760714258,13.725812813474727,1000013.7258128135,0.003490235052165619,0.0,1.0,0.4548538103896483,0.23891363460302745,0.03633333749005634,5,0.00626530722250533,0.017365595903864172,0.0007497277404045476,1.9575164583935702,1.896611964298741,0.0,0.8761923493048324,1.0,13.725812813474727,10
