mode_index,singular_value,singular_value_ratio,cumulative_energy,tsc_CS1U,tsc_CS2U,tsc_CS3U,tsc_CS1L,tsc_CS2L,tsc_CS3L,tsc_CS4U,tsc_CS4L,tsc_PF2U,tsc_PF2L,tsc_PF3U,tsc_PF3L,tsc_PF4U,tsc_PF4L,display_CS1U,display_CS1L,display_CS2U,display_CS2L,display_CS3U,display_CS3L,display_CS4U,display_CS4L,display_PF2U,display_PF2L,display_PF3U,display_PF3L,display_PF4U,display_PF4L
1,0.08248340462914742,1.0,0.5913157026396927,0.03541289437637536,-0.27637377317962175,-0.2534896111736007,0.4043981488791566,0.366938847742381,0.2032484811793695,-0.15707879855698792,0.10023999231457471,-0.35002477029387763,0.1818770056872533,-0.3886598275325416,0.15013490475526536,-0.3909541264725931,0.043059091194143,0.03541289437637536,0.4043981488791566,-0.27637377317962175,0.366938847742381,-0.2534896111736007,0.2032484811793695,-0.15707879855698792,0.10023999231457471,-0.35002477029387763,0.1818770056872533,-0.3886598275325416,0.15013490475526536,-0.3909541264725931,0.043059091194143
2,0.06755043723246924,0.8189579168825765,0.9879064550446617,-0.4923213745724589,-0.38185459280062506,-0.1713765645987121,-0.2264965298478546,0.01802698126032366,0.07110400769713109,-0.06166467844804852,0.06030970723852027,-0.04579076006249773,0.17373005463969504,0.09772381883999061,0.2801639740229184,0.38371350080170885,0.500758235530305,-0.4923213745724589,-0.2264965298478546,-0.38185459280062506,0.01802698126032366,-0.1713765645987121,0.07110400769713109,-0.06166467844804852,0.06030970723852027,-0.04579076006249773,0.17373005463969504,0.09772381883999061,0.2801639740229184,0.38371350080170885,0.500758235530305
3,0.0115009379071326,0.13943335582280847,0.9994026143114317,0.45977870163953355,0.22956995798683622,0.11356848085579678,0.46543492639543804,0.2476976990555269,0.12147899075067191,0.06463844563825533,0.06703103021255329,0.15835251921521568,0.1475233905359777,0.2396052964883787,0.21093962070140324,0.3828184116872511,0.35538190340555514,0.45977870163953355,0.46543492639543804,0.22956995798683622,0.2476976990555269,0.11356848085579678,0.12147899075067191,0.06463844563825533,0.06703103021255329,0.15835251921521568,0.1475233905359777,0.2396052964883787,0.21093962070140324,0.3828184116872511,0.35538190340555514
4,0.0019760267406382357,0.023956658306269293,0.9997419830929841,-0.34291922366981975,-0.3171372428499582,-0.026040677826967517,0.37964879632066756,0.3680129505317905,0.06975632959603961,0.05906368676948668,-0.010888431783533933,0.17042922622877363,-0.16008662821954062,0.36788359276737276,-0.3681728370364906,0.1833896129347811,-0.36594715450119747,-0.34291922366981975,0.37964879632066756,-0.3171372428499582,0.3680129505317905,-0.026040677826967517,0.06975632959603961,0.05906368676948668,-0.010888431783533933,0.17042922622877363,-0.16008662821954062,0.36788359276737276,-0.3681728370364906,0.1833896129347811,-0.36594715450119747
5,0.001513327467100742,0.018347053857740162,0.9999410284647221,0.3537287693106455,-0.28151627091480874,-0.3440242654352994,0.13135715026869513,-0.24509511327467945,-0.2986626344139018,-0.12933167464694806,-0.20085053921427104,-0.34246607804806656,-0.281339613339201,-0.1424225983080205,-0.1859050695902702,0.4497208162125371,-0.012241296125848483,0.3537287693106455,0.13135715026869513,-0.28151627091480874,-0.24509511327467945,-0.3440242654352994,-0.2986626344139018,-0.12933167464694806,-0.20085053921427104,-0.34246607804806656,-0.281339613339201,-0.1424225983080205,-0.1859050695902702,0.4497208162125371,-0.012241296125848483
6,0.0006200143335449419,0.007516837312094237,0.9999744394831361,-0.04868905409618389,0.43776416773899646,-0.050269381631453294,-0.38666765118620766,0.5878424109279012,0.11706475058649117,-0.09138247064898508,-0.014881331509154097,-0.3592496576995832,-0.08130673058374555,-0.13732145981808155,-0.1772532026129336,0.3089318201572596,-0.06879032419213157,-0.04868905409618389,-0.38666765118620766,0.43776416773899646,0.5878424109279012,-0.050269381631453294,0.11706475058649117,-0.09138247064898508,-0.014881331509154097,-0.3592496576995832,-0.08130673058374555,-0.13732145981808155,-0.1772532026129336,0.3089318201572596,-0.06879032419213157
7,0.0003604391856109049,0.004369838844934576,0.9999857309471277,0.2732588868767846,-0.11406015787157742,-0.3451608250877636,-0.28590460882647256,0.226099058801843,-0.1681311795854912,-0.05610518193448267,-0.13159361503642839,-0.07630925704594504,0.0019071548010586858,0.5912652952385857,0.39679939861527247,-0.24131896906677439,-0.20120356565114994,0.2732588868767846,-0.28590460882647256,-0.11406015787157742,0.226099058801843,-0.3451608250877636,-0.1681311795854912,-0.05610518193448267,-0.13159361503642839,-0.07630925704594504,0.0019071548010586858,0.5912652952385857,0.39679939861527247,-0.24131896906677439,-0.20120356565114994
8,0.00027901172452915115,0.0033826407358378595,0.9999924969341625,0.012620102039384802,0.09335185844222592,-0.10932875292888856,0.004785273773605443,0.005242110339305705,0.03252625298991568,-0.25254198079728163,-0.0026938989307776482,-0.048958617730657315,-0.26129462416569116,0.3104362048383561,-0.49321817072200236,-0.375817841895369,0.6022745753535557,0.012620102039384802,0.004785273773605443,0.09335185844222592,0.005242110339305705,-0.10932875292888856,0.03252625298991568,-0.25254198079728163,-0.0026938989307776482,-0.048958617730657315,-0.26129462416569116,0.3104362048383561,-0.49321817072200236,-0.375817841895369,0.6022745753535557
9,0.00018593682485632093,0.002254233147774502,0.9999955017445735,0.41243003363770186,-0.3835494547844561,-0.11389288081986985,-0.379690178082115,0.1587173376844902,0.2868486158333831,0.15603902206651923,-0.07249405841561868,0.40833057885328056,0.2540465786916144,-0.18721509532848846,-0.3456991498743558,0.017803872568189633,0.04929786062039418,0.41243003363770186,-0.379690178082115,-0.3835494547844561,0.1587173376844902,-0.11389288081986985,0.2868486158333831,0.15603902206651923,-0.07249405841561868,0.40833057885328056,0.2540465786916144,-0.18721509532848846,-0.3456991498743558,0.017803872568189633,0.04929786062039418
10,0.00017335410776325356,0.0021016846787868266,0.999998113632444,-0.021965776447913664,-0.17821638469995613,0.3120595042343719,-0.010805099659891605,0.315245750760808,-0.350200724460959,0.5559032868833301,-0.38407975098095964,-0.07950185046598353,-0.2564947476785307,-0.1375090657378837,0.08894916703384656,-0.14533367202352185,0.26765596714194995,-0.021965776447913664,-0.010805099659891605,-0.17821638469995613,0.315245750760808,0.3120595042343719,-0.350200724460959,0.5559032868833301,-0.38407975098095964,-0.07950185046598353,-0.2564947476785307,-0.1375090657378837,0.08894916703384656,-0.14533367202352185,0.26765596714194995
11,9.722289634672307e-05,0.0011786964515328347,0.9999989351623246,0.05193673474999679,-0.05691438745967529,0.12050061702754811,-0.01939783123566298,-0.06185180426176287,-0.31131503607892547,0.30519716471983255,0.3510986613333539,-0.427645359970791,0.5656153669476333,0.2256618985392412,-0.32884272228567973,-0.01093944812005403,-0.005155539831953555,0.05193673474999679,-0.01939783123566298,-0.05691438745967529,-0.06185180426176287,0.12050061702754811,-0.31131503607892547,0.30519716471983255,0.3510986613333539,-0.427645359970791,0.5656153669476333,0.2256618985392412,-0.32884272228567973,-0.01093944812005403,-0.005155539831953555
12,8.315679375506054e-05,0.0010081639346598353,0.9999995361723639,0.22735152598009825,-0.3661726320763291,0.5351908926039379,-0.1737810361256972,0.02417070360797216,0.1966561079226379,-0.16240042212924327,0.4637708194080538,-0.20802768031905366,-0.38880719785152507,0.08057369030898925,0.11617910973216047,0.02708878111394014,-0.04140735829352904,0.22735152598009825,-0.1737810361256972,-0.3661726320763291,0.02417070360797216,0.5351908926039379,0.1966561079226379,-0.16240042212924327,0.4637708194080538,-0.20802768031905366,-0.38880719785152507,0.08057369030898925,0.11617910973216047,0.02708878111394014,-0.04140735829352904
