target_id,actual_delay_steps,magnitudes,endpoint_late_speeds_m_per_s,monotone_nonincreasing
nominal,1,"[1.0,2.0,4.0,6.0]","[0.09106462339702452,0.08936745078945098,0.08641968375439096,0.08415141806581443]",True
nominal,2,"[1.0,2.0,4.0,6.0]","[0.0847488191549635,0.08332380150005765,0.08055049767740524,0.0784226513413433]",True
RZ_p10_m10,1,"[1.0,2.0,4.0,6.0]","[0.10364733138498058,0.10203413208538512,0.09891220373037946,0.09657569208574504]",True
RZ_p10_m10,2,"[1.0,2.0,4.0,6.0]","[0.10720680750251758,0.10571820635005416,0.1031339287099411,0.1001011097599938]",True
