variable_index,control_step,mode_index,method,denominator,column_norm
0,8,0,secant,0.028000000000000025,64.80286619621569
1,8,1,secant,0.028000000000000025,241.08129879036485
2,8,2,secant,0.010000000000000009,382.6848096990619
3,9,0,secant,0.040000000000000036,125.5804256630939
4,9,1,secant,0.040000000000000036,149.59180368848084
5,9,2,secant,0.014000000000000012,464.97510622673866
6,10,0,secant,0.06000000000000005,57.278277987289265
7,10,1,secant,0.05999999999999997,151.3640547898908
8,10,2,secant,0.022000000000000002,508.32582440217516
9,11,0,secant,0.07999999999999996,61.385073002660285
10,11,1,secant,0.07999999999999996,161.14756210938688
11,11,2,secant,0.02800000000000001,472.8044627689271
12,12,0,secant,0.09999999999999998,30.31147983058444
13,12,1,secant,0.09999999999999998,132.99471946824778
14,12,2,secant,0.036000000000000004,436.9387898972539
15,13,0,secant,0.09999999999999998,41.26804749624906
16,13,1,secant,0.10000000000000002,126.83250513830413
17,13,2,secant,0.035999999999999976,346.65974870728587
18,14,0,secant,0.09999999999999998,17.341000098601242
19,14,1,secant,0.10000000000000002,125.66800001016313
20,14,2,secant,0.035999999999999976,230.36111111239833
