mode_index,singular_value,singular_value_ratio,cumulative_energy,tsc_CS1U,tsc_CS2U,tsc_CS3U,tsc_CS1L,tsc_CS2L,tsc_CS3L,tsc_CS4U,tsc_CS4L,tsc_PF2U,tsc_PF2L,tsc_PF3U,tsc_PF3L,tsc_PF4U,tsc_PF4L,display_CS1U,display_CS1L,display_CS2U,display_CS2L,display_CS3U,display_CS3L,display_CS4U,display_CS4L,display_PF2U,display_PF2L,display_PF3U,display_PF3L,display_PF4U,display_PF4L
1,0.0823342052677587,1.0,0.5905832670454778,0.033998644309608715,-0.27829208282867235,-0.25450370185351057,0.4050326411674964,0.3677346416409177,0.2038617433025673,-0.15727531168462616,0.10062286951164506,-0.350698099083229,0.18278748551518034,-0.384082393543192,0.15134919170205466,-0.3899898899995073,0.044797018318479334,0.033998644309608715,0.4050326411674964,-0.27829208282867235,0.3677346416409177,-0.25450370185351057,0.2038617433025673,-0.15727531168462616,0.10062286951164506,-0.350698099083229,0.18278748551518034,-0.384082393543192,0.15134919170205466,-0.3899898899995073,0.044797018318479334
2,0.0675369580562071,0.8202782529638862,0.9879610052655386,-0.4926203725921537,-0.38077591790315524,-0.1701696587255211,-0.22906382116906934,0.01628120201024173,0.0701124324349737,-0.0610844958416716,0.05982556435535805,-0.044153821108196614,0.17286217190634975,0.09697988405242966,0.2794682764991846,0.38518275519769307,0.5007109112579408,-0.4926203725921537,-0.22906382116906934,-0.38077591790315524,0.01628120201024173,-0.1701696587255211,0.0701124324349737,-0.0610844958416716,0.05982556435535805,-0.044153821108196614,0.17286217190634975,0.09697988405242966,0.2794682764991846,0.38518275519769307,0.5007109112579408
3,0.011445662248024376,0.139014668457684,0.9993740729940903,0.4601016932251494,0.23150131695668127,0.11563591390695356,0.46278296566963095,0.24587443404552248,0.12103354341726177,0.0651927277299362,0.06708787768084083,0.1608545175613287,0.1478535305324086,0.23170155569966222,0.21184323833690297,0.38598882660366574,0.3578186944435605,0.4601016932251494,0.46278296566963095,0.23150131695668127,0.24587443404552248,0.11563591390695356,0.12103354341726177,0.0651927277299362,0.06708787768084083,0.1608545175613287,0.1478535305324086,0.23170155569966222,0.21184323833690297,0.38598882660366574,0.3578186944435605
4,0.0019501544957699658,0.023685836153125875,0.9997054013301092,-0.3627341187214053,-0.3036618584665585,-0.002801350168694981,0.3816109257353364,0.37328901707318557,0.08364939108381096,0.0718232405834794,0.003522421070915609,0.19973946893738287,-0.14095134543364068,0.36053494077092063,-0.36095164165974586,0.1685344023356581,-0.36142396054396675,-0.3627341187214053,0.3816109257353364,-0.3036618584665585,0.37328901707318557,-0.002801350168694981,0.08364939108381096,0.0718232405834794,0.003522421070915609,0.19973946893738287,-0.14095134543364068,0.36053494077092063,-0.36095164165974586,0.1685344023356581,-0.36142396054396675
5,0.0015453813169868974,0.018769614790853567,0.9999134628934233,0.31925010663236975,-0.28836046302084795,-0.31918648128680444,0.14876089961778488,-0.2035702198571759,-0.2880290821189063,-0.11730087812168102,-0.20177077987363962,-0.2927446695960608,-0.29485733127081687,-0.21297397130308712,-0.21567513639543018,0.49641976288838796,-0.03314697924958568,0.31925010663236975,0.14876089961778488,-0.28836046302084795,-0.2035702198571759,-0.31918648128680444,-0.2880290821189063,-0.11730087812168102,-0.20177077987363962,-0.2927446695960608,-0.29485733127081687,-0.21297397130308712,-0.21567513639543018,0.49641976288838796,-0.03314697924958568
6,0.0007406720680757118,0.008995921751682371,0.9999612567940627,-0.13170846870451713,0.3690358329116796,0.09212930379349696,-0.2932174998239424,0.55334288130416,0.12439334299398301,-0.012770148687114454,-0.022576699626072137,-0.03328777557208416,-0.09734985854286056,-0.5081113802302936,-0.1733529001077958,0.3598374558377675,-0.03701110729961807,-0.13170846870451713,-0.2932174998239424,0.3690358329116796,0.55334288130416,0.09212930379349696,0.12439334299398301,-0.012770148687114454,-0.022576699626072137,-0.03328777557208416,-0.09734985854286056,-0.5081113802302936,-0.1733529001077958,0.3598374558377675,-0.03701110729961807
7,0.0004818375473464739,0.005852215926290807,0.9999814833444802,0.15923640996299485,0.1789744721481371,-0.23497887482412683,-0.32398971100308904,0.2866659191288775,0.010998817324653732,-0.1268036908749834,0.044248323320846585,-0.5706888381659329,0.04334878525298075,0.5800184707338736,-0.0020385058438508706,-0.012267884746509583,-0.1339818503319194,0.15923640996299485,-0.32398971100308904,0.1789744721481371,0.2866659191288775,-0.23497887482412683,0.010998817324653732,-0.1268036908749834,0.044248323320846585,-0.5706888381659329,0.04334878525298075,0.5800184707338736,-0.0020385058438508706,-0.012267884746509583,-0.1339818503319194
8,0.00030431551848401835,0.003696100757812081,0.9999895513974641,0.19636998108892278,-0.24528881480454104,-0.09639421602919704,-0.19934886442781186,0.17924509366886185,-0.12552226576272282,0.19311623561835092,-0.11573114894237815,0.22876024505939097,0.15838579547085596,-0.06981074773626614,0.5981184799170852,0.15113781835001674,-0.5392485368963871,0.19636998108892278,-0.19934886442781186,-0.24528881480454104,0.17924509366886185,-0.09639421602919704,-0.12552226576272282,0.19311623561835092,-0.11573114894237815,0.22876024505939097,0.15838579547085596,-0.06981074773626614,0.5981184799170852,0.15113781835001674,-0.5392485368963871
9,0.00021319969002988863,0.0025894424964271277,0.9999935113837345,0.369448383971919,-0.2889861559697291,-0.2394410281574736,-0.3476606115799024,0.2961457979573055,0.0476502191799833,-0.14769214480789464,-0.12737239418229415,0.4740056091468188,-0.15848279093477646,0.06870823636191077,-0.24107732091359568,-0.26239551142932505,0.3038038834669185,0.369448383971919,-0.3476606115799024,-0.2889861559697291,0.2961457979573055,-0.2394410281574736,0.0476502191799833,-0.14769214480789464,-0.12737239418229415,0.4740056091468188,-0.15848279093477646,0.06870823636191077,-0.24107732091359568,-0.26239551142932505,0.3038038834669185
10,0.00017407744735988803,0.0021142785892421206,0.9999961513936718,0.1435134051526802,-0.01139518401696589,-0.1822882736507017,-0.09432192625775457,-0.3022834371392434,0.5419399069494165,-0.33526573791250686,0.2875290569700952,0.15640281950608084,0.3909706162980627,-0.053677087958682534,-0.22067566320162274,0.22736761509733985,-0.2764115117931901,0.1435134051526802,-0.09432192625775457,-0.01139518401696589,-0.3022834371392434,-0.1822882736507017,0.5419399069494165,-0.33526573791250686,0.2875290569700952,0.15640281950608084,0.3909706162980627,-0.053677087958682534,-0.22067566320162274,0.22736761509733985,-0.2764115117931901
