direction_index,theta_rad,R,Z,Ip,support
0,0.0,0.7773081633921355,0.0884628767950013,32172.796437011482,0.7773081633921355
1,0.08726646259971647,0.7768841792403731,0.09389789888603778,32160.154133832544,0.7821116415104741
2,0.17453292519943295,0.7747655739228162,0.11121115983778572,32106.153538968403,0.7823067592081995
3,0.2617993877991494,0.7744685615228162,0.11258654927778572,32101.9895389684,0.7772187283992967
4,0.3490658503988659,0.7699510527228162,0.12704764519778575,32423.243738968402,0.7669701764297077
5,0.4363323129985824,0.765700359211705,0.1370602712733413,32066.281423412842,0.7518843716895764
6,0.5235987755982988,0.7621154413894828,0.1441794278822302,31849.135214523954,0.7321010468007977
7,0.6108652381980153,0.7594439043672606,0.14844897883778574,31604.78681452396,0.7072468630469841
8,0.6981317007977318,0.7488923903672607,0.16282738295778576,32091.38637452395,0.6783482784178784
9,0.7853981633974483,0.7483885223672607,0.16337436739778577,31740.620214523948,0.644713722187107
10,0.8726646259971648,0.7482383291672607,0.16351507475778576,31562.100974523946,0.6062181414656596
11,0.9599310885968811,0.7482383291672607,0.16351507475778576,31562.100974523946,0.563115582144926
12,1.0471975511965976,0.7482383291672607,0.16351507475778576,31562.100974523946,0.5157273732255845
13,1.1344640137963142,0.726116517478372,0.1744961899177858,32395.046707857276,0.4650173561686352
14,1.2217304763960306,0.7259737762783719,0.17456249243778577,32589.09610785728,0.41233274102318895
15,1.308996938995747,0.7133704211228163,0.17817383791334135,32049.70891230172,0.3567365628089293
16,1.3962634015954636,0.7046906891228164,0.1801173757133413,31394.136792301728,0.29974924203974174
17,1.4835298641951802,0.7021454031228165,0.18049180355334132,30869.119232301724,0.24100098187487842
18,1.5707963267948966,0.7018852279228165,0.18050223679334132,30568.864472301724,0.18050223679334138
19,1.658062789394613,0.7018852279228165,0.18050223679334132,30568.864472301724,0.1186420429240051
20,1.7453292519943295,0.7018568467228165,0.18049762731334135,30253.201072301723,0.05587930036201154
21,1.8325957145940461,0.7018568467228165,0.18049762731334135,30253.201072301723,-0.007306599061610158
22,1.9198621771937623,0.7018568467228165,0.18049762731334135,30253.201072301723,-0.07043689085452753
23,2.007128639793479,0.7010901079228165,0.18016760795334136,30626.996872301726,-0.1330061766740604
24,2.0943951023931953,0.6909414511228164,0.17493291271334133,31115.29215230172,-0.19397437919364863
25,2.181661564992912,0.6753317637005942,0.16516073636667467,31362.69581896839,-0.2520626315470169
26,2.2689280275926285,0.6740599381005942,0.16412123356667466,31155.04433896839,-0.3075532174255546
27,2.356194490192345,0.6693831501005942,0.15978475656667465,30560.66429896839,-0.36034047974960537
