mode,weighted_response_gain
PF4_common,0.0472264111847099
CS1_common,0.043557183351390936
CS2_differential,0.04213154159797467
PF2_differential,0.03274695752550471
PF3_differential,0.032384773560531425
CS3_differential,0.029048797526063104
PF4_differential,0.025926443661579115
CS1_differential,0.025023503782122147
PF3_common,0.022805081646543372
CS2_common,0.018590265297268226
CS4_differential,0.01608786578206447
PF2_common,0.011834577580943082
CS3_common,0.0059731066537823535
CS4_common,0.0034886828465936323
