stage,phase,candidate_id,nominal_id,source_candidate_id,nominal_category,source_name,source_type,control_vector,probe_center_candidate_id,probe_center_nominal_id,probe_variable_index,probe_sign,probe_requested_delta,probe_actual_delta,probe_scheme,population_index
Stage3.1,round_000_probes,s31r000p_cc8d36f567ea2ab9,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v0_m,real_tsc_fd_probe,"[-0.6113015723001297,-0.30390476986892895,0.14356953343592382,-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2869999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",s30r999p_3d650586695d1458,nominal_05_s22g000_571ab4a158d29207,0,-1,0.014,-0.014000000000000012,two_sided,0
Stage3.1,round_000_probes,s31r000p_e4332fa9cae1eeb1,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v0_p,real_tsc_fd_probe,"[-0.5833015723001297,-0.30390476986892895,0.14356953343592382,-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2869999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",s30r999p_3d650586695d1458,nominal_05_s22g000_571ab4a158d29207,0,1,0.014,0.014000000000000012,two_sided,1
Stage3.1,round_000_probes,s31r000p_5d5be7b568e38e2b,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v1_m,real_tsc_fd_probe,"[-0.5973015723001297,-0.31790476986892896,0.14356953343592382,-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2869999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",s30r999p_3d650586695d1458,nominal_05_s22g000_571ab4a158d29207,1,-1,0.014,-0.014000000000000012,two_sided,2
Stage3.1,round_000_probes,s31r000p_33f7fa7e9cd8c5e0,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v1_p,real_tsc_fd_probe,"[-0.5973015723001297,-0.28990476986892894,0.14356953343592382,-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2869999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",s30r999p_3d650586695d1458,nominal_05_s22g000_571ab4a158d29207,1,1,0.014,0.014000000000000012,two_sided,3
Stage3.1,round_000_probes,s31r000p_598dc4b1392a2ddb,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v2_m,real_tsc_fd_probe,"[-0.5973015723001297,-0.30390476986892895,0.13856953343592382,-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2869999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",s30r999p_3d650586695d1458,nominal_05_s22g000_571ab4a158d29207,2,-1,0.005,-0.0050000000000000044,two_sided,4
Stage3.1,round_000_probes,s31r000p_51cbf19dfffeaa02,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v2_p,real_tsc_fd_probe,"[-0.5973015723001297,-0.30390476986892895,0.14856953343592383,-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2869999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",s30r999p_3d650586695d1458,nominal_05_s22g000_571ab4a158d29207,2,1,0.005,0.0050000000000000044,two_sided,5
Stage3.1,round_000_probes,s31r000p_49c60dda2b65dde0,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v3_m,real_tsc_fd_probe,"[-0.5973015723001297,-0.30390476986892895,0.14356953343592382,-0.3825934518181101,0.31836250362187624,0.14993042464019693,0.2869999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",s30r999p_3d650586695d1458,nominal_05_s22g000_571ab4a158d29207,3,-1,0.02,-0.020000000000000018,two_sided,6
Stage3.1,round_000_probes,s31r000p_3bb69e82de39660f,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v3_p,real_tsc_fd_probe,"[-0.5973015723001297,-0.30390476986892895,0.14356953343592382,-0.3425934518181101,0.31836250362187624,0.14993042464019693,0.2869999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",s30r999p_3d650586695d1458,nominal_05_s22g000_571ab4a158d29207,3,1,0.02,0.020000000000000018,two_sided,7
Stage3.1,round_000_probes,s31r000p_c5f7c9e2719b23b2,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v4_m,real_tsc_fd_probe,"[-0.5973015723001297,-0.30390476986892895,0.14356953343592382,-0.3625934518181101,0.2983625036218762,0.14993042464019693,0.2869999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",s30r999p_3d650586695d1458,nominal_05_s22g000_571ab4a158d29207,4,-1,0.02,-0.020000000000000018,two_sided,8
Stage3.1,round_000_probes,s31r000p_659293291583bfad,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v4_p,real_tsc_fd_probe,"[-0.5973015723001297,-0.30390476986892895,0.14356953343592382,-0.3625934518181101,0.33836250362187625,0.14993042464019693,0.2869999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",s30r999p_3d650586695d1458,nominal_05_s22g000_571ab4a158d29207,4,1,0.02,0.020000000000000018,two_sided,9
