candidate_id,hall_of_fame_rank,repeats,successful_repeats,all_repeats_strict_gate,all_repeats_relaxed_gate,worst_gate_tier,mean_terminal_RZ_error_m,max_terminal_velocity_m_per_s,max_late_velocity_rms_m_per_s
g007_1417404bd2e7a119,1,2,2,False,True,1,0.04109250114759276,0.010563105359928758,0.08660649244890971
g006_3be98b52a5b7f41f,2,2,2,False,True,1,0.04133594596691368,0.003758288758585018,0.08221512249766974
g006_8c4c3fbdd73b343d,3,2,2,False,True,1,0.041194426103230444,0.016410751896010663,0.0823799818192366
