pair_id,target_id,actual_delay_steps,actual_slew_scale,member_count,plus_first_pass,minus_first_pass,both_members_pass,history_sensitive_outcome,same_trajectory_length,maximum_action_abs_difference,maximum_R_abs_difference_m,maximum_Z_abs_difference_m,maximum_Ip_abs_difference_A,maximum_coil_abs_difference_A,maximum_wire_abs_difference_A
p5_q1_a0p900_gap2_settle4,RZ_p10_m10,0,1.0,2,False,False,False,False,True,0.0012901052832603455,0.0004374540000000593,0.0003499760000000001,12.105800000001182,0.020833333333357018,0.43100000000000027
p5_q1_a0p900_gap2_settle4,RZ_p10_m10,2,0.9,2,False,False,False,False,True,1.8083141185343266e-05,0.0004374540000000593,0.0003613066999999994,8.27390000000014,0.0,0.49700000000000033
p5_q1_a0p900_gap2_settle4,nominal,0,1.0,2,False,False,False,False,True,0.0012077242136001587,0.0004374540000000593,0.0003486656000000008,9.299800000000687,0.0,0.9269999999999999
p5_q1_a0p900_gap2_settle4,nominal,2,0.9,2,False,False,False,False,True,0.0001493687741458416,0.0004374540000000593,0.0003606967000000013,7.254099999998289,0.0,0.8109999999999999
p5_q2_a0p900_gap2_settle4,RZ_p10_m10,0,1.0,2,False,False,False,False,True,0.0034618452191352844,0.00039006399999996777,0.0005099402000000031,14.694100000000617,0.020833333333357018,0.4850000000000001
p5_q2_a0p900_gap2_settle4,RZ_p10_m10,2,0.9,2,False,False,False,False,True,5.5171665735542774e-05,0.00039006399999996777,0.0005157699000000009,10.628000000000611,0.0,0.4750000000000001
p5_q2_a0p900_gap2_settle4,nominal,0,1.0,2,False,False,False,False,True,0.0033269375562667847,0.00039006399999996777,0.0005062825,13.536400000000867,0.020833333333342807,1.012
p5_q2_a0p900_gap2_settle4,nominal,2,0.9,2,False,False,False,False,True,0.0002534911036491394,0.00039006399999996777,0.0005141286999999998,10.102799999996932,0.0,0.7640000000000002
p9_q1_a0p750_gap2_settle4,RZ_p10_m10,0,1.0,2,False,False,False,False,True,0.0001343321055173874,0.00046502799999992295,0.00040793480000000243,11.67109999999957,0.000500000000000167,0.33399999999999996
p9_q1_a0p750_gap2_settle4,RZ_p10_m10,2,0.9,2,False,False,False,False,True,0.0026359856128692627,0.00046502799999992295,0.00039544672,9.231100000000879,0.10000000000000853,0.47700000000001097
p9_q1_a0p750_gap2_settle4,nominal,0,1.0,2,False,False,False,False,True,2.0738691091537476e-05,0.00046502799999992295,0.00040294724999999994,12.423099999999977,0.0,0.5500000000000003
p9_q1_a0p750_gap2_settle4,nominal,2,0.9,2,False,False,False,False,True,0.0011429041624069214,0.00046502799999992295,0.0004019181999999999,11.305099999997765,0.005000000000002558,0.33399999999999996
p9_q2_a0p750_gap2_settle4,RZ_p10_m10,0,1.0,2,False,False,False,False,True,0.00011409912258386612,0.0003814429999999813,0.0005314230000000031,8.811499999999796,0.000500000000000167,0.34099999999999997
p9_q2_a0p750_gap2_settle4,RZ_p10_m10,2,0.9,2,False,False,False,False,True,0.003864079713821411,0.0003814429999999813,0.00048763337000000016,5.674300000002404,0.10000000000000853,0.48799999999999955
p9_q2_a0p750_gap2_settle4,nominal,0,1.0,2,False,False,False,False,True,8.641183376312256e-05,0.0003814429999999813,0.0005269550000000095,9.313300000001618,0.0,0.5479999999999998
p9_q2_a0p750_gap2_settle4,nominal,2,0.9,2,False,False,False,False,True,0.00027954578399658203,0.0003814429999999813,0.0004986344999999975,9.442999999999302,0.0055000000000005045,0.34099999999999997
