target_id,actual_delay_steps,actual_slew_scale,oracle_pass,weak_slew_deadline_diagnostic,oracle_margin,abrupt_pass,persistent_exact_pass,persistent_exact_trace_equal,adjacent_delay_pass,adjacent_full_pass,cold_common_prefix_pass,adjacent_delay_margin,cold_common_prefix_margin,adjacent_event_jump_rms_a,abrupt_event_jump_rms_a,exact_noop_event_count
RZ_p10_m10,0,0.9,False,True,-0.35327378099635354,False,False,True,False,False,False,-0.06781072945693101,-2.9878278666666667,5.567942525784472e-07,0.0,0
RZ_p10_m10,0,1.0,True,False,0.23832005277494073,True,True,True,True,True,False,0.3537218999999989,-2.7352664333333334,0.0006681533367786079,0.0,0
RZ_p10_m10,0,1.1,True,False,0.33296004,True,True,True,True,True,False,0.4003153980166032,-2.5373193566666665,0.0005345224838250273,0.0,0
RZ_p10_m10,1,0.9,False,True,-0.47401661934857064,False,False,True,False,False,False,-1.7775744194990128,-0.8846584333333343,0.42532567120655224,0.0,0
RZ_p10_m10,1,1.0,True,False,0.27013420000000044,True,True,True,False,False,False,-2.6981354094181027,-0.8390989999999996,0.4443396071789414,0.0,0
RZ_p10_m10,1,1.1,True,False,0.31973813333333134,False,True,True,False,False,False,-3.012109423098617,-0.8152974000000008,0.4877996006525896,0.0,0
RZ_p10_m10,2,0.9,False,True,-0.456062878808571,False,False,True,False,False,False,-3.9587038630021283,-0.7766737999999986,0.3765035255637139,0.0,0
RZ_p10_m10,2,1.0,True,False,0.2759736000000004,False,True,True,False,False,False,-4.34002687903707,-0.823215316223066,0.3953716631021118,0.0,0
RZ_p10_m10,2,1.1,True,False,0.3130183499999999,False,True,True,False,False,False,-4.35346507413578,-1.2718693791057332,0.39781138846650677,0.0,0
nominal,0,0.9,False,True,-0.11615373222784253,False,False,True,True,True,False,0.14103835767097905,-2.588391666666667,5.567942563764578e-07,0.0,0
nominal,0,1.0,True,False,0.45179333666666666,True,True,True,True,True,False,0.55007082,-2.3581551333333337,0.0004008922495311345,0.0,0
nominal,0,1.1,True,False,0.46286111333333335,True,True,True,True,True,False,0.08706549709427569,-2.1483569300000003,0.00029880715233353896,0.0,0
nominal,1,0.9,False,True,-0.24532951327008368,True,False,True,False,False,False,-1.8619174159318521,-0.6126573666666664,0.4559849208207124,0.0,0
nominal,1,1.0,True,False,0.47356742666666674,True,True,True,False,False,False,-2.712222480161896,-0.5706986666666665,0.4441642879414592,0.0,0
nominal,1,1.1,True,False,0.4926570333333333,True,True,True,False,False,False,-3.061669307763192,-0.5431858333333346,0.48038503488975703,0.0,0
nominal,2,0.9,False,True,-0.24784949829225877,False,False,True,False,False,False,-3.4221677778578643,-0.7454693146249438,0.3807089773000118,0.0,0
nominal,2,1.0,True,False,0.4816273099999999,False,True,True,False,False,False,-4.403258547184588,-1.0420324026942849,0.3845454438849818,0.0,0
nominal,2,1.1,True,False,0.46433280666666665,False,True,True,False,False,False,-4.57087596315597,-1.3283596499959032,0.4264980833243728,0.0,0
