variable_local_index,variable_full_index,step,mode,method,n_samples,denominator,sample_candidate_ids,sample_values
41,41,13,2,local_least_squares,3,1.800000000000003e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_3f862bb5246a0ef5"",""s32cr000p_9d78993811a78cc3""]","[0.22559641495695462,0.22259641495695462,0.22859641495695462]"
42,42,14,0,local_least_squares,3,0.000162,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_06cfee54b1cbd5c5"",""s32cr000p_f39659bb4aee0447""]","[0.02145564202421857,0.01245564202421857,0.03045564202421857]"
43,43,14,1,local_least_squares,3,0.0001620000000000003,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_da5413174184b6af"",""s32cr000p_283911d6e84a1988""]","[-0.5448859878787722,-0.5538859878787722,-0.5358859878787722]"
44,44,14,2,local_least_squares,3,1.800000000000003e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_192d7e15e35e9076"",""s32cr000p_57aa76f1db6af59b""]","[0.37685390377494327,0.37385390377494326,0.37985390377494327]"
45,45,15,0,local_least_squares,3,0.0002880000000000005,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_a2c9622e9c9ec424"",""s32cr000p_509ec336e9272f64""]","[0.22499999999999984,0.21299999999999983,0.23699999999999985]"
46,46,15,1,local_least_squares,3,0.0002880000000000005,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_715269bdf007e68e"",""s32cr000p_8caed1d1e88df9dc""]","[0.22499999999999998,0.21299999999999997,0.237]"
47,47,15,2,local_least_squares,3,3.2e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_c90442879f57a856"",""s32cr000p_19390509d033dec7""]","[0.00874999999999996,0.004749999999999959,0.01274999999999996]"
48,48,16,0,local_least_squares,3,0.0002880000000000005,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_482c733d4aea00dd"",""s32cr000p_f4726482224d85d0""]","[0.27,0.258,0.28200000000000003]"
49,49,16,1,local_least_squares,3,0.0002880000000000005,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_646de60484e2d19e"",""s32cr000p_62c1e85601c4a6b8""]","[0.2699999999999999,0.2579999999999999,0.2819999999999999]"
50,50,16,2,local_least_squares,3,3.200000000000006e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_6ae8e0c73ab12904"",""s32cr000p_2ae445479035569a""]","[0.09449999999999997,0.09049999999999997,0.09849999999999998]"
51,51,17,0,local_least_squares,3,0.00028799999999999995,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_3384f4a77a886cd6"",""s32cr000p_9245fb3b6202e7c5""]","[-0.02159041059921596,-0.033590410599215956,-0.009590410599215959]"
52,52,17,1,local_least_squares,3,0.0002880000000000005,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_891451406cc973c9"",""s32cr000p_ebd2395e26376f8d""]","[0.315,0.303,0.327]"
53,53,17,2,local_least_squares,3,3.2e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_bd367ae32a1917ab"",""s32cr000p_626086d2719f383f""]","[-0.012499999999999935,-0.016499999999999935,-0.008499999999999935]"
54,54,18,0,local_least_squares,3,0.00028799999999999995,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_3e078ea9b09ab499"",""s32cr000p_38f48279fbde1bdd""]","[-0.039999999999999925,-0.05199999999999992,-0.027999999999999924]"
55,55,18,1,local_least_squares,3,0.00028799999999999984,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_804ec38d60eda9b4"",""s32cr000p_d4ecb18459185da3""]","[0.08859789698863821,0.07659789698863821,0.1005978969886382]"
56,56,18,2,local_least_squares,3,3.2000000000000005e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_356307f0a2654168"",""s32cr000p_446c839e5a9bcec4""]","[-0.013750000000000005,-0.017750000000000005,-0.009750000000000005]"
57,57,19,0,local_least_squares,3,0.00028799999999999984,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_151e62bca777ee2d"",""s32cr000p_53b11d52af433f14""]","[-0.0449999999999999,-0.0569999999999999,-0.032999999999999904]"
58,58,19,1,local_least_squares,3,0.00028799999999999984,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_7a2722081a4c79db"",""s32cr000p_61e307d3c11c062a""]","[-0.044999999999999846,-0.05699999999999984,-0.03299999999999985]"
