stage,generation,candidate_id,population_index,source_name,source_type,linear_prefilter_score,proposal_rank_score,predicted_terminal_velocity_m_per_s,predicted_late_velocity_rms_m_per_s,parameter_vector,validation_id,candidate_label,candidate_n_modes,candidate_target_fraction,sequence_scale,success,failure_reason,n_trajectory_steps,terminal_R_error_m,terminal_Z_error_m,terminal_Ip_error_A,terminal_RZ_euclidean_error_m,terminal_RZ_box_max_error_m,terminal_normalized_RZ_distance,min_normalized_RZ_distance,min_normalized_RZ_distance_after_step0,min_RZ_euclidean_error_after_step0_m,closest_step_after_step0,closest_velocity_after_step0_m_per_s,relative_distance_reduction,relative_distance_reduction_after_step0,first_step_within_2x_RZ_only,first_step_within_1x_RZ_only,first_step_within_2x,first_step_within_1x,first_step_after_step0_within_2x,first_step_after_step0_within_1x,terminal_within_2x_RZ_only,terminal_within_1x_RZ_only,terminal_within_2x,terminal_within_1x,gate_ip_tolerance_A,terminal_Ip_safe,late_Ip_safe_fraction,late_fraction_within_2x,late_fraction_within_1x,late_R_rms_m,late_Z_rms_m,late_RZ_euclidean_rms_m,terminal_velocity_m_per_s,max_velocity_m_per_s,late_velocity_mean_m_per_s,late_velocity_rms_m_per_s,max_current_utilization,wall_time_s,first_step_after_step0_within_30mm,ever_after_step0_within_30mm,terminal_within_30mm,late_fraction_within_30mm,longest_streak_after_step0_within_30mm_steps,trailing_streak_within_30mm_steps,first_step_after_step0_within_40mm,ever_after_step0_within_40mm,terminal_within_40mm,late_fraction_within_40mm,longest_streak_after_step0_within_40mm_steps,trailing_streak_within_40mm_steps,first_step_after_step0_within_80mm,ever_after_step0_within_80mm,terminal_within_80mm,late_fraction_within_80mm,longest_streak_after_step0_within_80mm_steps,trailing_streak_within_80mm_steps,gate_tier,gate_label,strict_gate_pass,relaxed_gate_pass,terminal_RZ_reduction_vs_zero_action_fraction,continuous_objective,selection_score,position_excess_objective,velocity_excess_objective,precise_streak_deficit,action_rms,delta_action_rms,repair_excess_rms,stage2_1_tube_window_steps,stage2_1_tube_excess_mean,stage2_1_tube_excess_max,stage2_1_tube_excess_terminal,stage2_1_late_position_core,stage2_1_terminal_position_core,stage2_1_velocity_excess,stage2_1_velocity_core,stage2_1_streak_deficit,stage2_1_continuous_objective,generation_rank
Stage2.1,1,s21g001_808e7e4641469075,34,damped_parent_11,damped_tail,2.994963185313355,3.390464793529593,0.02137609869857633,0.07641071132839579,"[2.388055851527881,1.2111965248487515,0.497491459683687,1.1409288444038208,1.880784942916907,0.09717718092685362,-0.5444278149553825,2.3377948146149787,-0.29624829455095064,-0.6094051387529014,-1.3792699491603142,0.22354102576572088,-0.6326281176216254,0.16899663618650482,-0.011895193660773774]",s21g001_808e7e4641469075,,,,,True,,11,-0.02681133300000005,0.0313977242,763.1123000000007,0.04128758484309971,0.0313977242,1.3762528281033237,0.5817437020072838,0.7819425370349836,0.02345827611104951,1,0.6280120013857927,0.0,-0.34413580127626936,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02709798234447497,0.03197649340293952,0.04191415963000703,0.0029949779261956096,0.649451345171487,0.07240273746099879,0.0841311878979551,0.41409999999999997,831.5745630264282,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5245013120877761,13.61109833870773,1000013.6110983387,0.0048480448313714414,0.0,1.0,0.4594815378590509,0.258796882692368,0.10026266213458629,5,0.007516674603444707,0.01819119369173777,0.002170703265850707,1.951996419433013,1.894071846862397,0.0,0.7087026669899424,1.0,13.61109833870773,1
Stage2.1,1,s21g001_861b6b4e944a436d,12,tail_fd_n2_m0_m,sensitivity,2.9301105414468953,3.5861523072893373,0.030181352803779586,0.09799213263908364,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.34590544639889226,2.1786969706242534,-0.261960531873909,-0.8351852201650649,-1.2773135959693287,0.15977816185308458,-0.38147750995002294,-0.22123391397199035,0.06203426961659384]",s21g001_861b6b4e944a436d,,,,,True,,11,-0.027207031999999964,0.0306286836,705.3224000000009,0.040967534088811486,0.0306286836,1.3655844696270496,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02740157823196964,0.03142267447694704,0.04169209710349111,0.010055759683922017,0.6494770436362003,0.0860756982141987,0.09795857092605523,0.4143,825.115656375885,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5281872557996132,13.792225684038863,1000013.792225684,0.00305222864908803,0.0,1.0,0.46184835022119425,0.24615046298145074,0.06666684661029114,5,0.005838764167803127,0.01698490624266352,0.0004391589654544036,1.9313677343188131,1.8648209436865903,0.0,0.9696999920695784,1.0,13.792225684038863,2
Stage2.1,1,s21g001_bc460db25d98c5d6,0,stage2_1_best,anchor_best,2.947634467971685,3.565933709682447,0.025682655346729942,0.0956928808711816,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.34590544639889226,2.1786969706242534,-0.261960531873909,-0.8351852201650649,-1.3573135959693288,0.15977816185308458,-0.38147750995002294,-0.22123391397199035,0.06203426961659384]",s21g001_bc460db25d98c5d6,,,,,True,,11,-0.027432235000000027,0.0307246956,703.5482000000011,0.04118900868930795,0.0307246956,1.372966956310265,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02749683276368831,0.03146335468083538,0.04178538619908028,0.0180327583161952,0.6494770436362003,0.08613681917501839,0.0962689559398611,0.4143,740.4094157218933,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5256365887566716,13.814277451386014,1000013.8142774514,0.003131814746717475,0.0,1.0,0.46423275701462735,0.2510738098680628,0.06666684661029114,5,0.005902939772886524,0.016987439877562724,0.0005835374585104032,1.9400205553403207,1.8850382631198732,0.0,0.9592892250241223,1.0,13.814277451386014,3
Stage2.1,1,s21g001_38282753f93a7f08,56,damped_parent_15,damped_tail,2.9843677700061435,3.59265742421359,0.01957787020995437,0.09566563559035451,"[2.438074359730026,1.2084876881552418,0.47446795941186276,1.1636338834821593,1.8695181602723758,0.10583767727007634,-0.4018003558568858,2.3344925159412746,-0.24935268668355323,-0.8586886154803511,-1.437310776831521,0.16515588047825303,-0.5804151318783155,-0.2910471240392076,0.027817617395204462]",s21g001_38282753f93a7f08,,,,,True,,11,-0.027371759999999967,0.0311657887,706.3233,0.0414791469390421,0.0311657887,1.3826382313014036,0.5817437020072838,0.781929767606246,0.02345789302818738,1,0.6279767090342163,0.0,-0.34411385101072534,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027474740480512794,0.03167957269822781,0.0419339562981342,0.023989499041504193,0.6495987466531612,0.0827929661124185,0.09152882457417087,0.41450000000000004,826.8208413124084,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5222951398057094,13.831929154224719,1000013.8319291542,0.003692083158112147,0.0,1.0,0.47300354008635764,0.2571024763354518,0.09078757262576863,5,0.006389445505679108,0.017178894895946945,0.0015100703256085441,1.9538407675709215,1.9116884786562736,0.0,0.8953021792191675,1.0,13.831929154224719,4
Stage2.1,1,s21g001_39123edcb9418464,55,damped_parent_10,damped_tail,2.9853701197535343,3.717049010774317,0.018282836997133782,0.10524547982382396,"[2.4259573879048912,1.2162770502918379,0.4842388788070542,1.2234073377367118,1.8906273110302891,0.10519977644620775,-0.33881640742354824,2.435108133575918,-0.2911979364990704,-1.0450341231680158,-1.4819456089166474,0.2002282336135826,-0.28320324058910673,-0.28811622349716226,-0.03146927697238657]",s21g001_39123edcb9418464,,,,,True,,11,-0.027522336999999952,0.0309885234,712.1308000000026,0.04144596019461865,0.0309885234,1.3815320064872885,0.5817437020072838,0.7819294288575259,0.02345788286572578,1,0.6279725278091624,0.0,-0.34411326871182135,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027580511525923126,0.031486696560381576,0.04185805390026062,0.029202500024138742,0.6495446705605014,0.08712651895102423,0.0958253043119656,0.41435,819.6281750202179,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5226773431602867,13.930066614674102,1000013.9300666146,0.0030512342061610625,0.0,1.0,0.475253006901516,0.2644146562907538,0.11426631673431134,5,0.005736186410738487,0.016475995229048183,0.0010857539026084,1.9467740847968038,1.908630684948793,0.0,1.0035274954140636,1.0,13.930066614674102,5
Stage2.1,1,s21g001_461554184fbb9b8d,54,damped_parent_00,damped_tail,2.979359952808381,3.67176209942052,0.03129881176188786,0.100622340384722,"[2.4446043195237723,1.1773594437839559,0.4995186532547575,1.1412602421881775,1.8863573297629144,0.09154391721697883,-0.23224149825446733,2.0139770612530628,-0.24481131320710298,-0.9225383786627623,-1.346215450441392,0.26405064820802754,-0.4570516989657646,0.009794095726530505,0.07593621544753]",s21g001_461554184fbb9b8d,,,,,True,,11,-0.027847516000000017,0.0306621578,665.2005000000026,0.0414204305665979,0.0306621578,1.3806810188865968,0.5817437020072838,0.7819910222828106,0.023459730668484315,1,0.6281741712209908,0.0,-0.34421914596510683,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02783656933717991,0.03141526955673806,0.041973726946580976,0.01794734710312278,0.6499770061872566,0.0875807872284548,0.09803215691389648,0.41450000000000004,695.2232513427734,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5229713614389747,13.948429496904685,1000013.948429497,0.003024184247236815,0.0,1.0,0.46244607860669906,0.2538423580313909,0.039019094906196414,5,0.005847478172625936,0.017140653874182423,0.00048716994677871166,1.9575486153179311,1.906280075913731,0.0,0.993241105723079,1.0,13.948429496904685,6
Stage2.1,1,s21g001_796044efe1403c9f,99,bridge_p01_d26,bridge,2.9135021443843843,3.4496678293458083,0.036175877099784065,0.08685632628512002,"[2.236793100159791,1.3565975477975019,0.5729457372030695,1.2404978330212033,1.8403928639561156,0.07853447562961427,-0.29634048116232187,1.8047030955984618,-0.3600070595465102,-0.7500988926154593,-1.153837827681614,0.11176651137568977,-0.38618782191506723,0.03077125742768537,-0.19490722947358066]",s21g001_796044efe1403c9f,,,,,True,,11,-0.026836547000000044,0.0306821909,915.8531000000003,0.04076269241975135,0.0306821909,1.3587564139917117,0.5817437020072838,0.7819723011172297,0.02345916903351689,1,0.6280427688452141,0.0,-0.3441869648421892,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02698573557458529,0.031578213278022155,0.041538096710534204,0.020127710088754268,0.6485900148720719,0.08680386109450947,0.0960185610506808,0.41200000000000003,801.8172948360443,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5305463655716668,13.955061441163238,1000013.9550614412,0.0036310498136161726,0.0,1.0,0.44538468208089027,0.2317369495888693,0.022812659413450155,5,0.006566470076495657,0.018308151128013594,0.0005170938044920123,1.9171260870374363,1.8462189925636157,0.0,0.9624688779660255,1.0,13.955061441163238,7
Stage2.1,1,s21g001_7b8f6881495aef46,61,damped_parent_05,damped_tail,2.969479188113031,3.657102905147285,0.04406148483495627,0.09763938450544322,"[2.4162688053224852,1.1775440556337622,0.4994910718524913,1.1225654013029192,1.9158082910631264,0.12098895934513984,-0.45782389859436756,2.2489698528610984,-0.30661601928910537,-0.5983971813324787,-1.1569778250922673,0.16470249339461568,-0.20729089147435478,-0.401474322118114,0.08016997731929613]",s21g001_7b8f6881495aef46,,,,,True,,11,-0.026955521999999954,0.0309870916,669.4770000000026,0.04107067094800464,0.0309870916,1.3690223649334878,0.5817437020072838,0.7819875709642251,0.023459627128926755,1,0.6281601347481113,0.0,-0.3442132132518285,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027243722092871164,0.03184194611849271,0.04190620390928519,0.021826223582322755,0.6499125092237792,0.08293156038239871,0.09098321884094188,0.4144,709.4014773368835,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.526999454638366,13.985524197916062,1000013.9855241979,0.004512405681103534,0.0,1.0,0.45121726765952436,0.23660164342300058,0.08757557293158623,5,0.007354689814349713,0.018723826347334434,0.001082610918656178,1.9512554734295442,1.8742222356880802,0.0,0.8754330146524261,1.0,13.985524197916062,8
Stage2.1,1,s21g001_fc4f655e136f835a,92,bridge_p09_d11,bridge,2.903910965635743,3.4142154948547203,0.0248693701398785,0.08670529521834977,"[2.328221985104903,1.2620758606988793,0.5220002310206936,1.0803510681264679,1.8996480195943568,0.13362663747896908,-0.30905069639943794,2.164873387769926,-0.27119508820111815,-0.7680764616357368,-1.211837471326683,0.17217120974120706,-0.37907273994529866,-0.16105484864083847,0.07844243420404554]",s21g001_fc4f655e136f835a,,,,,True,,11,-0.026059504999999983,0.0310853178,696.4278000000013,0.04056346611881215,0.0310853178,1.3521155372937383,0.5817437020072838,0.7819380121907958,0.02345814036572387,1,0.6279804881874598,0.0,-0.34412802320463376,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.026536007583819896,0.031832339942048996,0.0414422195915556,0.015100455601732588,0.649048567811903,0.08425554128233055,0.0943953655684473,0.41335,816.7886805534363,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.532840804567171,13.990680470546787,1000013.9906804706,0.004425371317964209,0.0,1.0,0.4556903249961669,0.24014372483188295,0.0655844391906481,5,0.0073123343061036504,0.018860186258661416,0.0013087941411076061,1.9082861829719056,1.8282164261911347,0.0,0.9138508800180702,1.0,13.990680470546787,9
Stage2.1,1,s21g001_3eb7d7f0be3f567a,98,bridge_p10_d01,bridge,2.9354511370556335,3.440849750978218,0.01738379764315808,0.08725045639776112,"[2.3162078790035796,1.2618126628306212,0.523612146605626,1.092369958677923,1.9633976550329215,0.13919663031774104,-0.2642525763666865,2.1666162335152945,-0.25960429512354327,-0.9174076342046297,-1.3399470454818534,0.2335023848235101,-0.2919751292767579,-0.11264162714900859,0.05127757346475392]",s21g001_3eb7d7f0be3f567a,,,,,True,,11,-0.026101396000000054,0.0315345065,665.0573000000004,0.0409354122166537,0.0315345065,1.3645137405551233,0.5817437020072838,0.7819377724530898,0.02345813317359269,1,0.6279785305916825,0.0,-0.34412761110269746,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.026506632738220653,0.03204020152470042,0.041583363174018596,0.01608683315609554,0.649063703699074,0.07964114527921255,0.08936388662269089,0.4133,827.9254925251007,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5285571952892287,14.00649197067637,1000014.0064919706,0.005131955270461183,0.0,1.0,0.4617415533179898,0.2519405813404686,0.06751217312441725,5,0.00795863500518817,0.019265353944096116,0.0026163446650469373,1.921306769847029,1.8618977481637344,0.0,0.8244690433305205,1.0,14.00649197067637,10
